"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.commandhandling","commandhandling","embeddingsFastRandomProjection","-0.14438373,-0.066967905,0.27653408,-0.18301895,-0.14225541,0.04011166,0.08561241,-0.29718706,0.08707107,0.019515086,-0.29391456,0.1363895,-0.95452154,0.042499274,-0.060771365,0.115902215,-0.832503,-0.018384285,0.09911591,0.086224765,0.05161371,0.80182606,0.05008396,-0.66984123,-0.08946267,0.4041152,0.025165623,-0.41539598,-0.03585951,0.010288615,-0.54621685,-0.1670442",""
"org.axonframework.commandhandling.callbacks","callbacks","embeddingsFastRandomProjection","-0.1717368,-0.103863075,0.43259382,-0.16011012,-0.06359092,0.1655018,-0.03751818,-0.3531206,-0.07150668,0.031254604,-0.2455463,-0.02731857,-1.0023738,0.14865117,-0.14804022,0.16296178,-0.629284,-0.107845604,0.105045274,0.12926623,0.06502415,0.83605796,0.018120298,-0.8312816,0.06316401,0.3571392,0.027040645,-0.37466958,-0.13152626,0.09583938,-0.41268593,-0.057251405",""
"org.axonframework.commandhandling.distributed","distributed","embeddingsFastRandomProjection","-0.1517735,-0.040163025,0.36748624,-0.19499023,-0.19176511,0.111993216,-0.18174787,-0.45186955,0.05188436,0.06644121,-0.39543128,-0.00033923984,-1.0123332,0.063219756,-0.045044463,0.27144548,-0.50745535,-0.13908389,0.12369925,0.10782475,-0.09997373,0.65688103,0.0076903272,-0.65354794,-0.13626797,0.3042344,0.03565193,-0.46205294,0.16313007,-0.12266559,-0.42044285,-0.083391376",""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter","embeddingsFastRandomProjection","-0.23067363,-0.13160305,0.32227132,-0.2043559,-0.09525967,0.13888586,-0.23596035,-0.39902043,-0.12905751,0.09831795,-0.2268331,-0.02487024,-1.0900527,0.13531634,-0.18012059,0.33264905,-0.33212948,-0.3181746,0.13058156,0.20199296,-0.074368656,0.63268864,-0.0056701405,-0.66203105,0.119225815,0.20960584,0.04557696,-0.3800267,-0.079526916,-0.19990504,-0.24648018,0.097150475",""
"org.axonframework.commandhandling.gateway","gateway","embeddingsFastRandomProjection","-0.24057767,-0.010503971,0.44297448,-0.21141893,-0.08949782,0.22842617,0.050009158,-0.4307171,0.040094055,0.002571782,-0.24828413,0.016101964,-0.8415582,0.19548693,-0.04414599,0.09793709,-0.754981,-0.005920887,0.067837715,0.17990613,0.056609098,0.8086215,0.04255987,-0.74492115,-0.08390383,0.40148127,-0.0020300634,-0.36360902,-0.045135524,0.046125274,-0.48495513,-0.058057494",""
"org.axonframework.common","common","embeddingsFastRandomProjection","-0.18050589,-0.06000355,0.2856396,-0.41225532,-0.23196532,-0.12252341,0.04831237,-0.2753815,0.23588386,0.09228906,-0.34406787,0.08824569,-0.8949138,-0.0060581286,0.05131975,0.066411555,-0.73331904,0.22065656,0.0931912,0.2906144,-0.1069493,0.8039872,0.05132864,-0.34354335,-0.44919983,0.3429271,0.06482839,-0.50323117,0.19972941,-0.0005674511,-0.5424909,-0.16042677",""
"org.axonframework.common.annotation","annotation","embeddingsFastRandomProjection","-0.1344964,0.012768569,0.25752157,-0.33703417,0.019728567,0.17997521,0.20899078,-0.06771272,0.12874629,0.17220655,-0.11355599,0.13657095,-0.9645144,0.27913332,-0.13043416,-0.13665718,-0.8823955,0.31422612,0.070000626,0.0010250956,0.08387778,0.8140534,0.10049449,-0.3098643,-0.20611545,0.55484873,0.028313547,-0.44672906,-0.18829775,0.22466017,-0.34390208,-0.23199098",""
"org.axonframework.common.caching","caching","embeddingsFastRandomProjection","-0.0845794,0.0036792401,0.10252423,-0.4852456,-0.0292872,0.1565373,0.29008856,-0.02103655,0.23236914,0.09807184,-0.11583755,0.11275354,-0.9458066,0.24719353,-0.009496016,-0.15600216,-0.8120233,0.27729097,-0.009452911,0.10314708,0.13347852,0.69936264,0.022534309,-0.37331468,-0.38354346,0.53305477,-0.12172889,-0.5128733,-0.13749918,0.06393324,-0.34162486,-0.30266517",""
"org.axonframework.common.digest","digest","embeddingsFastRandomProjection","-0.2231933,-0.08454177,0.40145355,-0.32084125,-0.2057616,-0.05326129,-0.046131242,-0.29990634,0.2124981,0.012667447,-0.3388632,0.094920605,-1.0787777,0.08713542,-0.0021345066,0.19942276,-0.57735425,0.0156026855,0.08667347,0.18133938,-0.0014932081,0.73549104,-0.031216783,-0.42316464,-0.38304734,0.30639118,0.07918514,-0.4370628,0.022353977,-0.083702184,-0.46769834,-0.1784884",""
"org.axonframework.common.io","io","embeddingsFastRandomProjection","-0.15811549,0.07424094,0.0597898,-0.36268932,-0.14247435,-0.004898727,0.232935,-0.23034187,0.25543055,0.027783984,-0.21410918,-0.11591405,-0.83977693,0.006218427,0.39671206,0.09703792,-0.7033763,0.16490686,0.051776066,0.13863283,-0.27857262,0.81822324,0.1883874,-0.12223742,-0.8811059,0.19529463,-0.028130252,-0.2384209,-0.059894778,0.018617984,-0.52937365,-0.20245695",""
