"nodeLabels","nodesWithThatLabels","nodesWithThatLabelsPercent","Source Cypher File: Overview/Node_label_combination_count.cypher"
"Java,ByteCode,Member,Method",13193,20.216368623484886,""
"Java,ByteCode,Parameter",13029,19.965062290258814,""
"Java,ByteCode,Bound,ParameterizedType",7176,10.996184434330896,""
"Java,ByteCode,Bound",7118,10.907307804287532,""
"Java,ByteCode,Member,Field",3505,5.370906694862011,""
"Java,ByteCode,Bound,WildcardType",2908,4.456090347691506,""
"Java,Value,ByteCode,Annotation",2822,4.324307758316861,""
"Xml,Element",2144,3.285370600223724,""
"Java,ByteCode,Member,Method,Constructor",2052,3.144393876706661,""
"Xml,Text",1436,2.2004627714185014,""
"Java,ByteCode,Bound,TypeVariable",1096,1.6794618366815304,""
"Java,ByteCode,Member,Method,Lambda",942,1.4434790603594907,""
"Type,File,Java,ByteCode,ResolvedDuplicateType",899,1.3775877656721678,""
"Type,File,Java,ByteCode,Class",864,1.3239553165080677,""
"Type,File,Java,ByteCode,JavaType",748,1.1462020564213364,""
"Java,Value,ByteCode,Primitive",652,0.9990959101426623,""
"Java,ByteCode,GenericDeclaration,Member,Method",569,0.8719103878392251,""
"Json,Key",568,0.8703780321488225,""
"Value,Json,Scalar",551,0.8443279854119738,""
"Type,File,Java,ByteCode,ExternalType",396,0.6068128533995312,""
"Value,Array",267,0.4091389693375626,""
"Type,File,Java,ByteCode,Class,GenericDeclaration",236,0.36163594293507406,""
"Value,Property",202,0.309535849461377,""
"Type,File,Java,ByteCode,Interface",188,0.288082869795737,""
"Java,Value,ByteCode,Class",172,0.2635651787492913,""
"Maven,Dependency",163,0.24977397753566558,""
"Java,ByteCode,Bound,GenericArrayType",158,0.2421121990836513,""
"Java,Value,ByteCode,Enum",150,0.22985335356042846,""
"Package,File,Directory,Java",139,0.21299744096599701,""
"Value,Json,Object",135,0.2068680182043856,""
"Value,ManifestEntry",120,0.18388268284834275,""
"Type,File,Java,ByteCode,ExternalAnnotation,ExternalType",93,0.14250907920746564,""
"Artifact,Maven",92,0.14097672351706278,""
"Type,File,Java,ByteCode,GenericDeclaration,Interface",85,0.1302502336842428,""
"File,Directory",47,0.07202071744893425,""
"Type,File,Java,ByteCode,Annotation",43,0.06589129468732283,""
"Xml,Namespace",36,0.05516480485450283,""
"Type,File,Java,ByteCode,PrimitiveType",29,0.04443831502168283,""
"Type,File,Java,ByteCode,Enum",28,0.042905959331279976,""
"Maven,Plugin",21,0.032179469498459984,""
"Maven,Configuration",21,0.032179469498459984,""
"jQAssistant,Rule,Concept",19,0.029114758117654273,""
"Xml,Attribute",18,0.027582402427251414,""
"Maven,PluginExecution",16,0.024517691046445703,""
"Maven,ExecutionGoal",16,0.024517691046445703,""
"File,Java,Properties",12,0.018388268284834277,""
"File,Java,ServiceLoader",10,0.015323556904028564,""
"Artifact,File,Jar,Archive,Zip,Java",9,0.013791201213625707,""
"File,Java,Manifest",9,0.013791201213625707,""
"Java,ManifestSection",9,0.013791201213625707,""
"File,Maven,Xml,Pom,Document",9,0.013791201213625707,""
"Type,File,Java,ByteCode,Void",9,0.013791201213625707,""
"Dependency,NPM",7,0.010726489832819994,""
"Value,Array,Json",6,0.009194134142417138,""
"Maven,Exclusion",5,0.007661778452014282,""
"Java,ByteCode,GenericDeclaration,Member,Method,Constructor",4,0.006129422761611426,""
"File",3,0.004597067071208569,""
"File,Json",2,0.003064711380805713,""
"Package,File,Json,NPM",1,0.0015323556904028564,""
"File,TS,Scan",1,0.0015323556904028564,""
"Analyze,Task,jQAssistant",1,0.0015323556904028564,""
