"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_spread.cypher"
"org.slf4j",9,67,1,39,3,7.444444444444445,12.146101340668032,25,100,60,68.31088664421996,28.74692629296528,151,1,82,8,16.77777777777778,25.528306728893018,2.2988505747126435,36.36363636363637,10.526315789473683,13.534023364772054,10.427345943256215,"axon-disruptor-4.11.0,axon-tracing-opentelemetry-4.11.0,axon-modelling-4.11.0,axon-eventsourcing-4.11.0",""
"jakarta.persistence",4,8,1,3,2,2,0.816496580927726,4.545454545454545,22.22222222222222,15.555555555555555,14.46969696969697,8.174280520075282,17,3,8,3,4.25,2.5,0.9888751545117429,3.409090909090909,2.0771866374797754,2.1380848346405505,1.0012071167970689,"axon-modelling-4.11.0,axon-eventsourcing-4.11.0,axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"javax.persistence",4,11,2,4,2.5,2.75,0.9574271077563381,6.0606060606060606,30,22.22222222222222,20.126262626262623,10.068423868781153,17,3,8,3,4.25,2.5,0.9888751545117429,3.409090909090909,2.0771866374797754,2.1380848346405505,1.0012071167970689,"axon-modelling-4.11.0,axon-eventsourcing-4.11.0,axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"com.fasterxml",2,5,1,4,2.5,2.5,2.1213203435596424,6.0606060606060606,11.11111111111111,8.585858585858585,8.585858585858585,3.5712463696290273,15,3,12,7.5,7.5,6.363961030678928,1.4833127317676142,3.409090909090909,2.4462018204292617,2.4462018204292617,1.3617308082463715,"axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"com.github",2,3,1,2,1.5,1.5,0.7071067811865476,3.0303030303030303,11.11111111111111,7.070707070707071,7.070707070707071,5.713994191406444,7,1,6,3.5,3.5,3.5355339059327378,0.7416563658838071,1.1363636363636365,0.9390100011237218,0.9390100011237218,0.2791001875399201,"axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"com.google",2,4,1,3,2,2,1.4142135623730951,12.5,27.272727272727273,19.886363636363637,19.886363636363637,10.445895631164907,11,1,10,5.5,5.5,6.363961030678928,1.1494252873563218,7.04225352112676,4.095839404241541,4.095839404241541,4.166858804466623,"axon-server-connector-4.11.0,axon-test-4.11.0",""
"com.thoughtworks",2,3,1,2,1.5,1.5,0.7071067811865476,3.0303030303030303,11.11111111111111,7.070707070707071,7.070707070707071,5.713994191406444,10,2,8,5,5,4.242640687119285,0.9888751545117429,2.272727272727273,1.6308012136195078,1.6308012136195078,0.9078205388309143,"axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"io.axoniq",2,9,1,8,4.5,4.5,4.949747468305833,11.11111111111111,72.72727272727273,41.919191919191924,41.919191919191924,43.56920570947415,69,1,68,34.5,34.5,47.37615433949868,1.1363636363636365,47.88732394366197,24.5118437900128,24.5118437900128,33.05792106027377,"axon-server-connector-4.11.0,axon-spring-boot-autoconfigure-4.11.0",""
"org.apache",2,2,1,1,1,1,0,1.5151515151515151,11.11111111111111,6.313131313131313,6.313131313131313,6.785368102295153,12,3,9,6,6,4.242640687119285,1.1124845488257107,3.409090909090909,2.26078772895831,2.26078772895831,1.6239459310596769,"axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
"org.jobrunr",2,3,1,2,1.5,1.5,0.7071067811865476,3.0303030303030303,11.11111111111111,7.070707070707071,7.070707070707071,5.713994191406444,5,1,4,2.5,2.5,2.1213203435596424,0.49443757725587145,1.1363636363636365,0.8154006068097539,0.8154006068097539,0.45391026941545715,"axon-spring-boot-autoconfigure-4.11.0,axon-messaging-4.11.0",""
