"codeUnitName","shortCodeUnitName","centralityHyperlinkInducedTopicSearchAuthority","centralityHyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9d_Hyperlink_Induced_Topic_Search_HITS_Stream_Mutated.cypher"
"org.axonframework.common","common",0.49662104811527474,0.49662104811527474,1062,23,""
"org.axonframework.messaging","messaging",0.4033157179309601,0.4033157179309601,10052,133,""
"org.axonframework.eventhandling","eventhandling",0.33161516111162037,0.33161516111162037,5964,1563,""
"org.axonframework.messaging.unitofwork","unitofwork",0.2608559769473225,0.2608559769473225,261,123,""
"org.axonframework.serialization","serialization",0.25742284502923307,0.25742284502923307,1771,176,""
"org.axonframework.common.transaction","transaction",0.22863100465328862,0.22863100465328862,368,6,""
"org.axonframework.tracing","tracing",0.18663331548630827,0.18663331548630827,635,122,""
"org.axonframework.messaging.annotation","annotation",0.1789430574023198,0.1789430574023198,1111,302,""
"org.axonframework.lifecycle","lifecycle",0.1659292183405303,0.1659292183405303,101,10,""
"org.axonframework.commandhandling","commandhandling",0.14796300895443704,0.14796300895443704,1945,691,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.11495665335489215,0.11495665335489215,205,613,""
"org.axonframework.deadline","deadline",0.10913618221031465,0.10913618221031465,256,338,""
"org.axonframework.modelling.command","command",0.10379517910841123,0.10379517910841123,276,847,""
"org.axonframework.queryhandling","queryhandling",0.09564281451223287,0.09564281451223287,436,1141,""
"org.axonframework.common.jdbc","jdbc",0.09403970210737554,0.09403970210737554,73,56,""
"org.axonframework.serialization.upcasting.event","event",0.09337442749694362,0.09337442749694362,45,188,""
"org.axonframework.monitoring","monitoring",0.09099028710289551,0.09099028710289551,199,21,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.08583413613092171,0.08583413613092171,83,42,""
"org.axonframework.serialization.xml","xml",0.08075579558415336,0.08075579558415336,22,28,""
"org.axonframework.eventhandling.scheduling","scheduling",0.07896929232567051,0.07896929232567051,25,2,""
"org.axonframework.eventsourcing","eventsourcing",0.06999768690034255,0.06999768690034255,148,1009,""
"org.axonframework.messaging.deadletter","deadletter",0.066238314058344,0.066238314058344,206,105,""
"org.axonframework.common.annotation","annotation",0.06518213356308056,0.06518213356308056,22,3,""
"org.axonframework.common.jpa","jpa",0.06329696146794096,0.06329696146794096,19,6,""
"org.axonframework.modelling.saga","saga",0.06275753715167993,0.06275753715167993,263,432,""
"org.axonframework.common.stream","stream",0.05934629205124735,0.05934629205124735,33,5,""
"org.axonframework.modelling.saga.repository","repository",0.057770941133499336,0.057770941133499336,81,231,""
