"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"org.axonframework.common","common","centralityPageRank",0.7805007553196979,""
"org.axonframework.messaging","messaging","centralityPageRank",0.4401941211510558,""
"org.axonframework.serialization","serialization","centralityPageRank",0.24169896471517024,""
"org.axonframework.eventhandling","eventhandling","centralityPageRank",0.23294092690842225,""
"org.axonframework.messaging.unitofwork","unitofwork","centralityPageRank",0.13041430385899416,""
"org.axonframework.messaging.annotation","annotation","centralityPageRank",0.11657788415664432,""
"org.axonframework.axonserver.connector","connector","centralityPageRank",0.08875291665037621,""
"org.axonframework.commandhandling","commandhandling","centralityPageRank",0.07097321491191365,""
"org.axonframework.queryhandling","queryhandling","centralityPageRank",0.05303243701755304,""
"org.axonframework.modelling.saga","saga","centralityPageRank",0.05219054501078754,""
"org.axonframework.tracing","tracing","centralityPageRank",0.04925921378541964,""
"org.axonframework.common.transaction","transaction","centralityPageRank",0.04359221862127903,""
"org.axonframework.eventhandling.tokenstore","tokenstore","centralityPageRank",0.03852730925044688,""
"org.axonframework.eventsourcing.eventstore","eventstore","centralityPageRank",0.03572640496912164,""
"org.axonframework.modelling.command","command","centralityPageRank",0.03300609488208566,""
"org.axonframework.messaging.timeout","timeout","centralityPageRank",0.0323262897670289,""
"org.axonframework.common.annotation","annotation","centralityPageRank",0.031783033650886604,""
"org.axonframework.deadline","deadline","centralityPageRank",0.029542467513739977,""
"org.axonframework.common.io","io","centralityPageRank",0.027562215013913184,""
"org.axonframework.common.jdbc","jdbc","centralityPageRank",0.026470481706009533,""
"org.axonframework.config","config","centralityPageRank",0.026304001958958056,""
"org.axonframework.test","test","centralityPageRank",0.026241632702244888,""
"org.axonframework.springboot","springboot","centralityPageRank",0.025171982511869247,""
"org.axonframework.monitoring","monitoring","centralityPageRank",0.02440287581016923,""
"org.axonframework.axonserver.connector.util","util","centralityPageRank",0.023545448519892754,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc","centralityPageRank",0.022978282484685697,""
"org.axonframework.commandhandling.distributed","distributed","centralityPageRank",0.022596166125796117,""
"org.axonframework.messaging.deadletter","deadletter","centralityPageRank",0.02253757928426994,""
"org.axonframework.axonserver.connector.event.axon","axon","centralityPageRank",0.022362337104672832,""
"org.axonframework.util","util","centralityPageRank",0.022107069151534854,""
"org.axonframework.lifecycle","lifecycle","centralityPageRank",0.02084044249347779,""
"org.axonframework.test.server","server","centralityPageRank",0.020096945371863673,""
"org.axonframework.modelling.command.inspection","inspection","centralityPageRank",0.019848038097251438,""
"org.axonframework.axonserver.connector.command","command","centralityPageRank",0.019736923711973168,""
"org.axonframework.axonserver.connector.query","query","centralityPageRank",0.019596705677892946,""
"org.axonframework.common.stream","stream","centralityPageRank",0.019267185440226323,""
"org.axonframework.messaging.responsetypes","responsetypes","centralityPageRank",0.01870534625143105,""
"org.axonframework.modelling.saga.metamodel","metamodel","centralityPageRank",0.01851323490769281,""
"org.axonframework.serialization.upcasting.event","event","centralityPageRank",0.018476971276217263,""
"org.axonframework.test.matchers","matchers","centralityPageRank",0.01755427768977472,""
"org.axonframework.eventsourcing","eventsourcing","centralityPageRank",0.017126374777520513,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa","centralityPageRank",0.01690560866245518,""
"org.axonframework.modelling.saga.repository.jpa","jpa","centralityPageRank",0.016855588015757334,""
"org.axonframework.eventhandling.deadletter.jpa","jpa","centralityPageRank",0.016696398885441346,""
"org.axonframework.eventhandling.scheduling","scheduling","centralityPageRank",0.016324755239526503,""
"org.axonframework.messaging.interceptors","interceptors","centralityPageRank",0.016235947183208938,""
"org.axonframework.actuator","actuator","centralityPageRank",0.016032451137009594,""
"org.axonframework.axonserver.connector.event.util","util","centralityPageRank",0.01557125684832347,""
"org.axonframework.commandhandling.callbacks","callbacks","centralityPageRank",0.015327517582031696,""
"org.axonframework.messaging.correlation","correlation","centralityPageRank",0.015212537410300882,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements","centralityPageRank",0.015003055128216732,""
"org.axonframework.serialization.upcasting","upcasting","centralityPageRank",0.014919969378508284,""
"org.axonframework.common.jpa","jpa","centralityPageRank",0.014916852484354677,""
"org.axonframework.modelling.saga.repository","repository","centralityPageRank",0.01474873691087966,""
"org.axonframework.common.lock","lock","centralityPageRank",0.014608566916714671,""
"org.axonframework.common.legacyjpa","legacyjpa","centralityPageRank",0.0141619594802139,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa","centralityPageRank",0.014078228267009317,""
"org.axonframework.serialization.xml","xml","centralityPageRank",0.014056679949216102,""
"org.axonframework.axonserver.connector.heartbeat","heartbeat","centralityPageRank",0.013971384570340051,""
"org.axonframework.common.property","property","centralityPageRank",0.013747581758547936,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter","centralityPageRank",0.013611505698631765,""
"org.axonframework.test.deadline","deadline","centralityPageRank",0.013573054535281162,""
"org.axonframework.eventhandling.async","async","centralityPageRank",0.013425458685714275,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa","centralityPageRank",0.013365936955880871,""
"org.axonframework.eventhandling.pooled","pooled","centralityPageRank",0.013282105810091673,""
"org.axonframework.eventsourcing.snapshotting","snapshotting","centralityPageRank",0.013117482061322574,""
"org.axonframework.springboot.util","util","centralityPageRank",0.013053406543630732,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa","centralityPageRank",0.013009791300316646,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa","centralityPageRank",0.013009791300316646,""
"org.axonframework.springboot.autoconfig","autoconfig","centralityPageRank",0.013009791300316646,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa","centralityPageRank",0.012970404835929811,""
"org.axonframework.commandhandling.gateway","gateway","centralityPageRank",0.012904904425317523,""
"org.axonframework.eventhandling.deadletter","deadletter","centralityPageRank",0.012896620443839022,""
"org.axonframework.common.caching","caching","centralityPageRank",0.012839560297549357,""
"org.axonframework.test.eventscheduler","eventscheduler","centralityPageRank",0.012666365132451146,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory","centralityPageRank",0.012659671626542935,""
"org.axonframework.eventhandling.replay","replay","centralityPageRank",0.012599160935989707,""
"org.axonframework.axonserver.connector.query.subscription","subscription","centralityPageRank",0.012508627377628267,""
"org.axonframework.eventhandling.scheduling.java","java","centralityPageRank",0.012470824691912233,""
"org.axonframework.test.utils","utils","centralityPageRank",0.012424694866175421,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory","centralityPageRank",0.01237974066020471,""
"org.axonframework.queryhandling.registration","registration","centralityPageRank",0.012366614434597443,""
"org.axonframework.deadline.jobrunr","jobrunr","centralityPageRank",0.012355609707800953,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution","centralityPageRank",0.012316545522656508,""
