"name","shortName","pageRank","articleRank","betweenness","costEffectiveLazyForward","harmonicCloseness","closeness","hyperlinkInducedTopicSearchAuthority","hyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_90_Summary.cypher"
"org.axonframework.disruptor.commandhandling.AggregateBlacklistedException","AggregateBlacklistedException",0.001522929042721871,0.008936623485726932,0,0,0.009204830257461837,0.007397478347580877,0.0019322769839433482,0.0019322769839433482,2,1,""
"org.axonframework.disruptor.commandhandling.AggregateStateCorruptedException","AggregateStateCorruptedException",0.002682914181229676,0.010548737219314196,13,0,0.00988835725677831,0.007663162608716148,0.0019365948904708284,0.0019365948904708284,3,1,""
"org.axonframework.disruptor.commandhandling.CommandHandlingEntry","CommandHandlingEntry",0.005132696797064365,0.018528369912417908,520.8333333333333,0,0.013340168603326498,0.00921993441212838,0.014103214301182254,0.014103214301182254,9,10,""
"org.axonframework.disruptor.commandhandling.CommandHandlerInvoker$1","CommandHandlerInvoker$1",0.0013333740155912891,0.008162073675988833,5.416666666666667,0,0.007211209842788791,0.005796834744203165,0.004205339819986338,0.004205339819986338,2,1,""
"org.axonframework.disruptor.commandhandling.CommandHandlerInvoker","CommandHandlerInvoker",0.0026719434315660207,0.010314568126419654,259.1666666666667,0,0.009352927773980406,0.007177033492822967,0.008898265280628584,0.008898265280628584,4,15,""
"org.axonframework.disruptor.commandhandling.CommandHandlingEntry$1","CommandHandlingEntry$1",0.0016472733440555856,0.009232776875198094,42,0,0.009318751424014582,0.007293992557150452,0.0022583540763292348,0.0022583540763292348,2,1,""
"org.axonframework.disruptor.commandhandling.CommandHandlingEntry$RepeatingCommandHandler","CommandHandlingEntry$RepeatingCommandHandler",0.0016557901658631332,0.009091990039098267,2.5,0,0.008976987924356345,0.0072617182538002294,0.000962169356139894,0.000962169356139894,1,5,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$1","DisruptorCommandBus$1",0.0014495329029567973,0.0086818118353559,161.66666666666669,0,0.007644110275689223,0.006339296133904606,0.004786792292952476,0.004786792292952476,2,1,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus","DisruptorCommandBus",0.0036047332470262633,0.014302768802732412,1605.3333333333333,0,0.010423786739576214,0.008186177684727208,0.008689662013013093,0.008689662013013093,6,39,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder","DisruptorCommandBus$Builder",0.001702164000836974,0.009552783304804394,146,0,0.007302346776030986,0.006300876157335487,0.004385534729081497,0.004385534729081497,1,21,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback","DisruptorCommandBus$FailureLoggingCommandCallback",0.0013250680149831968,0.008163090294699766,73.88333333333333,0,0.007644110275689223,0.006339296133904606,0.00718650161019044,0.00718650161019044,2,4,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler","DisruptorCommandBus$ExceptionHandler",0.0013145466012596297,0.008058951529502239,0,0,0.007302346776030986,0.006300876157335487,0.004385534729081497,0.004385534729081497,1,4,""
"org.axonframework.disruptor.commandhandling.FirstLevelCache","FirstLevelCache",0.0037747969696758287,0.011474668625199228,189,0,0.007452071737786024,0.005470917682276118,0.0026742650280611206,0.0026742650280611206,3,3,""
"org.axonframework.disruptor.commandhandling.DisruptorUnitOfWork","DisruptorUnitOfWork",0.0018955818444081332,0.00993246505796504,207,0,0.009831396673501937,0.0075947444368497,0.0022588539656984374,0.0022588539656984374,2,10,""
"org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback","BlacklistDetectingCallback",0.0018988872881532568,0.009995156575458039,209.33333333333331,0,0.01151742993848257,0.008919284376950281,0.008495564089445094,0.008495564089445094,4,7,""
