"propertyName","propertyValue","codeUnits","codeUnitNames","shortCodeUnitNames","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Grouped.cypher"
"communityMaximumKCutId",2,7,"org.axonframework.config,org.axonframework.axonserver.connector.query,org.axonframework.eventsourcing.conflictresolution,org.axonframework.test.aggregate,org.axonframework.eventhandling.deadletter.legacyjpa,org.axonframework.messaging.timeout,org.axonframework.serialization.converters","config,query,conflictresolution,aggregate,legacyjpa,timeout,converters",""
"communityMaximumKCutId",4,6,"org.axonframework.actuator,org.axonframework.modelling.saga,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.commandhandling,org.axonframework.messaging.deadletter,org.axonframework.queryhandling","actuator,saga,jpa,commandhandling,deadletter,queryhandling",""
"communityMaximumKCutId",16,3,"org.axonframework.actuator.axonserver,org.axonframework.test.server,org.axonframework.eventhandling","axonserver,server,eventhandling",""
"communityMaximumKCutId",18,3,"org.axonframework.springboot,org.axonframework.common,org.axonframework.common.io","springboot,common,io",""
"communityMaximumKCutId",7,2,"org.axonframework.springboot.service.connection,org.axonframework.commandhandling.gateway","connection,gateway",""
"communityMaximumKCutId",8,6,"org.axonframework.springboot.autoconfig,org.axonframework.common.caching,org.axonframework.common.stream,org.axonframework.deadline.annotation,org.axonframework.deadline.quartz,org.axonframework.eventhandling.interceptors","autoconfig,caching,stream,annotation,quartz,interceptors",""
"communityMaximumKCutId",3,8,"org.axonframework.springboot.autoconfig.legacyjpa,org.axonframework.axonserver.connector.query.subscription,org.axonframework.axonserver.connector.command,org.axonframework.deadline,org.axonframework.eventhandling.deadletter.jdbc,org.axonframework.eventhandling.scheduling.quartz,org.axonframework.messaging.annotation,org.axonframework.serialization.upcasting.event","legacyjpa,subscription,command,deadline,jdbc,quartz,annotation,event",""
"communityMaximumKCutId",14,4,"org.axonframework.springboot.util,org.axonframework.disruptor.commandhandling,org.axonframework.test.eventscheduler,org.axonframework.common.jdbc","util,commandhandling,eventscheduler,jdbc",""
"communityMaximumKCutId",9,8,"org.axonframework.springboot.util.legacyjpa,org.axonframework.eventsourcing.snapshotting,org.axonframework.commandhandling.callbacks,org.axonframework.common.jpa,org.axonframework.common.legacyjpa,org.axonframework.deadline.jobrunr,org.axonframework.eventhandling.deadletter,org.axonframework.eventhandling.scheduling","legacyjpa,snapshotting,callbacks,jpa,jobrunr,deadletter,scheduling",""
"communityMaximumKCutId",13,7,"org.axonframework.springboot.util.jpa,org.axonframework.axonserver.connector.heartbeat.connection.checker,org.axonframework.axonserver.connector.event.axon,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventhandling.pooled,org.axonframework.eventhandling.replay,org.axonframework.tracing.attributes","jpa,checker,axon,inmemory,pooled,replay,attributes",""
