"nodeLabels","nodesWithThatLabels","nodesWithThatLabelsPercent","Source Cypher File: Overview/Node_label_combination_count.cypher"
"Git,Change,Update",178068,49.231126519914405,""
"Git,Change,Create",52544,14.52703636735619,""
"Git,Change,Delete",27895,7.7122350690354935,""
"Java,ByteCode,Member,Method",13494,3.730736691936367,""
"Java,ByteCode,Parameter",13293,3.6751654695353584,""
"Git,Commit",13289,3.674059574562204,""
"File,Git",11096,3.0677526555303043,""
"Git,Change,Rename",10752,2.9726456878390257,""
"Java,ByteCode,Bound,ParameterizedType",7279,2.0124523773977185,""
"Java,ByteCode,Bound",7240,2.001669901409463,""
"Java,ByteCode,Member,Field",3609,0.9977937395285569,""
"Java,ByteCode,Bound,WildcardType",2947,0.8147681214715038,""
"Java,Value,ByteCode,Annotation",2931,0.8103445415788862,""
"Xml,Element",2162,0.5977362329899529,""
"Java,ByteCode,Member,Method,Constructor",2120,0.5861243357718318,""
"Xml,Text",1450,0.4008869277684698,""
"Java,ByteCode,Bound,TypeVariable",1111,0.3071623287936345,""
"Java,ByteCode,Member,Method,Lambda",968,0.2676265835033647,""
"Type,File,Java,ByteCode,ResolvedDuplicateType",888,0.2455086840402767,""
"Type,File,Java,ByteCode,Class",846,0.2338967868221555,""
"Json,Key",702,0.19408456778859712,""
"Value,Json,Scalar",685,0.18938451415269092,""
"Java,Value,ByteCode,Primitive",672,0.1857903554899391,""
"Type,File,Java,ByteCode,JavaType",649,0.17943145939430133,""
"Java,ByteCode,Member,Method,GenericDeclaration",578,0.15980182362081075,""
"Type,File,Java,ByteCode,ExternalType",411,0.11363070849161455,""
"Git,Change,Copy",346,0.09565991517785556,""
"Author,Git,Person",299,0.08266564924329137,""
"Value,Array",287,0.07934796432382817,""
"Committer,Git,Person",252,0.06967138330872716,""
"Type,File,Java,ByteCode,GenericDeclaration,Class",237,0.06552427715939818,""
"Value,Property",211,0.05833595983389458,""
"Type,File,Java,ByteCode,Interface",190,0.05253001122483398,""
"Java,Value,ByteCode,Class",189,0.05225353748154538,""
"Value,Json,Object",174,0.04810643133221638,""
"Git,Tag",171,0.04727701010235058,""
"Java,ByteCode,Bound,GenericArrayType",166,0.045894641385907584,""
"Maven,Dependency",165,0.04561816764261898,""
"Java,Value,ByteCode,Enum",153,0.042300482723155786,""
"Package,File,Directory,Java",141,0.038982797803692584,""
"Value,ManifestEntry",120,0.033176849194631985,""
"Type,File,Java,ByteCode,Throwable,JavaType",105,0.02902974304530299,""
"Type,File,Java,ByteCode,ExternalType,ExternalAnnotation",95,0.02626500561241699,""
"Artifact,Maven",93,0.025712058125839786,""
"Type,File,Java,ByteCode,GenericDeclaration,Interface",85,0.023500268179530992,""
"Type,File,Java,ByteCode,Class,Throwable",55,0.015206055880872992,""
"File,Directory",48,0.013270739677852795,""
"Git,Branch",47,0.012994265934564193,""
"Type,File,Java,ByteCode,Annotation",44,0.012164844704698394,""
"Xml,Namespace",36,0.009953054758389595,""
"Type,File,Java,ByteCode,PrimitiveType",30,0.008294212298657996,""
"Type,File,Java,ByteCode,Enum",28,0.007741264812080797,""
"Type,File,Java,ByteCode,Throwable,ResolvedDuplicateType",22,0.006082422352349197,""
"Maven,Plugin",21,0.005805948609060597,""
"Maven,Configuration",21,0.005805948609060597,""
"Type,File,Java,ByteCode,Throwable,ExternalType",21,0.005805948609060597,""
"jQAssistant,Rule,Concept",19,0.005253001122483398,""
"Xml,Attribute",18,0.004976527379194798,""
"Maven,PluginExecution",16,0.004423579892617598,""
"Maven,ExecutionGoal",16,0.004423579892617598,""
"File,Java,Properties",12,0.0033176849194631987,""
"File,Java,ServiceLoader",10,0.002764737432885999,""
"File,Artifact,Jar,Archive,Zip,Java",9,0.002488263689597399,""
"File,Java,Manifest",9,0.002488263689597399,""
"Java,ManifestSection",9,0.002488263689597399,""
"File,Maven,Xml,Pom,Document",9,0.002488263689597399,""
"Type,File,Java,ByteCode,Void",9,0.002488263689597399,""
"Dependency,NPM",7,0.0019353162030201993,""
"Value,Array,Json",6,0.0016588424597315994,""
"Maven,Exclusion",5,0.0013823687164429995,""
"Java,ByteCode,Member,Method,GenericDeclaration,Constructor",4,0.0011058949731543996,""
"File",3,0.0008294212298657997,""
"File,Json",2,0.0005529474865771998,""
"Package,File,Json,NPM",1,0.0002764737432885999,""
"File,TS,Scan",1,0.0002764737432885999,""
"Repository,File,Git",1,0.0002764737432885999,""
"Analyze,Task,jQAssistant",1,0.0002764737432885999,""
