"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionSilentCoordinators.cypher"
"org.axonframework.actuator.axonserver","axonserver","axon-spring-boot-autoconfigure-4.11.2",2,5,2,3,""
"org.axonframework.common.digest","digest","axon-messaging-4.11.2",1.3333333333333333,3,2,1,""
"org.axonframework.springboot.util.legacyjpa","legacyjpa","axon-spring-boot-autoconfigure-4.11.2",0.5,2,1,1,""
"org.axonframework.axonserver.connector.heartbeat.source","source","axon-server-connector-4.11.2",0,2,0,2,""
"org.axonframework.eventhandling.interceptors","interceptors","axon-messaging-4.11.2",0,28,0,28,""
"org.axonframework.serialization.converters","converters","axon-messaging-4.11.2",0,7,0,7,""
"org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa","axon-spring-boot-autoconfigure-4.11.2",0,298,1,297,""
"org.axonframework.springboot.util.jpa","jpa","axon-spring-boot-autoconfigure-4.11.2",0,2,1,1,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory","axon-eventsourcing-4.11.2",0,76,1,75,""
"org.axonframework.axonserver.connector.heartbeat.connection.checker","checker","axon-server-connector-4.11.2",0,6,1,5,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation","axon-messaging-4.11.2",0,28,1,27,""
"org.axonframework.actuator","actuator","axon-spring-boot-autoconfigure-4.11.2",0,2,2,0,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa","axon-modelling-4.11.2",0,166,2,164,""
