"artifactName","dependentArtifactName","dependentPackages","dependentArtifactPackages","packageUsagePercentage","dependentFullQualifiedPackageNames","dependentPackageNames","Source Cypher File: Internal_Dependencies/How_many_packages_compared_to_all_existing_are_used_by_dependent_artifacts.cypher"
"axon-tracing-opentelemetry-4.12.0","axon-messaging-4.12.0",3,70,0.04285714285714286,"org.axonframework.tracing,org.axonframework.messaging,org.axonframework.common","tracing,messaging,common",""
"axon-server-connector-4.12.0","axon-modelling-4.12.0",1,10,0.1,"org.axonframework.modelling.command","command",""
"axon-spring-boot-autoconfigure-4.12.0","axon-test-4.12.0",1,8,0.125,"org.axonframework.test.server","server",""
"axon-disruptor-4.12.0","axon-messaging-4.12.0",9,70,0.12857142857142856,"org.axonframework.commandhandling.callbacks,org.axonframework.common.transaction,org.axonframework.messaging.annotation,org.axonframework.common,org.axonframework.messaging.unitofwork,org.axonframework.monitoring,org.axonframework.messaging,org.axonframework.commandhandling,org.axonframework.common.caching","callbacks,transaction,annotation,common,unitofwork,monitoring,messaging,commandhandling,caching",""
"axon-test-4.12.0","axon-messaging-4.12.0",10,70,0.14285714285714285,"org.axonframework.common,org.axonframework.eventhandling,org.axonframework.messaging,org.axonframework.commandhandling,org.axonframework.messaging.annotation,org.axonframework.messaging.unitofwork,org.axonframework.deadline,org.axonframework.commandhandling.gateway,org.axonframework.eventhandling.scheduling,org.axonframework.common.stream","common,eventhandling,messaging,commandhandling,annotation,unitofwork,deadline,gateway,scheduling,stream",""
"axon-eventsourcing-4.12.0","axon-modelling-4.12.0",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection",""
"axon-disruptor-4.12.0","axon-modelling-4.12.0",2,10,0.2,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","command,inspection",""
"axon-test-4.12.0","axon-eventsourcing-4.12.0",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore",""
"axon-disruptor-4.12.0","axon-eventsourcing-4.12.0",2,9,0.2222222222222222,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","eventsourcing,eventstore",""
"axon-modelling-4.12.0","axon-messaging-4.12.0",18,70,0.2571428571428571,"org.axonframework.eventhandling,org.axonframework.tracing,org.axonframework.messaging.annotation,org.axonframework.common.lock,org.axonframework.common.legacyjpa,org.axonframework.common,org.axonframework.common.annotation,org.axonframework.messaging.unitofwork,org.axonframework.common.property,org.axonframework.commandhandling,org.axonframework.messaging,org.axonframework.deadline,org.axonframework.common.jpa,org.axonframework.messaging.interceptors,org.axonframework.serialization,org.axonframework.serialization.xml,org.axonframework.common.jdbc,org.axonframework.common.caching","eventhandling,tracing,annotation,lock,legacyjpa,common,unitofwork,property,commandhandling,messaging,deadline,jpa,interceptors,serialization,xml,jdbc,caching",""
"axon-eventsourcing-4.12.0","axon-messaging-4.12.0",20,70,0.2857142857142857,"org.axonframework.serialization.upcasting.event,org.axonframework.eventhandling,org.axonframework.common.io,org.axonframework.common.jdbc,org.axonframework.common,org.axonframework.common.transaction,org.axonframework.common.jpa,org.axonframework.serialization,org.axonframework.messaging,org.axonframework.commandhandling,org.axonframework.messaging.unitofwork,org.axonframework.messaging.annotation,org.axonframework.common.caching,org.axonframework.common.lock,org.axonframework.tracing,org.axonframework.common.stream,org.axonframework.serialization.xml,org.axonframework.lifecycle,org.axonframework.monitoring,org.axonframework.common.legacyjpa","event,eventhandling,io,jdbc,common,transaction,jpa,serialization,messaging,commandhandling,unitofwork,annotation,caching,lock,tracing,stream,xml,lifecycle,monitoring,legacyjpa",""
"axon-server-connector-4.12.0","axon-eventsourcing-4.12.0",3,9,0.3333333333333333,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing,org.axonframework.eventsourcing.snapshotting","eventstore,eventsourcing,snapshotting",""
"axon-server-connector-4.12.0","axon-messaging-4.12.0",25,70,0.35714285714285715,"org.axonframework.serialization,org.axonframework.common,org.axonframework.messaging,org.axonframework.lifecycle,org.axonframework.queryhandling,org.axonframework.messaging.responsetypes,org.axonframework.util,org.axonframework.tracing,org.axonframework.monitoring,org.axonframework.messaging.unitofwork,org.axonframework.common.stream,org.axonframework.serialization.upcasting.event,org.axonframework.eventhandling.async,org.axonframework.eventhandling.scheduling,org.axonframework.serialization.xml,org.axonframework.common.jdbc,org.axonframework.eventhandling.scheduling.java,org.axonframework.eventhandling,org.axonframework.eventhandling.tokenstore,org.axonframework.common.transaction,org.axonframework.eventhandling.pooled,org.axonframework.commandhandling.distributed,org.axonframework.eventhandling.tokenstore.inmemory,org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks","serialization,common,messaging,lifecycle,queryhandling,responsetypes,util,tracing,monitoring,unitofwork,stream,event,async,scheduling,xml,jdbc,java,eventhandling,tokenstore,transaction,pooled,distributed,inmemory,commandhandling,callbacks",""
"axon-spring-boot-autoconfigure-4.12.0","axon-server-connector-4.12.0",4,11,0.36363636363636365,"org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector.event.axon,org.axonframework.axonserver.connector","query,command,axon,connector",""
"axon-configuration-4.12.0","axon-eventsourcing-4.12.0",4,9,0.4444444444444444,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.snapshotting,org.axonframework.eventsourcing.eventstore","eventsourcing,jpa,snapshotting,eventstore",""
"axon-test-4.12.0","axon-modelling-4.12.0",5,10,0.5,"org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository.inmemory,org.axonframework.modelling.saga.repository,org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","saga,inmemory,repository,command,inspection",""
