"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"javax.annotation.Nonnull","Parameter",1669,"org.axonframework.springboot.autoconfig.AxonAutoConfiguration.setBeanClassLoader(0),org.axonframework.springboot.autoconfig.PersistentStreamMessageSourceRegistrar.postProcessBeanDefinitionRegistry(0),org.axonframework.springboot.autoconfig.PersistentStreamMessageSourceRegistrar.postProcessBeanFactory(0),org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration.setApplicationContext(0),org.axonframework.springboot.util.DeadLetterQueueProviderConfigurerModule.configureModule(0),org.axonframework.springboot.util.DefaultEntityRegistrar.registerBeanDefinitions(1),org.axonframework.test.deadline.StubDeadlineManager.schedule(0),org.axonframework.test.deadline.StubDeadlineManager.schedule(1),org.axonframework.test.deadline.StubDeadlineManager.schedule(3)",""
"java.lang.Deprecated","Method",133,"org.axonframework.springboot.TracingProperties.isNestedHandlers,org.axonframework.springboot.TracingProperties.setNestedHandlers,org.axonframework.springboot.TracingProperties.getNestedTimeLimit,org.axonframework.springboot.TracingProperties.setNestedTimeLimit,org.axonframework.test.deadline.DeadlineManagerValidator.assertDeadlinesMetMatching,org.axonframework.test.deadline.DeadlineManagerValidator.assertDeadlinesMet,org.axonframework.test.deadline.StubDeadlineManager.getDeadlinesMet,org.axonframework.test.saga.FixtureExecutionResult.expectDeadlinesMetMatching,org.axonframework.test.saga.FixtureExecutionResult.expectDeadlinesMet",""
"org.springframework.context.annotation.Bean","Method",129,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration.eventStorageEngine,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.tokenStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.sagaStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.persistenceExceptionResolver,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.deadLetterQueueProviderConfigurerModule,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration$DefaultConnectionManagerConfiguration.platformConnectionManager,org.axonframework.springboot.autoconfig.AxonTimeoutAutoConfiguration.messageTimeoutHandlerEnhancerDefinition,org.axonframework.springboot.autoconfig.AxonTimeoutAutoConfiguration.axonTimeoutConfigurerModule",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean","Method",82,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.tokenStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.sagaStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.persistenceExceptionResolver,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.deadLetterQueueProviderConfigurerModule,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration.eventScheduler,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration.deadlineManager,org.axonframework.springboot.autoconfig.JpaAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.JpaAutoConfiguration.tokenStore",""
"java.lang.FunctionalInterface","Interface",68,"org.axonframework.test.deadline.DeadlineConsumer,org.axonframework.test.eventscheduler.EventConsumer,org.axonframework.test.matchers.FieldFilter,org.axonframework.eventsourcing.conflictresolution.ConflictExceptionSupplier,org.axonframework.eventsourcing.conflictresolution.ContextAwareConflictExceptionSupplier,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTokenAtStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.AppendEventsStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.LastSequenceNumberForStatementBuilder,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTailTokenStatementBuilder",""
"javax.annotation.Nullable","Parameter",62,"org.axonframework.eventsourcing.eventstore.EventStorageEngine.readEvents(0),org.axonframework.modelling.command.CreationPolicyAggregateFactory.create(0),org.axonframework.modelling.command.NoArgumentConstructorCreationPolicyAggregateFactory.create(0),org.axonframework.modelling.command.Repository.load(1),org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember.handle(1),org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition$EndSageMessageHandlingMember.handle(1),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(0),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(1),org.axonframework.commandhandling.MonitorAwareCallback.<init>(0)",""
"javax.annotation.Nonnull","Method",60,"org.axonframework.springboot.util.legacyjpa.ContainerManagedEntityManagerProvider.getEntityManager,org.axonframework.springboot.util.AbstractQualifiedBeanCondition.getConfigurationPhase,org.axonframework.springboot.util.jpa.ContainerManagedEntityManagerProvider.getEntityManager,org.axonframework.test.deadline.StubDeadlineManager.schedule,org.axonframework.test.deadline.StubDeadlineManager.registerDispatchInterceptor,org.axonframework.test.deadline.StubDeadlineManager.registerHandlerInterceptor,org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore.subscribe,org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore.registerDispatchInterceptor,org.axonframework.modelling.command.CreationPolicyAggregateFactory.create",""
"java.lang.annotation.Target","Annotation",44,"org.axonframework.springboot.util.ConditionalOnQualifiedBean,org.axonframework.springboot.util.RegisterDefaultEntities,org.axonframework.springboot.util.ConditionalOnMissingQualifiedBean,org.axonframework.eventsourcing.EventSourcingHandler,org.axonframework.config.ProcessingGroup,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.CommandHandlerInterceptor",""
"java.lang.annotation.Retention","Annotation",44,"org.axonframework.springboot.util.ConditionalOnQualifiedBean,org.axonframework.springboot.util.RegisterDefaultEntities,org.axonframework.springboot.util.ConditionalOnMissingQualifiedBean,org.axonframework.eventsourcing.EventSourcingHandler,org.axonframework.config.ProcessingGroup,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.CommandHandlerInterceptor",""
"java.lang.Deprecated","Class",43,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration,org.axonframework.springboot.util.legacyjpa.ContainerManagedEntityManagerProvider,org.axonframework.test.server.AxonServerEEContainer,org.axonframework.test.server.AxonServerSEContainer,org.axonframework.test.utils.AutowiredResourceInjector,org.axonframework.test.aggregate.StubAggregateLifecycleRule,org.axonframework.eventsourcing.MultiStreamableMessageSource$Builder,org.axonframework.eventsourcing.MultiStreamableMessageSource",""
"javax.persistence.Basic","Field",39,"org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.sagaType,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry.revision,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.sagaId,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.associationKey,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.associationValue,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.sagaType,org.axonframework.modelling.saga.repository.jpa.SagaEntry.sagaType,org.axonframework.modelling.saga.repository.jpa.SagaEntry.revision,org.axonframework.eventhandling.AbstractDomainEventEntry.type",""
"jakarta.persistence.Basic","Field",33,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.sagaId,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.associationKey,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.associationValue,org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry.sagaType,org.axonframework.modelling.saga.repository.jpa.SagaEntry.sagaType,org.axonframework.modelling.saga.repository.jpa.SagaEntry.revision,org.axonframework.eventhandling.AbstractDomainEventEntry.type,org.axonframework.eventhandling.AbstractEventEntry.timeStamp,org.axonframework.eventhandling.AbstractEventEntry.payloadType",""
"com.fasterxml.jackson.annotation.JsonProperty","Parameter",32,"org.axonframework.modelling.command.AggregateScopeDescriptor.<init>(0),org.axonframework.modelling.command.AggregateScopeDescriptor.<init>(1),org.axonframework.modelling.saga.SagaScopeDescriptor.<init>(0),org.axonframework.modelling.saga.SagaScopeDescriptor.<init>(1),org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(1),org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.<init>(0)",""
"org.springframework.boot.autoconfigure.AutoConfiguration","Class",27,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration,org.axonframework.springboot.autoconfig.JpaAutoConfiguration,org.axonframework.springboot.autoconfig.AxonTimeoutAutoConfiguration,org.axonframework.springboot.autoconfig.AvroSerializerAutoConfiguration,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration,org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration",""
"java.lang.annotation.Documented","Annotation",24,"org.axonframework.springboot.util.ConditionalOnMissingQualifiedBean,org.axonframework.springboot.util.ConditionalOnQualifiedBean,org.axonframework.eventsourcing.EventSourcingHandler,org.axonframework.config.ProcessingGroup,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.EntityId",""
"java.beans.ConstructorProperties","Constructor",21,"org.axonframework.modelling.command.AggregateScopeDescriptor.<init>,org.axonframework.modelling.saga.SagaScopeDescriptor.<init>,org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.<init>,org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.<init>,org.axonframework.eventhandling.GapAwareTrackingToken.<init>,org.axonframework.eventhandling.GlobalSequenceTrackingToken.<init>",""
"org.springframework.beans.factory.annotation.Qualifier","Parameter",20,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration.eventStorageEngine(2),org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.deadLetterQueueProviderConfigurerModule(4),org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration.eventScheduler(1),org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration.deadlineManager(2),org.axonframework.springboot.autoconfig.JpaAutoConfiguration.deadLetterQueueProviderConfigurerModule(4),org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration.eventStorageEngine(2),org.axonframework.springboot.autoconfig.AxonAutoConfiguration.eventSerializer(0),org.axonframework.springboot.autoconfig.AxonAutoConfiguration.serializerConfigurer(0),org.axonframework.springboot.autoconfig.AxonAutoConfiguration.serializerConfigurer(1)",""
"java.lang.Deprecated","Constructor",20,"org.axonframework.eventsourcing.MultiStreamableMessageSource.<init>,org.axonframework.eventsourcing.snapshotting.RevisionSnapshotFilter.<init>,org.axonframework.modelling.command.AnnotationCommandTargetResolver.<init>,org.axonframework.modelling.command.VersionedAggregateIdentifier.<init>,org.axonframework.modelling.saga.repository.jdbc.SagaSchema.<init>,org.axonframework.commandhandling.callbacks.FailureLoggingCallback.<init>,org.axonframework.commandhandling.distributed.AbstractRoutingStrategy.<init>,org.axonframework.commandhandling.distributed.MetaDataRoutingStrategy.<init>,org.axonframework.commandhandling.distributed.AnnotationRoutingStrategy.<init>",""
"org.springframework.boot.autoconfigure.AutoConfigureAfter","Class",17,"org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxEventStoreAutoConfiguration,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration,org.axonframework.springboot.autoconfig.JpaAutoConfiguration,org.axonframework.springboot.autoconfig.AxonDbSchedulerAutoConfiguration,org.axonframework.springboot.autoconfig.InterceptorAutoConfiguration,org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration,org.axonframework.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.springboot.autoconfig.EventProcessingAutoConfiguration,org.axonframework.springboot.autoconfig.ObjectMapperAutoConfiguration",""
