"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.actuator.axonserver.AxonServerStatusAggregator","AxonServerStatusAggregator","embeddingsFastRandomProjection","-0.23289694,-0.21936336,-0.31511623,0.018798372,-0.03456892,0.1815487,0.28275084,0.102929756,0.08793159,0.18778105,0.112962306,0.33061057,0.01827161,-0.13916127,-0.14995103,0.21838538,0.2732728,0.1657828,0.08453958,0.20497805,0.16423981,0.1928403,-0.16633731,0.035719126,-0.4282707,-0.07651373,-0.32468224,-0.17976758,0.024298444,-0.07394682,0.15420724,-0.1722762,-0.17501235,-0.35481048,0.34307528,-0.14007331,-0.23679365,-0.2061157,0.13034478,0.16057155,0.049676143,-0.10718599,0.00060803397,0.2220259,-0.047173277,0.194956,-0.30418405,-0.16710791,-0.22977835,0.049574804,0.08590481,-0.21048096,-0.19633365,0.41360718,-0.013022052,0.06614656,-0.07255097,-0.055830047,0.11667171,-0.35465848,0.059333943,-0.06657968,-0.006080335,0.23981088",""
"org.axonframework.actuator.HealthStatus","HealthStatus","embeddingsFastRandomProjection","-0.22704291,-0.23746462,-0.33007896,-0.015353914,-0.03269519,0.20367274,0.24944359,0.11105234,0.0947229,0.20216401,0.10803488,0.2972141,0.038396917,-0.1528848,-0.18968211,0.22647943,0.24382071,0.17199539,0.089342356,0.20316982,0.15045509,0.1870827,-0.19352967,0.054902107,-0.44926876,-0.04475903,-0.3017403,-0.20518747,0.019104585,-0.067565724,0.13235031,-0.17500684,-0.16595444,-0.37031183,0.3605808,-0.13176255,-0.2115496,-0.19932827,0.13176255,0.16444571,0.018843997,-0.08691264,-0.012069852,0.19755296,-0.031859085,0.18775532,-0.30224922,-0.16595444,-0.21113153,0.087003514,0.059755474,-0.22346197,-0.19068792,0.41329554,0.015353918,0.042571668,-0.052720748,-0.031598516,0.12749694,-0.34164593,0.07712103,-0.058749653,0.015087316,0.23527122",""
"org.axonframework.actuator.axonserver.AxonServerHealthIndicator","AxonServerHealthIndicator","embeddingsFastRandomProjection","-0.26377767,-0.1771833,-0.26773226,0.03636443,-0.08454313,0.12105096,0.11253999,0.19132695,0.11020446,0.20033969,0.24183397,0.19215253,0.053675883,-0.1400653,-0.18072248,0.16362391,0.2706862,0.16071841,0.11825195,0.15243088,0.19435073,0.25570172,-0.4310396,0.18803169,-0.4321596,0.08508409,-0.15821587,-0.24287967,-0.09676438,0.04305236,0.14065239,-0.1727124,-0.11711369,-0.30867434,0.36149532,-0.23044965,-0.13385224,-0.14359759,0.11064492,-0.033776484,0.0593173,-0.13921605,0.03905762,0.17715564,0.03293971,0.19046403,-0.36591497,-0.11052831,-0.23435184,0.25155187,-0.07868854,-0.09109788,-0.3222235,0.48684382,0.0006218143,-0.08409311,-0.15344097,-0.06718945,0.071621366,-0.32530564,0.13574173,-0.04212904,-0.013675135,0.28697518",""
"org.axonframework.axonserver.connector.AxonServerConnectionManager","AxonServerConnectionManager","embeddingsFastRandomProjection","-0.29781967,0.17408234,-0.034688342,0.120029196,-0.17381558,-0.23127519,-0.31229424,0.14807762,-0.04936548,0.15943922,0.36275443,-0.11326238,0.097537376,-0.041870333,0.03600829,0.20678791,0.14196248,0.008246297,0.04566022,-0.049266756,0.17753494,0.19095504,-0.6124265,0.4786523,-0.12037026,0.44536406,0.23517194,-0.021434007,-0.34729797,0.1241581,0.14184393,-0.10981035,-0.12187537,-0.08276951,0.17450456,-0.26755375,0.13383317,0.15479356,-0.08659531,-0.31502777,0.1097128,-0.17858534,0.20351887,-0.0069222897,0.23828314,0.11174015,-0.13665123,0.12643418,-0.1809682,0.5361438,-0.34690547,0.24357659,-0.25934207,0.2244726,-0.12223874,-0.24805108,-0.27679783,0.029572744,0.039959315,-0.124510504,0.18366413,0.07159493,-0.08089911,0.32837194",""
"org.axonframework.springboot.DistributedCommandBusProperties","DistributedCommandBusProperties","embeddingsFastRandomProjection","-0.1696124,-0.054886565,-0.24668893,-0.06062183,0.22448787,-0.17121062,0.16904797,0.022827536,-0.054570884,-0.13467303,-0.023357552,-0.00285652,-0.0939942,-0.02419098,-0.1700796,-0.33291778,0.020801619,-0.00035808963,-0.30568492,0.13437903,0.36601728,0.30543143,-0.13793163,-0.052641273,-0.0015184472,0.005594491,0.11658611,0.30592358,0.07733473,0.0032828785,-0.001339852,-0.1733037,0.0006953217,0.24725485,0.32325384,0.07606396,-0.10002777,-0.018502384,-0.17240211,0.08745964,0.24738012,0.19053294,-0.16533819,-0.32763398,0.000405117,-0.16865212,0.1368851,0.13684332,0.094776675,-0.054356474,0.20437762,0.05921651,0.17019197,0.024020163,-0.042971164,-0.17230351,-0.17268418,0.1354971,-0.22813639,0.1915706,-0.018700507,0.18976021,-0.03316807,0.15027663",""
"org.axonframework.springboot.DistributedCommandBusProperties$SpringCloudProperties","DistributedCommandBusProperties$SpringCloudProperties","embeddingsFastRandomProjection","-0.20004995,-0.054144673,-0.24589099,-0.002046842,0.19943203,-0.20201954,0.14273846,0.04823546,-0.054376394,-0.13435759,-0.024838908,-0.00030895646,-0.09894425,-0.024375472,-0.14320189,-0.36475602,0.02267621,-0.0013130663,-0.27933598,0.13609546,0.37148923,0.3354889,-0.13628857,-0.022199333,-0.0011972076,0.0019695994,0.14605975,0.33537298,0.11246719,0.0023557958,-0.00054067426,-0.20244436,-0.05584394,0.24693373,0.32412863,0.04560931,-0.07002342,-0.045995504,-0.14548045,0.11851745,0.24720407,0.19054909,-0.14115505,-0.3599802,-0.00023171774,-0.1663281,0.19166906,0.13524583,0.09936908,-0.08820759,0.17710339,0.05738872,0.14269984,0.025418201,-0.069560006,-0.14613698,-0.14443772,0.1349755,-0.20171058,0.19012429,-0.02062937,0.18962222,-0.03220224,0.15366824",""
"org.axonframework.springboot.DistributedCommandBusProperties$JGroupsProperties","DistributedCommandBusProperties$JGroupsProperties","embeddingsFastRandomProjection","-0.16803068,-0.10218094,-0.2782434,-0.13410524,0.30051368,-0.16922975,0.19678101,-0.021188796,-0.102322005,-0.07190655,-0.011292356,-0.0001880881,-0.087814406,-0.011010224,-0.19706313,-0.3314606,0.009975738,-0.00079937535,-0.27005118,0.07296456,0.37845513,0.24059555,-0.07308211,-0.09964916,-0.0007288423,0.001199063,0.065943785,0.24052499,-0.02755452,0.0014341737,-0.0003291545,-0.16948836,0.02964373,0.27887815,0.3572811,0.110071614,-0.12110534,0.02255246,-0.1984503,0.053005654,0.27904275,0.17533357,-0.19581705,-0.2516763,-0.00014106632,-0.1644174,0.04315625,0.07244731,0.08807303,0.038494214,0.29074955,0.10415586,0.1967575,0.011645022,0.012035936,-0.19884998,-0.1978155,0.07228273,-0.30190083,0.17507496,-0.0087296525,0.17476931,-0.0926519,0.19034803",""
"org.axonframework.springboot.DistributedCommandBusProperties$JGroupsProperties$Gossip","DistributedCommandBusProperties$JGroupsProperties$Gossip","embeddingsFastRandomProjection","-0.22183394,-0.15676008,-0.29112583,-0.13285914,0.3546931,-0.22183394,0.19793303,-0.06356725,-0.15676008,0.0223943,-0.010845645,0,-0.12864108,-0.010845645,-0.19793303,-0.34535405,0.010845645,0,-0.17553873,-0.0223943,0.43061262,0.19943964,0.0223943,-0.058446266,0,0,0.06507387,0.19943964,-0.080840565,0,0,-0.22183394,-0.023900941,0.29112583,0.4089213,0.06929191,-0.080137566,0.06356725,-0.19793303,0.05422822,0.29112583,0.13436578,-0.19793303,-0.2102853,0,-0.123520136,0.0015066415,-0.0223943,0.12864108,0.09168621,0.34384745,0.15676008,0.19793303,0.010845645,0.052721605,-0.19793303,-0.19793303,-0.0223943,-0.3546931,0.13436578,-0.010845645,0.13436578,-0.14591444,0.28540117",""
"org.axonframework.springboot.service.connection.PropertiesAxonServerConnectionDetails","PropertiesAxonServerConnectionDetails","embeddingsFastRandomProjection","-0.18450265,-0.11996967,-0.041535694,0.22185451,-0.11634175,-0.40573373,-0.13468584,0.05004225,0.010512687,0.07606023,0.34736994,0.29123294,0.058145754,0.059411325,0.18415505,-0.15236932,0.13426328,-0.19231646,-0.108057454,0.008823574,0.3479641,0.49019846,-0.31987897,0.2291463,0.004121176,0.27161792,0.11575732,-0.23492229,-0.22886892,-0.08451219,0.08699601,-0.1707528,-0.04466562,-0.15760106,-0.14280099,-0.057349697,0.17110586,0.05754051,0.008064726,-0.07481131,0.036739018,0.17653075,-0.21938369,0.08947319,-0.073751666,0.31606656,-0.3594274,0.0013429495,-0.050976872,0.520743,-0.30179864,0.120375805,-0.14093977,-0.028800871,-0.16380885,-0.41400552,-0.16725099,0.25488877,0.240592,-0.25935286,-0.030493245,0.25258303,-0.096775606,0.25067642",""
"org.axonframework.axonserver.connector.AxonServerConfiguration","AxonServerConfiguration","embeddingsFastRandomProjection","-0.16614267,-0.13808052,0.011492003,0.25398055,-0.11983884,-0.39856893,-0.17300384,-0.045191113,-0.031073753,0.08514224,0.4294738,0.27608645,0.09672053,0.05939299,0.41907874,-0.116775334,0.09781024,-0.13339835,-0.006468105,0.08784281,0.261303,0.48019835,-0.27607578,0.2173455,-0.1019118,0.3504803,0.068845905,-0.032166928,-0.25319046,-0.07762897,0.10503121,-0.11927206,-0.090333864,-0.07403178,-0.1419603,-0.20354009,0.09055478,0.11454479,-0.039443403,-0.11347461,-0.06566897,0.11515796,-0.03706526,-0.05367464,0.09982203,0.25729746,-0.41843492,0.0915568,-0.04334114,0.52309656,-0.433608,0.1763329,-0.051592894,-0.04549614,-0.024317324,-0.30614185,-0.1520201,0.36626887,0.23259509,-0.3170259,-0.017695084,0.34965658,-0.30423304,0.17606188",""
