"codeUnitName","shortCodeUnitName","centralityHyperlinkInducedTopicSearchAuthority","centralityHyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9d_Hyperlink_Induced_Topic_Search_HITS_Stream_Mutated.cypher"
"org.axonframework.messaging.Message","Message",0.35191843744977264,0.35191843744977264,207,3,""
"org.axonframework.eventhandling.EventMessage","EventMessage",0.3386234619652802,0.3386234619652802,164,1,""
"org.axonframework.serialization.Serializer","Serializer",0.29422159946448745,0.29422159946448745,125,3,""
"org.axonframework.common.transaction.TransactionManager","TransactionManager",0.2285779283585805,0.2285779283585805,86,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils",0.21947780475969816,0.21947780475969816,114,3,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException",0.1998435324419251,0.1998435324419251,86,1,""
"org.axonframework.messaging.MetaData","MetaData",0.15965011609948043,0.15965011609948043,88,2,""
"org.axonframework.commandhandling.CommandMessage","CommandMessage",0.15170837774965187,0.15170837774965187,114,1,""
"org.axonframework.tracing.SpanFactory","SpanFactory",0.13580652575533975,0.13580652575533975,61,3,""
"org.axonframework.messaging.unitofwork.UnitOfWork","UnitOfWork",0.1214746939935633,0.1214746939935633,57,11,""
"org.axonframework.monitoring.MessageMonitor","MessageMonitor",0.11933254507895535,0.11933254507895535,36,2,""
"org.axonframework.eventhandling.TrackingToken","TrackingToken",0.11792485751636232,0.11792485751636232,80,,""
"org.axonframework.eventhandling.EventBus","EventBus",0.11287574640073209,0.11287574640073209,37,3,""
"org.axonframework.serialization.SerializedObject","SerializedObject",0.11267604823007828,0.11267604823007828,65,1,""
"org.axonframework.messaging.annotation.HandlerDefinition","HandlerDefinition",0.10556439549976286,0.10556439549976286,35,2,""
"org.axonframework.messaging.annotation.ParameterResolverFactory","ParameterResolverFactory",0.10359424078329259,0.10359424078329259,49,1,""
"org.axonframework.commandhandling.CommandBus","CommandBus",0.10168092521508527,0.10168092521508527,33,6,""
"org.axonframework.config.Configuration","Configuration",0.1010129603991798,0.1010129603991798,51,33,""
"org.axonframework.eventhandling.DomainEventMessage","DomainEventMessage",0.09975250935808962,0.09975250935808962,59,2,""
"org.axonframework.eventhandling.TrackedEventMessage","TrackedEventMessage",0.09935698377424645,0.09935698377424645,55,2,""
"org.axonframework.common.Assert","Assert",0.09567166558616583,0.09567166558616583,59,,""
"org.axonframework.eventhandling.GenericEventMessage","GenericEventMessage",0.09490847628376368,0.09490847628376368,34,6,""
"org.axonframework.messaging.MessageHandlerInterceptor","MessageHandlerInterceptor",0.09241574176910577,0.09241574176910577,34,3,""
"org.axonframework.serialization.SerializedType","SerializedType",0.08925072601859682,0.08925072601859682,51,1,""
"org.axonframework.tracing.Span","Span",0.08552047336651931,0.08552047336651931,53,1,""
"org.axonframework.common.Registration","Registration",0.08488929442779794,0.08488929442779794,47,,""
"org.axonframework.messaging.MessageDispatchInterceptor","MessageDispatchInterceptor",0.08441848677067812,0.08441848677067812,37,1,""
"org.axonframework.eventsourcing.eventstore.EventStore","EventStore",0.08250652728373363,0.08250652728373363,25,6,""
"org.axonframework.eventhandling.tokenstore.TokenStore","TokenStore",0.07499751099851429,0.07499751099851429,29,5,""
"org.axonframework.messaging.annotation.MessageHandlingMember","MessageHandlingMember",0.071544293002527,0.071544293002527,63,1,""
"org.axonframework.common.transaction.NoTransactionManager","NoTransactionManager",0.06560643976547939,0.06560643976547939,19,3,""
"org.axonframework.deadline.DeadlineMessage","DeadlineMessage",0.06403296171235622,0.06403296171235622,32,2,""
"org.axonframework.messaging.ScopeDescriptor","ScopeDescriptor",0.06184815554148086,0.06184815554148086,38,,""
"org.axonframework.messaging.unitofwork.CurrentUnitOfWork","CurrentUnitOfWork",0.06099560114999605,0.06099560114999605,32,2,""
