"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing",2,41,174,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore",2,30,174,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.command.inspection",2,26,174,1,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.command",2,11,174,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga.repository.jpa",2,7,174,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.deadletter.legacyjpa",2,6,174,1,""
"axon-messaging-4.12.1","org.axonframework.serialization.upcasting",2,6,174,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.correlation",2,4,174,1,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.util",2,3,174,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig",3,41,141,1,""
"axon-messaging-4.12.1","org.axonframework.commandhandling",3,31,141,1,""
"axon-messaging-4.12.1","org.axonframework.common",3,27,141,1,""
"axon-messaging-4.12.1","org.axonframework.util",3,3,141,1,""
"axon-messaging-4.12.1","org.axonframework.queryhandling",5,47,136,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing",5,41,136,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig",5,41,136,1,""
"axon-messaging-4.12.1","org.axonframework.serialization",5,33,136,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.legacyjpa",5,10,136,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.interceptors",5,8,136,1,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.jpa",5,6,136,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga",9,33,132,1,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon",9,32,132,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot",9,28,132,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling.quartz",9,6,132,1,""
"axon-messaging-4.12.1","org.axonframework.common.transaction",9,4,132,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig.legacyjpa",9,2,132,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.command",0,56,129,1,""
"axon-messaging-4.12.1","org.axonframework.commandhandling.gateway",0,34,129,1,""
"axon-messaging-4.12.1","org.axonframework.common",0,27,129,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.command.inspection",0,26,129,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.pooled",0,22,129,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.deadletter",0,19,129,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga.repository",0,15,129,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.unitofwork",0,14,129,1,""
"axon-messaging-4.12.1","org.axonframework.deadline",0,13,129,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.interceptors",0,8,129,1,""
"axon-messaging-4.12.1","org.axonframework.monitoring",0,6,129,1,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.gateway",0,5,129,1,""
"axon-messaging-4.12.1","org.axonframework.common.jpa",0,4,129,1,""
"axon-messaging-4.12.1","org.axonframework.common.legacyjpa",0,4,129,1,""
"axon-test-4.12.1","org.axonframework.test.server",0,2,129,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.annotation",6,54,119,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.command.inspection",6,26,119,1,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig",11,41,115,1,""
"axon-messaging-4.12.1","org.axonframework.common",11,27,115,1,""
"axon-modelling-4.12.1","org.axonframework.modelling.command.inspection",11,26,115,1,""
"axon-test-4.12.1","org.axonframework.test.matchers",11,24,115,1,""
"axon-messaging-4.12.1","org.axonframework.common.transaction",11,4,115,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.correlation",11,4,115,1,""
"axon-messaging-4.12.1","org.axonframework.messaging.interceptors.legacyvalidation",11,2,115,1,""
"axon-messaging-4.12.1","org.axonframework.messaging",4,34,96,1,""
"axon-messaging-4.12.1","org.axonframework.common",4,27,96,1,""
