"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: Community_Detection/Community_Detection_9_Community_Metrics.cypher"
0,1,-0.0034361421997355615,60,"ProcessingGroup,StubScheduleToken,ContinuedGivenState,CallbackBehavior,SagaTestFixture$TransienceValidatingResourceInjector,AxonServerConfiguration,AxonServerNonTransientRemoteQueryHandlingException,QueryProcessingTask,HeartbeatMonitor$DefaultScheduler","org.axonframework.config.ProcessingGroup,org.axonframework.test.eventscheduler.StubScheduleToken,org.axonframework.test.saga.ContinuedGivenState,org.axonframework.test.utils.CallbackBehavior,org.axonframework.test.saga.SagaTestFixture$TransienceValidatingResourceInjector,org.axonframework.axonserver.connector.AxonServerConfiguration,org.axonframework.axonserver.connector.query.AxonServerNonTransientRemoteQueryHandlingException,org.axonframework.axonserver.connector.query.QueryProcessingTask,org.axonframework.axonserver.connector.heartbeat.HeartbeatMonitor$DefaultScheduler",""
1,1,-0.0004707530994975242,32,"GivenAggregateEventPublisher,EqualsMatcher,GrpcSerializedObject,EventSourcingRepository,SequenceEventStorageEngine,SnapshotEventEntry,AxonServerAutoConfiguration$DefaultConnectionManagerConfiguration,TracingProperties$AttributeProviders,HandlerEnhancerDefinition","org.axonframework.test.saga.GivenAggregateEventPublisher,org.axonframework.test.matchers.EqualsMatcher,org.axonframework.axonserver.connector.util.GrpcSerializedObject,org.axonframework.eventsourcing.EventSourcingRepository,org.axonframework.eventsourcing.eventstore.SequenceEventStorageEngine,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration$DefaultConnectionManagerConfiguration,org.axonframework.springboot.TracingProperties$AttributeProviders,org.axonframework.messaging.annotation.HandlerEnhancerDefinition",""
2,1,-0.0011514736712734874,19,"StubDeadlineManager,AggregateTestFixture$CreationalRepository,GrpcMessageSizeInterceptor$1,EventStoreClientException,AxonServerEventStoreFactory$AxonServerEventStoreConfiguration,PropertiesAxonServerConnectionDetails,TransactionAutoConfiguration,BuilderUtils,CommandExecutionException","org.axonframework.test.deadline.StubDeadlineManager,org.axonframework.test.aggregate.AggregateTestFixture$CreationalRepository,org.axonframework.axonserver.connector.util.GrpcMessageSizeInterceptor$1,org.axonframework.axonserver.connector.event.util.EventStoreClientException,org.axonframework.axonserver.connector.event.axon.AxonServerEventStoreFactory$AxonServerEventStoreConfiguration,org.axonframework.springboot.service.connection.PropertiesAxonServerConnectionDetails,org.axonframework.springboot.autoconfig.TransactionAutoConfiguration,org.axonframework.common.BuilderUtils,org.axonframework.commandhandling.CommandExecutionException",""
3,1,-0.00014501011151301057,14,"NonStaticFieldsFilter,EventProcessorControlService$AxonProcessorInstructionHandler,HeartbeatMonitor,AxonServerCommandBus$CommandProcessingTask,SerializedType,RemoteNonTransientHandlingException,DistributedCommandBus$Builder,PropagatingErrorHandler,Segment","org.axonframework.test.matchers.NonStaticFieldsFilter,org.axonframework.axonserver.connector.processor.EventProcessorControlService$AxonProcessorInstructionHandler,org.axonframework.axonserver.connector.heartbeat.HeartbeatMonitor,org.axonframework.axonserver.connector.command.AxonServerCommandBus$CommandProcessingTask,org.axonframework.serialization.SerializedType,org.axonframework.messaging.RemoteNonTransientHandlingException,org.axonframework.commandhandling.distributed.DistributedCommandBus$Builder,org.axonframework.eventhandling.PropagatingErrorHandler,org.axonframework.eventhandling.Segment",""
4,1,-2.0173046794304374e-05,14,"AxonServerRemoteCommandHandlingException,ManagedChannelCustomizer,GrpcMessageSizeInterceptor$1$1,SnapshotterSpanFactory,JdbcEventStorageEngine$1,JpaEventStoreAutoConfiguration,CommandGatewayFactory$WaitForResultWithTimeoutInArguments,PropertySequencingPolicy$1,JpaSequencedDeadLetterQueue$1","org.axonframework.axonserver.connector.command.AxonServerRemoteCommandHandlingException,org.axonframework.axonserver.connector.ManagedChannelCustomizer,org.axonframework.axonserver.connector.util.GrpcMessageSizeInterceptor$1$1,org.axonframework.eventsourcing.SnapshotterSpanFactory,org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine$1,org.axonframework.springboot.autoconfig.JpaEventStoreAutoConfiguration,org.axonframework.commandhandling.gateway.CommandGatewayFactory$WaitForResultWithTimeoutInArguments,org.axonframework.eventhandling.async.PropertySequencingPolicy$1,org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue$1",""
5,1,-9.016804096699668e-05,15,"EventSchedulerValidator,AxonServerException,GrpcObjectSerializer$Serializer,StreamableResponse,AxonServerAutoConfiguration,SecurityAutoConfiguration,MetadataContextGetter,WrappedMessageHandlingMember,ParameterResolver","org.axonframework.test.eventscheduler.EventSchedulerValidator,org.axonframework.axonserver.connector.AxonServerException,org.axonframework.axonserver.connector.util.GrpcObjectSerializer$Serializer,org.axonframework.axonserver.connector.query.StreamableResponse,org.axonframework.springboot.autoconfig.AxonServerAutoConfiguration,org.axonframework.springboot.autoconfig.SecurityAutoConfiguration,org.axonframework.tracing.opentelemetry.MetadataContextGetter,org.axonframework.messaging.annotation.WrappedMessageHandlingMember,org.axonframework.messaging.annotation.ParameterResolver",""
6,1,-6.41653351046625e-05,15,"AggregateConfigurer,FixtureConfiguration,EventBuffer$SimpleSpliterator,BatchingEventStorageEngine$1,DistributedCommandBusProperties$SpringCloudProperties,DeadlineManager,Timestamp,DeadLetterJdbcConverter,WorkPackage$ProcessingEntry","org.axonframework.config.AggregateConfigurer,org.axonframework.test.saga.FixtureConfiguration,org.axonframework.axonserver.connector.event.axon.EventBuffer$SimpleSpliterator,org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine$1,org.axonframework.springboot.DistributedCommandBusProperties$SpringCloudProperties,org.axonframework.deadline.DeadlineManager,org.axonframework.eventhandling.Timestamp,org.axonframework.eventhandling.deadletter.jdbc.DeadLetterJdbcConverter,org.axonframework.eventhandling.pooled.WorkPackage$ProcessingEntry",""
7,1,-7.879732910211233e-05,15,"PredicateMatcher,StreamingEventProcessorInfoMessage,ConnectionManager,AggregateSnapshotter$SnapshotAggregate,ConflictDescription,CreateTailTokenStatementBuilder,EmbeddedEventStore$EventProducer,AxonServerHealthIndicator,JpaAutoConfiguration","org.axonframework.test.matchers.PredicateMatcher,org.axonframework.axonserver.connector.processor.StreamingEventProcessorInfoMessage,org.axonframework.axonserver.connector.ConnectionManager,org.axonframework.eventsourcing.AggregateSnapshotter$SnapshotAggregate,org.axonframework.eventsourcing.conflictresolution.ConflictDescription,org.axonframework.eventsourcing.eventstore.jdbc.statements.CreateTailTokenStatementBuilder,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventProducer,org.axonframework.actuator.axonserver.AxonServerHealthIndicator,org.axonframework.springboot.autoconfig.JpaAutoConfiguration",""
8,1,-0.0003513304510211482,11,"GrpcMetaDataConverter,SnapshotTriggerDefinition,AggregateSnapshotter$1,DomainEventStream$2,EventSchema,AxonAutoConfiguration$1,ByteArrayToStringConverter,Message,DeadlineHandler","org.axonframework.axonserver.connector.util.GrpcMetaDataConverter,org.axonframework.eventsourcing.SnapshotTriggerDefinition,org.axonframework.eventsourcing.AggregateSnapshotter$1,org.axonframework.eventsourcing.eventstore.DomainEventStream$2,org.axonframework.eventsourcing.eventstore.jdbc.EventSchema,org.axonframework.springboot.autoconfig.AxonAutoConfiguration$1,org.axonframework.serialization.converters.ByteArrayToStringConverter,org.axonframework.messaging.Message,org.axonframework.deadline.annotation.DeadlineHandler",""
9,1,-3.405116243877095e-05,10,"AbstractEventStorageEngine,AsynchronousCommandBus$Builder,AbstractMethodPropertyAccessStrategy,EventLoggingInterceptor,TransactionManagingInterceptor,BeanValidationInterceptor,AbstractRepository$Builder,IdentifierMissingException,JpaSagaStore","org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine,org.axonframework.commandhandling.AsynchronousCommandBus$Builder,org.axonframework.common.property.AbstractMethodPropertyAccessStrategy,org.axonframework.eventhandling.interceptors.EventLoggingInterceptor,org.axonframework.messaging.interceptors.TransactionManagingInterceptor,org.axonframework.messaging.interceptors.legacyvalidation.BeanValidationInterceptor,org.axonframework.modelling.command.AbstractRepository$Builder,org.axonframework.modelling.command.IdentifierMissingException,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore",""
