"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"javax.annotation",79,354,387,1794,120,1515,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",70,158,281,797,120,1515,"Logger,LoggerFactory",""
"com.fasterxml",15,33,89,199,120,1515,"CBORMapper,ObjectMapper,JsonTypeInfo$Id,JsonTypeInfo,JsonGetter,JsonProperty,JsonCreator,JsonTypeInfo$As,JsonIgnore",""
"javax.persistence",15,27,82,311,120,1515,"Id,IdClass,MappedSuperclass,EntityExistsException,Query,EntityManager,TypedQuery,Entity,Table",""
"jakarta.persistence",10,25,73,299,120,1515,"IdClass,Id,MappedSuperclass,Query,TypedQuery,EntityManager,EntityExistsException,Entity,Table",""
"io.axoniq",9,74,213,1032,120,1515,"TopologyChange,UpdateType,NodeInfo$Builder,NodeInfo,ErrorMessage,ServerAddress,AxonServerConnectionFactory,AxonServerConnectionFactory$Builder,CommandSubscription",""
"org.springframework",8,67,284,614,120,1515,"ConfigurationProperties,Status,Health$Builder,AbstractHealthIndicator,SimpleStatusAggregator,NestedConfigurationProperty,ContainerConnectionDetailsFactory,ConnectionDetails,ContainerConnectionSource",""
"io.grpc",5,21,73,151,120,1515,"GrpcSslContexts,ManagedChannelBuilder,SslContextBuilder,ClientInterceptor,StreamObserver,Channel,Metadata,MethodDescriptor,Metadata$AsciiMarshaller",""
"org.hamcrest",5,27,59,370,120,1515,"StringDescription,Matcher,Matchers,Description,CoreMatchers,BaseMatcher,TypeSafeMatcher",""
"reactor.core",5,28,53,203,120,1515,"Schedulers,Scheduler,BaseSubscriber,SignalType,Flux,Mono,FluxSink,Signal,MonoSink",""
"com.google",4,11,14,24,120,1515,"JsonObject,JsonArray,JsonParser,JsonElement,ByteString,MessageLite,Strings",""
"com.github",3,7,21,107,120,1515,"Task,Scheduler,TaskInstanceId,ExecutionContext,SchedulerState,TaskWithDataDescriptor,ScheduledExecution,TaskInstance,Tasks$OneTimeTaskBuilder",""
"com.thoughtworks",3,10,33,121,120,1515,"XStream,HierarchicalStreamWriter,Mapper,HierarchicalStreamReader,CollectionConverter,UnmarshallingContext,MarshallingContext,CannotResolveClassException,MapConverter",""
"org.jobrunr",3,5,9,41,120,1515,"JobScheduler,JobBuilder,StateName,IllegalJobStateChangeException",""
"org.apache",2,12,42,139,120,1515,"SchemaStore,SchemaStore$Cache,Schema,GenericRecord,ClassUtils,Pair,SchemaCompatibility$Incompatibility,GenericDatumReader,DecoderFactory",""
"org.axonframework",2,10,22,70,120,1515,"SpringConfigurer,SpringAxonConfiguration,SpringAggregateLookup,HandlerDefinitionFactoryBean,SpringParameterResolverFactoryBean,SpringResourceInjector,MessageHandlerLookup,SpringSagaLookup,SecuredMessageHandlerDefinition",""
"org.junit",2,4,8,14,120,1515,"Assertions,Statement,Description,TestRule,ExtensionContext,AfterEachCallback,BeforeEachCallback",""
"org.quartz",2,9,36,187,120,1515,"Trigger,JobDetail,JobKey,JobExecutionException,Scheduler,JobExecutionContext,Job,SchedulerContext,JobDataMap",""
"com.lmax",1,7,14,46,120,1515,"RingBuffer,EventHandlerGroup,Disruptor,LifecycleAware,EventHandler,ExceptionHandler,BlockingWaitStrategy,WaitStrategy,ProducerType",""
"io.micrometer",1,1,2,6,120,1515,"SimpleMeterRegistry,MeterRegistry",""
"io.opentelemetry",1,5,21,74,120,1515,"Context,Tracer,TextMapPropagator,TextMapGetter,SpanKind,Span,SpanBuilder,TextMapSetter,Scope",""
"jakarta.validation",1,2,5,15,120,1515,"Validation,ValidatorFactory,Validator,ConstraintViolation",""
"javax.cache",1,2,12,48,120,1515,"CacheEntryEventFilter,CacheEntryEvent,CacheEntryUpdatedListener,CacheEntryListenerConfiguration,CacheEntryListenerException,CacheEntryListener,CacheEntryRemovedListener,CacheEntryExpiredListener,Factory",""
"javax.validation",1,2,5,15,120,1515,"ConstraintViolation,Validation,ValidatorFactory,Validator",""
"net.sf",1,2,8,54,120,1515,"Element,Ehcache,CacheEventListener,CacheException,RegisteredEventListeners",""
"nu.xom",1,3,5,15,120,1515,"Builder,ParsingException,Document",""
"org.dom4j",1,3,4,14,120,1515,"Document,STAXEventReader",""
"org.ehcache",1,3,10,45,120,1515,"EventType,CacheEvent,CacheEventListener,EventOrdering,CacheRuntimeConfiguration,Ehcache,EventFiring",""
"org.testcontainers",1,3,13,43,120,1515,"DockerImageName,Wait,GenericContainer,MountableFile,HttpWaitStrategy,ContainerLaunchException",""
