"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.config","config","embeddingsFastRandomProjection","0.6504622,0.06812094,0.039116755,0.19991416,0.22592032,-0.20861371,0.13535309,-0.11878956,-0.60989416,-0.69699997,0.43990684,-0.22399563,-0.37338609,-0.14428881,0.090611145,0.049265556,0.6134473,0.18610333,0.48708183,-0.6945338,-0.10675365,-0.19160016,0.25248325,-0.01009113,0.11288311,0.30920792,-0.37660772,-0.46377254,0.35751295,-0.07327164,0.25416976,-0.054407433",""
"org.axonframework.actuator","actuator","embeddingsFastRandomProjection","0.12046955,0.029015146,-0.29260978,0.21966204,0.16289054,0.0153575335,0.13293077,-0.044560008,0.00087714195,-0.42749226,0.548149,-0.2749844,0.06948653,-0.047018193,0.18434978,-0.055891342,-0.08043821,0.40206215,0.44158688,0.25534686,-0.14117447,-0.084846064,-0.40451533,0.0016364572,0.45424148,0.47488606,0.061430126,-0.2736007,0.152819,0.050916493,-0.12084614,0.40149516",""
"org.axonframework.actuator.axonserver","axonserver","embeddingsFastRandomProjection","0.2956888,0.047191624,-0.20579205,0.15112668,0.18108553,-0.044350974,0.19081494,-0.1556046,-0.10311562,-0.34701264,0.59208715,-0.34288055,0.101016834,-0.22819115,0.18770498,-0.13359645,-0.053842843,0.37655222,0.49667585,0.28882015,-0.14837135,-0.048501447,-0.25309747,0.024660014,0.48809496,0.45298702,-0.0012755692,-0.24064317,0.15873344,-0.18038446,-0.13173808,0.44186687",""
"org.axonframework.springboot","springboot","embeddingsFastRandomProjection","0.1609618,-0.08335259,-0.26726782,0.23503871,-0.0022464627,-0.058444194,0.06842395,-0.27923343,0.012189642,-0.26519844,0.4759099,-0.34385642,0.041036047,-0.03269489,0.2616251,-0.27033913,-0.17538054,0.43256652,0.5495024,0.3096294,-0.15492369,0.09341031,-0.2039283,0.057342395,0.4894935,0.42305368,-0.09006279,-0.10755055,0.07350388,-0.050006937,0.03891917,0.44221523",""
"org.axonframework.springboot.service.connection","connection","embeddingsFastRandomProjection","0.28212202,-0.17316306,-0.19618744,0.0871619,0.48083103,0.19358239,0.12650415,-0.48461735,0.05121796,-0.22502717,0.121524304,-0.30401024,0.26131898,-0.21560746,0.22938068,-0.09408019,-0.033286247,0.27453667,0.46465313,0.29097015,0.093921915,-0.026048988,-0.18753552,-0.20396139,0.62795365,0.32187986,0.0325769,-0.21041699,0.11148847,-0.122755036,0.12426911,0.3581062",""
"org.axonframework.springboot.autoconfig","autoconfig","embeddingsFastRandomProjection","0.2864659,0.033696987,-0.19643833,0.16183029,0.04737687,-0.098662734,0.12572905,-0.30477324,-0.018416718,-0.33167702,0.4850043,-0.4237132,-0.022577286,-0.10860564,0.28465506,-0.18256703,-0.060117733,0.38827974,0.6317146,0.2402761,-0.16821161,0.06955142,-0.14669368,0.056079417,0.46889943,0.3774203,-0.1150966,-0.19991119,0.11432711,-0.06301451,0.037781883,0.44558245",""
"org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa","embeddingsFastRandomProjection","0.40152878,-0.17841333,-0.1260036,0.17482288,0.22236657,-0.09795198,0.11017987,-0.29777813,0.04206013,-0.43590456,0.3673202,-0.65200007,-0.19867957,-0.254565,0.5043491,-0.18277505,0.21672736,0.30746114,0.9504708,0.007393889,-0.26226875,0.027942255,-0.00025510788,-0.007918835,0.4073114,0.20340227,-0.4355681,-0.24615365,0.28975925,-0.26388466,0.15717888,0.39270353",""
"org.axonframework.springboot.util","util","embeddingsFastRandomProjection","0.15233001,-0.055342536,-0.21444914,0.186937,-0.0042350087,-0.05480699,0.06332545,-0.5094274,0.28823933,-0.1624143,0.40235832,-0.5712412,0.099563465,-0.041191246,0.50613886,-0.2934413,-0.1213822,0.5540245,0.8192368,0.579427,-0.20283964,0.32737043,-0.37598374,0.05803392,0.42846742,0.3571029,-0.14502959,-0.091353774,0.08193834,-0.049790453,0.03899116,0.66258",""
"org.axonframework.springboot.util.legacyjpa","legacyjpa","embeddingsFastRandomProjection","0.31294447,-0.21866068,-0.2554403,0.19367455,0.22247335,0.1621958,0.2736889,-0.27333367,0.3022045,-0.35385102,0.09097573,-0.56673974,0.09023401,-0.14924935,0.7198107,-0.2443633,0.023698919,0.0038915426,0.6077311,0.18837899,-0.2241694,-0.08801987,-0.07545299,-0.16622247,0.13447326,0.19174844,-0.16761304,-0.036220737,0.49268085,-0.22631553,0.20643985,0.32412142",""
"org.axonframework.springboot.util.jpa","jpa","embeddingsFastRandomProjection","0.18749212,-0.017834635,-0.23544893,0.18549685,0.005345256,-0.056169823,0.07143417,-0.21915445,-0.01471518,-0.24759175,0.49184144,-0.29856238,0.032240804,-0.056222145,0.19733006,-0.22267763,-0.1340821,0.33113235,0.5266628,0.2505223,-0.16725615,0.004247308,-0.14693815,0.06823017,0.51287144,0.4334365,-0.08754757,-0.1326911,0.0771855,-0.06374026,0.028123846,0.41479078",""
"org.axonframework.tracing.opentelemetry","opentelemetry","embeddingsFastRandomProjection","0.47985822,0.14009686,0.09999563,0.006965805,-0.10211755,-0.23679939,0.3131295,-0.34685177,-0.4443791,-0.37455523,0.5261764,-0.328524,-0.21506926,-0.074783,0.1327433,0.094752304,0.061866626,0.28689757,0.43643984,-0.1849523,-0.11804559,-0.22594982,0.1760197,0.23150378,0.46943486,0.3024059,-0.17867902,-0.55097747,0.29316002,-0.3619473,0.23091762,0.3732912",""
