"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",215304,22.42033016524924,""
"MODIFIES",215304,22.42033016524924,""
"UPDATES",139782,14.555970122054717,""
"CREATES",52725,5.4904317056941165,""
"INVOKES",37734,3.92936842072379,""
"DELETES",29815,3.1047362978714097,""
"COMMITTED",23168,2.4125618161692044,""
"DEPENDS_ON",22889,2.3835086071433405,""
"CHANGED_TOGETHER_WITH",22674,2.3611199335212594,""
"OF_TYPE",22204,2.312177251649733,""
"DECLARES",21681,2.257715501396949,""
"OF_RAW_TYPE",17460,1.8181685648443673,""
"HAS",14602,1.5205554057192128,""
"HAS_PARENT",14170,1.4755697917436819,""
"RETURNS",13073,1.3613354895882255,""
"HAS_COMMIT",11584,1.2062809080846022,""
"READS",9673,1.0072820462622891,""
"HAS_ACTUAL_TYPE_ARGUMENT",8445,0.8794062732022154,""
"HAS_FILE",8331,0.8675350695142282,""
"RENAMES",7018,0.7308079603710063,""
"OF_GENERIC_TYPE",6036,0.6285489952692211,""
"RESOLVES_TO",4282,0.44589907185931166,""
"WRITES",4042,0.42090706409512796,""
"CONTAINS",4005,0.4170541295648163,""
"HAS_NEW_NAME",3662,0.3813363851351703,""
"RETURNS_GENERIC",3616,0.37654625031370176,""
"ANNOTATED_BY",2943,0.30646449520830316,""
"REQUIRES",2267,0.23607034000585228,""
"HAS_FIRST_CHILD",2162,0.2251363366090219,""
"HAS_LAST_CHILD",2162,0.2251363366090219,""
"HAS_ELEMENT",2144,0.22326193602670813,""
"EXTENDS",1569,0.16338525075835125,""
"HAS_UPPER_BOUND",1541,0.16046951651919647,""
"HAS_TEXT",1450,0.15099338024194348,""
"HAS_SIBLING",1432,0.14911897965962967,""
"THROWS",1429,0.14880657956257737,""
"DECLARES_TYPE_PARAMETER",1088,0.11329710186429964,""
"IMPLEMENTS",868,0.09038776141379788,""
"HAS_KEY",739,0.07695455724054912,""
"HAS_VALUE",739,0.07695455724054912,""
"CATCHES",552,0.05748161785762261,""
"EXTENDS_GENERIC",519,0.05404521679004735,""
"HAS_LOWER_BOUND",441,0.04592281426668763,""
"IS",407,0.042382279833428266,""
"IMPLEMENTS_GENERIC",379,0.0394665455942735,""
"COPIES",298,0.031031742973861482,""
"HAS_AUTHOR",297,0.030927609608177385,""
"HAS_COMMITTER",242,0.025200274495551945,""
"CONTAINS_VALUE",170,0.01770267216629682,""
"HAS_COMPONENT_TYPE",166,0.017286138703560425,""
"DECLARES_DEPENDENCY",165,0.017182005337876324,""
"TO_ARTIFACT",165,0.017182005337876324,""
"HAS_TAG",132,0.01374560427030106,""
"ON_COMMIT",132,0.01374560427030106,""
"COPY_OF",119,0.012391870516407773,""
"HAS_DEFAULT",39,0.004061201261679859,""
"DECLARES_NAMESPACE",36,0.0037488011646275615,""
"REQUIRES_CONCEPT",28,0.0029157342391547703,""
"REQUIRES_TYPE_PARAMETER",24,0.0024992007764183745,""
"HAS_CONFIGURATION",21,0.0021868006793660777,""
"IS_ARTIFACT",21,0.0021868006793660777,""
"USES_PLUGIN",21,0.0021868006793660777,""
"INCLUDES_CONCEPT",19,0.0019785339479978796,""
"HAS_ATTRIBUTE",18,0.0018744005823137808,""
"OF_NAMESPACE",18,0.0018744005823137808,""
"HAS_EXECUTION",16,0.001666133850945583,""
"HAS_GOAL",16,0.001666133850945583,""
"HAS_ROOT_ELEMENT",11,0.0011454670225250884,""
"DESCRIBES",9,0.0009372002911568904,""
"EXCLUDES",5,0.0005206668284204947,""
"THROWS_GENERIC",5,0.0005206668284204947,""
"HAS_HEAD",2,0.00020826673136819788,""
"HAS_BRANCH",1,0.00010413336568409894,""
"HAS_PROPERTY",1,0.00010413336568409894,""
