"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"org.axonframework.extension.metrics.micrometer.GlobalMetricRegistry: org.axonframework.messaging.monitoring.MessageMonitor registerEventProcessor(java.lang.String,java.util.function.Function,java.util.function.Function)","registerEventProcessor","centralityCostEffectiveLazyForward",1.87,""
"org.axonframework.messaging.monitoring.configuration.DefaultMessageMonitorRegistry: org.axonframework.messaging.monitoring.configuration.MessageMonitorRegistry registerMonitor(org.axonframework.common.configuration.ComponentBuilder)","registerMonitor","centralityCostEffectiveLazyForward",1.7999999999999998,""
"org.axonframework.update.UpdateCheckerConfigurationEnhancer: void enhance(org.axonframework.common.configuration.ComponentRegistry)","enhance","centralityCostEffectiveLazyForward",1.7300000000000004,""
"org.axonframework.axonserver.connector.command.AxonServerCommandBusConnector: java.util.concurrent.CompletableFuture dispatch(org.axonframework.messaging.commandhandling.CommandMessage,org.axonframework.messaging.core.unitofwork.ProcessingContext)","dispatch","centralityCostEffectiveLazyForward",1.7199999999999998,""
"org.axonframework.axonserver.connector.AxonServerConfigurationEnhancer: void enhance(org.axonframework.common.configuration.ComponentRegistry)","enhance","centralityCostEffectiveLazyForward",1.6800000000000006,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Builder: org.axonframework.axonserver.connector.AxonServerConfiguration$Builder clientId(java.lang.String)","clientId","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Builder: org.axonframework.axonserver.connector.AxonServerConfiguration$Builder commandFlowControl(int,int,int)","commandFlowControl","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Builder: org.axonframework.axonserver.connector.AxonServerConfiguration$Builder componentName(java.lang.String)","componentName","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Builder: org.axonframework.axonserver.connector.AxonServerConfiguration$Builder connectTimeout(long)","connectTimeout","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Builder: org.axonframework.axonserver.connector.AxonServerConfiguration$Builder eventFlowControl(int,int,int)","eventFlowControl","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Builder: org.axonframework.axonserver.connector.AxonServerConfiguration$Builder queryFlowControl(int,int,int)","queryFlowControl","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Builder: org.axonframework.axonserver.connector.AxonServerConfiguration$Builder servers(java.lang.String)","servers","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration: java.lang.Integer getNewPermitsThreshold()","getNewPermitsThreshold","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration: java.lang.Integer getNrOfNewPermits()","getNrOfNewPermits","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: java.lang.Integer getNewPermitsThreshold()","getNewPermitsThreshold","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: java.lang.Integer getNrOfNewPermits()","getNrOfNewPermits","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: java.lang.String getComponentName()","getComponentName","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration getCommandFlowControl()","getCommandFlowControl","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration getEventFlowControl()","getEventFlowControl","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration getQueryFlowControl()","getQueryFlowControl","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: void setClientId(java.lang.String)","setClientId","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: void setCommandFlowControl(org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration)","setCommandFlowControl","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: void setComponentName(java.lang.String)","setComponentName","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: void setConnectTimeout(long)","setConnectTimeout","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: void setEventFlowControl(org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration)","setEventFlowControl","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: void setQueryFlowControl(org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration)","setQueryFlowControl","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConfiguration: void setServers(java.lang.String)","setServers","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConnectionManager$Builder: org.axonframework.axonserver.connector.AxonServerConnectionManager build()","build","centralityCostEffectiveLazyForward",0,""
"org.axonframework.axonserver.connector.AxonServerConnectionManager$Builder: org.axonframework.axonserver.connector.AxonServerConnectionManager$Builder axonServerConfiguration(org.axonframework.axonserver.connector.AxonServerConfiguration)","axonServerConfiguration","centralityCostEffectiveLazyForward",0,""
