"propertyName","propertyValue","codeUnits","codeUnitNames","shortCodeUnitNames","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Grouped.cypher"
"communityKCoreDecompositionValue",10,22,"org.axonframework.modelling,org.axonframework.modelling.entity,org.axonframework.modelling.entity.child,org.axonframework.modelling.configuration,org.axonframework.modelling.repository,org.axonframework.messaging.commandhandling.distributed,org.axonframework.messaging.commandhandling.configuration,org.axonframework.messaging.eventhandling.processing.streaming.pooled,org.axonframework.messaging.eventhandling.processing.subscribing,org.axonframework.messaging.eventstreaming,org.axonframework.messaging.queryhandling.distributed,org.axonframework.messaging.queryhandling.annotation,org.axonframework.messaging.queryhandling.configuration,org.axonframework.messaging.core.interception.annotation,org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.event,org.axonframework.test.fixture,org.axonframework.eventsourcing,org.axonframework.eventsourcing.annotation,org.axonframework.eventsourcing.annotation.reflection,org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing.eventstore.jpa","modelling,entity,child,configuration,repository,distributed,pooled,subscribing,eventstreaming,annotation,connector,event,fixture,eventsourcing,reflection,eventstore,jpa",""
"communityKCoreDecompositionValue",11,22,"org.axonframework.modelling.annotation,org.axonframework.modelling.entity.annotation,org.axonframework.common,org.axonframework.common.annotation,org.axonframework.common.infra,org.axonframework.common.configuration,org.axonframework.conversion,org.axonframework.messaging.commandhandling,org.axonframework.messaging.commandhandling.annotation,org.axonframework.messaging.eventhandling,org.axonframework.messaging.eventhandling.annotation,org.axonframework.messaging.eventhandling.conversion,org.axonframework.messaging.eventhandling.configuration,org.axonframework.messaging.queryhandling,org.axonframework.messaging.core,org.axonframework.messaging.core.annotation,org.axonframework.messaging.core.interception,org.axonframework.messaging.core.conversion,org.axonframework.messaging.core.unitofwork,org.axonframework.messaging.core.configuration,org.axonframework.extension.springboot.autoconfig,org.axonframework.eventsourcing.configuration","annotation,common,infra,configuration,conversion,commandhandling,eventhandling,queryhandling,core,interception,unitofwork,autoconfig",""
"communityKCoreDecompositionValue",2,8,"org.axonframework.common.io,org.axonframework.messaging.tracing.attributes,org.axonframework.update.common,org.axonframework.update.configuration,org.axonframework.extension.springboot.service.connection,org.axonframework.extension.springboot.actuator.axonserver,org.axonframework.extension.springboot.util.jpa,org.axonframework.test.server","io,attributes,common,configuration,connection,axonserver,jpa,server",""
"communityKCoreDecompositionValue",5,12,"org.axonframework.common.jdbc,org.axonframework.common.util,org.axonframework.common.jpa,org.axonframework.conversion.avro,org.axonframework.conversion.json,org.axonframework.messaging.commandhandling.retry,org.axonframework.messaging.eventhandling.replay,org.axonframework.messaging.core.retry,org.axonframework.messaging.core.unitofwork.transaction,org.axonframework.axonserver.connector.util,org.axonframework.test,org.axonframework.test.matchers","jdbc,util,jpa,avro,json,retry,replay,transaction,test,matchers",""
"communityKCoreDecompositionValue",4,4,"org.axonframework.common.property,org.axonframework.common.lifecycle,org.axonframework.messaging.eventhandling.processing.streaming.token.annotation,org.axonframework.messaging.queryhandling.tracing","property,lifecycle,annotation,tracing",""
"communityKCoreDecompositionValue",1,7,"org.axonframework.common.caching,org.axonframework.common.digest,org.axonframework.common.lock,org.axonframework.extension.metrics.micrometer.reservoir,org.axonframework.conversion.converter,org.axonframework.extension.springboot.actuator,org.axonframework.extension.springboot.util","caching,digest,lock,reservoir,converter,actuator,util",""
"communityKCoreDecompositionValue",8,7,"org.axonframework.extension.metrics.micrometer,org.axonframework.messaging.monitoring,org.axonframework.messaging.eventhandling.processing.streaming.token.store,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.core.timeout,org.axonframework.test.util,org.axonframework.eventsourcing.eventstore.inmemory","micrometer,monitoring,store,jpa,timeout,util,inmemory",""
"communityKCoreDecompositionValue",7,5,"org.axonframework.messaging.monitoring.interception,org.axonframework.messaging.eventhandling.gateway,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.messaging.eventhandling.tracing,org.axonframework.messaging.core.configuration.reflection","interception,gateway,jdbc,tracing,reflection",""
"communityKCoreDecompositionValue",9,8,"org.axonframework.messaging.monitoring.configuration,org.axonframework.messaging.commandhandling.gateway,org.axonframework.messaging.eventhandling.sequencing,org.axonframework.messaging.eventhandling.processing,org.axonframework.messaging.eventhandling.processing.streaming.token,org.axonframework.messaging.eventhandling.processing.streaming.segmenting,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.command","configuration,gateway,sequencing,processing,token,segmenting,query,command",""
"communityKCoreDecompositionValue",6,11,"org.axonframework.messaging.commandhandling.interception,org.axonframework.messaging.commandhandling.tracing,org.axonframework.messaging.eventhandling.replay.annotation,org.axonframework.messaging.eventhandling.interception,org.axonframework.messaging.eventhandling.processing.streaming,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory,org.axonframework.messaging.eventhandling.processing.errorhandling,org.axonframework.messaging.queryhandling.interception,org.axonframework.messaging.queryhandling.gateway,org.axonframework.messaging.core.correlation,org.axonframework.messaging.tracing","interception,tracing,annotation,streaming,inmemory,errorhandling,gateway,correlation",""
"communityKCoreDecompositionValue",3,7,"org.axonframework.messaging.core.reflection,org.axonframework.messaging.core.unitofwork.annotation,org.axonframework.update,org.axonframework.update.detection,org.axonframework.update.api,org.axonframework.extension.springboot,org.axonframework.extension.tracing.opentelemetry","reflection,annotation,update,detection,api,springboot,opentelemetry",""
