"externalPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_package_usage_spread.cypher"
"org.slf4j",11,38,1,14,3,3.4545454545454546,3.6705213897656654,20,100,42.85714285714286,49.120966752545705,26.462865940410218,74,1,30,3,6.727272727272727,8.486352680520756,1.36986301369863,30.43478260869565,6,9.910565517395888,8.92425534200654,"axon-modelling-5.0.0,axon-common-5.0.0,axon-metrics-micrometer-5.0.0,axon-conversion-5.0.0",""
"jakarta.persistence",4,5,1,2,1,1.25,0.5,1.7543859649122806,28.571428571428573,10.989010989010989,13.075959128590709,11.528729367425605,12,2,4,3,3,1.1547005383792515,0.3508771929824561,6.0606060606060606,2.6666666666666665,2.9362041467304625,2.591438419043195,"axon-common-5.0.0,axon-messaging-5.0.0,axon-spring-boot-autoconfigure-5.0.0,axon-eventsourcing-5.0.0",""
"com.fasterxml.jackson.databind",3,3,1,1,1,1,0,7.6923076923076925,25,14.285714285714286,15.65934065934066,8.735226975595959,9,1,5,3,3,2,0.6666666666666666,16.666666666666668,4.545454545454545,7.292929292929292,8.346344296517403,"axon-common-5.0.0,axon-conversion-5.0.0,axon-spring-boot-autoconfigure-5.0.0",""
"com.fasterxml.jackson.databind.node",2,2,1,1,1,1,0,7.6923076923076925,25,16.346153846153847,16.346153846153847,12.238386597459476,3,1,2,1.5,1.5,0.7071067811865476,0.6666666666666666,6.666666666666667,3.666666666666667,3.6666666666666665,4.242640687119286,"axon-common-5.0.0,axon-conversion-5.0.0",""
"io.axoniq.axonserver.connector",2,5,1,4,2.5,2.5,2.1213203435596424,14.285714285714286,80,47.142857142857146,47.14285714285714,46.4670170494017,16,1,15,8,8,9.899494936611665,1.5151515151515151,20.833333333333332,11.174242424242424,11.174242424242424,13.660017363831031,"axon-spring-boot-autoconfigure-5.0.0,axon-server-connector-5.0.0",""
"io.axoniq.axonserver.connector.control",2,3,1,2,1.5,1.5,0.7071067811865476,14.285714285714286,40,27.142857142857142,27.142857142857146,18.18274580193979,5,1,4,2.5,2.5,2.1213203435596424,1.5151515151515151,5.555555555555555,3.5353535353535355,3.535353535353535,2.856997095703222,"axon-spring-boot-autoconfigure-5.0.0,axon-server-connector-5.0.0",""
"org.apache.avro",2,2,1,1,1,1,0,14.285714285714286,25,19.642857142857142,19.642857142857142,7.576144084141579,5,1,4,2.5,2.5,2.1213203435596424,1.5151515151515151,13.333333333333334,7.424242424242425,7.424242424242425,8.356716504931926,"axon-conversion-5.0.0,axon-spring-boot-autoconfigure-5.0.0",""
"org.apache.avro.message",2,2,1,1,1,1,0,14.285714285714286,25,19.642857142857142,19.642857142857142,7.576144084141579,9,3,6,4.5,4.5,2.1213203435596424,4.545454545454545,20,12.272727272727273,12.272727272727273,10.928013891064825,"axon-conversion-5.0.0,axon-spring-boot-autoconfigure-5.0.0",""
"IdTypeParameterResolver",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.0",""
"ScannedEntityCreator",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.0",""
"WrappedEventCriteriaBuilderMethod",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,1,1,1,1,1,0,1,1,1,1,0,"axon-eventsourcing-5.0.0",""
"com.fasterxml.jackson.annotation",1,1,1,1,1,1,0,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,0,2,2,2,2,2,0,0.3508771929824561,0.3508771929824561,0.3508771929824561,0.3508771929824561,0,"axon-messaging-5.0.0",""
"com.fasterxml.jackson.core",1,1,1,1,1,1,0,25,25,25,25,0,1,1,1,1,1,0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,0,"axon-conversion-5.0.0",""
"com.fasterxml.jackson.dataformat.cbor.databind",1,1,1,1,1,1,0,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0,2,2,2,2,2,0,3.0303030303030303,3.0303030303030303,3.0303030303030303,3.0303030303030303,0,"axon-spring-boot-autoconfigure-5.0.0",""
"com.google.gson",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.36986301369863,1.36986301369863,1.36986301369863,1.36986301369863,0,"axon-test-5.0.0",""
"com.google.protobuf",1,4,4,4,4,4,0,80,80,80,80,0,8,8,8,8,8,0,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,0,"axon-server-connector-5.0.0",""
"io.axoniq.axonserver.connector.admin",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,0,"axon-server-connector-5.0.0",""
"io.axoniq.axonserver.connector.command",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,0,"axon-server-connector-5.0.0",""
"io.axoniq.axonserver.connector.event",1,1,1,1,1,1,0,20,20,20,20,0,5,5,5,5,5,0,6.944444444444445,6.944444444444445,6.944444444444445,6.944444444444445,0,"axon-server-connector-5.0.0",""
"io.axoniq.axonserver.connector.impl",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,0,"axon-server-connector-5.0.0",""
"io.axoniq.axonserver.connector.query",1,1,1,1,1,1,0,20,20,20,20,0,3,3,3,3,3,0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,0,"axon-server-connector-5.0.0",""
"io.axoniq.axonserver.grpc",1,5,5,5,5,5,0,100,100,100,100,0,18,18,18,18,18,0,25,25,25,25,0,"axon-server-connector-5.0.0",""
"io.axoniq.axonserver.grpc.command",1,1,1,1,1,1,0,20,20,20,20,0,3,3,3,3,3,0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,0,"axon-server-connector-5.0.0",""
"io.axoniq.axonserver.grpc.control",1,2,2,2,2,2,0,40,40,40,40,0,6,6,6,6,6,0,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,0,"axon-server-connector-5.0.0",""
"io.axoniq.axonserver.grpc.event",1,1,1,1,1,1,0,20,20,20,20,0,3,3,3,3,3,0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,0,"axon-server-connector-5.0.0",""
"io.axoniq.axonserver.grpc.event.dcb",1,1,1,1,1,1,0,20,20,20,20,0,6,6,6,6,6,0,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,0,"axon-server-connector-5.0.0",""
"io.axoniq.axonserver.grpc.query",1,1,1,1,1,1,0,20,20,20,20,0,5,5,5,5,5,0,6.944444444444445,6.944444444444445,6.944444444444445,6.944444444444445,0,"axon-server-connector-5.0.0",""
"io.grpc",1,3,3,3,3,3,0,60,60,60,60,0,7,7,7,7,7,0,9.722222222222221,9.722222222222221,9.722222222222221,9.722222222222221,0,"axon-server-connector-5.0.0",""
"io.grpc.netty.shaded.io.grpc.netty",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,0,"axon-server-connector-5.0.0",""
"io.grpc.netty.shaded.io.netty.handler.ssl",1,1,1,1,1,1,0,20,20,20,20,0,1,1,1,1,1,0,1.3888888888888888,1.3888888888888888,1.3888888888888888,1.3888888888888888,0,"axon-server-connector-5.0.0",""
"io.grpc.stub",1,2,2,2,2,2,0,40,40,40,40,0,3,3,3,3,3,0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,0,"axon-server-connector-5.0.0",""
