"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: GitLog/List_git_file_directories_with_commit_statistics.cypher"
"AxonFramework-5.0.0","AxonFramework-5.0.0","","","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",114,2472,5836,"2025-11-17","2025-11-18","2025-11-18",25,25,24,"fff5f9f26176f13bcd2824e006f71d61da2ac8b1","AxonFramework-5.0.0/update/src/test/resources/META-INF/maven/org.axonframework/axon-modelling/pom.properties",1,1,""
"AxonFramework-5.0.0/.github",".github","AxonFramework-5.0.0","AxonFramework-5.0.0","Steven van Beelen","dependabot[bot]","Mitchell Herrijgers",26,15,674,"2025-08-13","2025-11-07","2025-11-07",36,121,36,"ffdb987d127fe126d7d345fa72b94c51bdb220cf","AxonFramework-5.0.0/.github/workflows/slack-release-notification.yml",2,1,""
"AxonFramework-5.0.0/.github/ISSUE_TEMPLATE","ISSUE_TEMPLATE","AxonFramework-5.0.0/.github",".github","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",6,4,52,"2025-08-13","2025-08-21","2025-08-21",114,121,113,"fa509a0b37d60e0d49b0a95686836dc59e5dc146","AxonFramework-5.0.0/.github/ISSUE_TEMPLATE/4_documentation_change.md",3,1,""
"AxonFramework-5.0.0/.github/workflows","workflows","AxonFramework-5.0.0/.github",".github","Steven van Beelen","dependabot[bot]","Mitchell Herrijgers",26,7,648,"2023-04-14","2025-11-07","2025-11-07",36,973,36,"ffdb987d127fe126d7d345fa72b94c51bdb220cf","AxonFramework-5.0.0/.github/workflows/slack-release-notification.yml",3,1,""
"AxonFramework-5.0.0/.idea",".idea","AxonFramework-5.0.0","AxonFramework-5.0.0","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",5,3,54,"2025-03-14","2025-08-22","2025-08-22",113,273,112,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713","AxonFramework-5.0.0/.idea/inspectionProfiles/Project_Default.xml",2,1,""
"AxonFramework-5.0.0/.idea/copyright","copyright","AxonFramework-5.0.0/.idea",".idea","Steven van Beelen","Allard Buijze",,2,1,19,"2025-01-09","2025-01-09","2025-08-08",127,338,338,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713","AxonFramework-5.0.0/.idea/copyright/Axon_Framework_copyright_template.xml",3,1,""
"AxonFramework-5.0.0/.idea/inspectionProfiles","inspectionProfiles","AxonFramework-5.0.0/.idea",".idea","Steven van Beelen","Mitchell Herrijgers","Allard Buijze",5,1,44,"2025-01-09","2025-08-22","2025-08-22",113,338,112,"fe926a4970bdf1e538e8e7fb8d147ffdc676e713","AxonFramework-5.0.0/.idea/inspectionProfiles/Project_Default.xml",3,1,""
"AxonFramework-5.0.0/.mvn/wrapper",".mvn/wrapper","AxonFramework-5.0.0","AxonFramework-5.0.0","Steven van Beelen","Allard Buijze","Jan Galinski",13,2,86,"2018-07-15","2025-11-14","2025-11-14",29,2707,28,"f89c41adfbfda2656db9987aaa87525f17308740","AxonFramework-5.0.0/.mvn/wrapper/maven-wrapper.properties",3,2,""
"AxonFramework-5.0.0/axon-5","axon-5","AxonFramework-5.0.0","AxonFramework-5.0.0","Steven van Beelen","Mitchell Herrijgers","Simon Zambrovski",8,9,659,"2024-01-03","2025-11-18","2025-11-18",25,709,24,"ff99ea6ad4081bfbf75e91e533004bd112f36696","AxonFramework-5.0.0/axon-5/reactive-native.md",2,1,""
"AxonFramework-5.0.0/axon-framework-bom","axon-framework-bom","AxonFramework-5.0.0","AxonFramework-5.0.0","Allard Buijze","Steven van Beelen","Jan Galinski",3,1,7,"2025-11-17","2025-11-18","2025-11-18",25,25,24,"e2a33c1abcb743d9e2add4340d9bf642b1a21641","AxonFramework-5.0.0/axon-framework-bom/pom.xml",2,1,""
"AxonFramework-5.0.0/axon-server-connector/src","axon-server-connector/src","AxonFramework-5.0.0","AxonFramework-5.0.0","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",25,58,851,"2025-11-06","2025-11-18","2025-11-18",25,36,24,"ffa09b102716aa57ebdee51492cc09b076ed9f27","AxonFramework-5.0.0/axon-server-connector/src/test/resources/junit-platform.properties",3,2,""
"AxonFramework-5.0.0/axon-server-connector/src/main","main","AxonFramework-5.0.0/axon-server-connector/src","src","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",16,31,666,"2025-11-06","2025-11-18","2025-11-18",25,36,24,"ff444d0fecd3a54da633c9d7ed396973f6f4f642","AxonFramework-5.0.0/axon-server-connector/src/main/resources/META-INF/services/org.axonframework.common.configuration.ConfigurationEnhancer",4,1,""
"AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector","java/org/axonframework/axonserver/connector","AxonFramework-5.0.0/axon-server-connector/src/main","main","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",16,30,656,"2025-11-06","2025-11-18","2025-11-18",25,36,24,"ff444d0fecd3a54da633c9d7ed396973f6f4f642","AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/util/ProcessingInstructionUtils.java",9,5,""
"AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/command","command","AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector","connector","Steven van Beelen","Simon Zambrovski","Mitchell Herrijgers",8,2,105,"2025-08-15","2025-11-18","2025-11-18",25,119,24,"fdddb8b6ce37c30237b25549ddefec5a1871a040","AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/command/CommandConverter.java",10,1,""
"AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/event","event","AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector","connector","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",8,10,341,"2025-10-21","2025-11-11","2025-11-11",32,53,31,"ff444d0fecd3a54da633c9d7ed396973f6f4f642","AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/event/TaggedEventConverter.java",10,1,""
"AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/query","query","AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector","connector","Allard Buijze","Simon Zambrovski","Steven van Beelen",5,6,73,"2025-10-28","2025-11-18","2025-11-18",25,45,24,"f8f0f914ffcf1610aab0ee110a1d708ed10c1262","AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/query/QueryUpdateMessageStream.java",10,1,""
"AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/util","util","AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector","connector","Steven van Beelen","Allard Buijze","smcvb",15,6,182,"2025-11-06","2025-11-14","2025-11-14",29,36,28,"fdddb8b6ce37c30237b25549ddefec5a1871a040","AxonFramework-5.0.0/axon-server-connector/src/main/java/org/axonframework/axonserver/connector/util/ProcessingInstructionUtils.java",10,1,""
"AxonFramework-5.0.0/axon-server-connector/src/main/resources/META-INF/services","resources/META-INF/services","AxonFramework-5.0.0/axon-server-connector/src/main","main","Steven van Beelen","Allard Buijze","Mitchell Herrijgers",11,1,78,"2025-11-04","2025-11-04","2025-11-07",36,38,38,"fdddb8b6ce37c30237b25549ddefec5a1871a040","AxonFramework-5.0.0/axon-server-connector/src/main/resources/META-INF/services/org.axonframework.common.configuration.ConfigurationEnhancer",7,3,""
"AxonFramework-5.0.0/axon-server-connector/src/test","test","AxonFramework-5.0.0/axon-server-connector/src","src","Steven van Beelen","Allard Buijze","Simon Zambrovski",25,27,546,"2025-11-06","2025-11-18","2025-11-18",25,36,24,"ffa09b102716aa57ebdee51492cc09b076ed9f27","AxonFramework-5.0.0/axon-server-connector/src/test/resources/junit-platform.properties",4,1,""
