"codeUnitName","shortCodeUnitName","nodeElementId","projectName","incomingDependencies","outgoingDependencies","communityId","clusteringCoefficient","articleRank","pageRank","pageToArticleRankDifference","betweenness","clusteringLabel","clusteringProbability","clusteringIsNoise","clusteringIsMedoid","clusteringSize","clusteringRadiusMax","clusteringRadiusAverage","clusteringNormalizedDistanceToMedoid","anomalyLabel","anomalyScore","anomalyTopFeature1","anomalyTopFeature2","anomalyTopFeature3","anomalyTopFeatureSHAPValue1","anomalyTopFeatureSHAPValue2","anomalyTopFeatureSHAPValue3","visualizationX","visualizationY","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/features/AnomalyDetectionFeatures.cypher"
"org.axonframework.axonserver.connector.AxonServerConnectionManager$Builder","AxonServerConnectionManager$Builder","4:094de2d3-0d67-4a2d-b0f6-4937c556cce0:25","axon-server-connector-5.0.1",2,8,0,0.16666666666666666,0.24166354742338025,0.31134672138273906,0.0696831739593588,91.03333333333333,45,1,0,0,23,12.432535606436431,5.248704272302111,0.06580533460326081,0,-0.06564467870382795,"","","",0,0,0,1.4095102548599243,5.493765354156494,""
"org.axonframework.axonserver.connector.TopologyChange$1","TopologyChange$1","4:094de2d3-0d67-4a2d-b0f6-4937c556cce0:27","axon-server-connector-5.0.1",1,1,0,0,0.16552069305544886,0.1874424913447491,0.021921798289300243,0,6,1,0,0,5,3.3386350619839504,0.9285474932257785,7.578632480855669e-07,0,-0.08006269055493104,"","","",0,0,0,-0.6238570213317871,-3.616189479827881,""
"org.axonframework.axonserver.connector.MetadataConverter","MetadataConverter","4:094de2d3-0d67-4a2d-b0f6-4937c556cce0:28","axon-server-connector-5.0.1",4,2,3,0.2,0.20697923969870535,0.598570529510518,0.3915912898118127,18.666666666666668,51,1,0,0,6,10.613090447848663,5.185502175513345,0.14567589162663044,0,-0.06726972101334056,"","","",0,0,0,1.3811267614364624,2.480267286300659,""
"org.axonframework.axonserver.connector.AxonServerConfiguration$Eventhandling","AxonServerConfiguration$Eventhandling","4:094de2d3-0d67-4a2d-b0f6-4937c556cce0:30","axon-server-connector-5.0.1",4,1,0,0.6666666666666666,0.24238407692633024,1.3637603851224203,1.1213763081960901,4,45,1,0,0,23,12.432535606436431,5.248704272302111,0.06483050486438523,0,-0.06156691076375359,"","","",0,0,0,1.4475762844085693,5.508595943450928,""
"org.axonframework.axonserver.connector.util.GrpcMessageSizeInterceptor$1","GrpcMessageSizeInterceptor$1","4:094de2d3-0d67-4a2d-b0f6-4937c556cce0:31","axon-server-connector-5.0.1",2,4,4,0.3333333333333333,0.3339506016156501,0.7712402021000455,0.4372896004843954,13,1,1,0,0,5,2.110656975710299,1.4204987185250502,1,1,0.009656367456848836,"nodeEmbeddingPCA_23","nodeEmbeddingPCA_29","nodeEmbeddingPCA_30",-0.1630650618158064,-0.13778103696581834,-0.07967571048539585,11.495535850524902,8.027915000915527,""
"org.axonframework.axonserver.connector.AxonServerConfiguration","AxonServerConfiguration","4:094de2d3-0d67-4a2d-b0f6-4937c556cce0:38","axon-server-connector-5.0.1",7,6,0,0.16666666666666666,0.45432318774591063,0.5544673851621409,0.10014419741623026,68,45,0.4426755803634957,0,0,23,12.432535606436431,5.248704272302111,0.19148487164927597,0,-0.061547865356233744,"","","",0,0,0,1.4343280792236328,5.600928783416748,""
"org.axonframework.axonserver.connector.AxonServerConnectionManager","AxonServerConnectionManager","4:094de2d3-0d67-4a2d-b0f6-4937c556cce0:43","axon-server-connector-5.0.1",7,4,0,0.2,0.2750988092501325,0.3690272423227323,0.09392843307259979,113.2,45,0.280569148258615,0,0,23,12.432535606436431,5.248704272302111,0.2957988467085456,0,-0.06200562599581366,"","","",0,0,0,1.5098973512649536,5.267005443572998,""
"org.axonframework.axonserver.connector.util.GrpcMessageSizeInterceptor","GrpcMessageSizeInterceptor","4:094de2d3-0d67-4a2d-b0f6-4937c556cce0:60","axon-server-connector-5.0.1",3,2,4,0.3333333333333333,0.34516956691809814,0.6760376271183602,0.3308680602002621,46,1,1,0,0,5,2.110656975710299,1.4204987185250502,0.979109587936796,1,0.013433565824971516,"nodeEmbeddingPCA_29","nodeEmbeddingPCA_23","nodeEmbeddingPCA_30",-0.1960238255513809,-0.17136764295630805,-0.09463973836094673,11.499088287353516,8.030783653259277,""
"org.axonframework.axonserver.connector.TopologyChange","TopologyChange","4:094de2d3-0d67-4a2d-b0f6-4937c556cce0:62","axon-server-connector-5.0.1",2,3,0,0,0.22553920232193966,0.44049989817351887,0.2149606958515792,20,6,1,0,0,5,3.3386350619839504,0.9285474932257785,0.3906081508142504,0,-0.07803298872592573,"","","",0,0,0,-0.7018731236457825,-3.586366653442383,""
"org.axonframework.axonserver.connector.MetadataConverter$1","MetadataConverter$1","4:094de2d3-0d67-4a2d-b0f6-4937c556cce0:71","axon-server-connector-5.0.1",1,1,3,0,0.19567546907087946,0.48918996672262693,0.2935144976517475,0,51,1,0,0,6,10.613090447848663,5.185502175513345,0.549387176482342,0,-0.07776847007971793,"","","",0,0,0,1.0504443645477295,2.5928590297698975,""
