"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.axonserver.connector.AxonServerConnectionManager$Builder","AxonServerConnectionManager$Builder","embeddingsNode2Vec","0.97220683,-0.41172627,-0.9758587,-0.13004826,0.17198141,-0.2671464,-0.056079358,0.41333565,0.1387146,0.05961301,0.4780891,0.46898428,-0.6004411,-0.9979451,-0.5163404,-0.7283456,-0.24014653,-0.009365625,-0.11321446,0.34114963,-0.24802427,-0.123743966,-0.03784692,0.19807027,0.6740923,-0.088316515,-0.3028822,0.022974826,-0.15190198,0.8423509,0.04093685,-0.3712956,-0.14461558,-0.20135759,-0.8834433,0.14756815,-0.052472845,-0.4920989,-0.09624993,-0.4829648,0.10379438,0.41788056,-0.11321959,-0.76528347,-0.21664762,-1.0001154,-0.1806534,0.5259457,0.4282679,-0.41608503,-0.5641517,-0.0020486068,0.039462633,-0.49770185,-0.060971275,-0.12750834,0.46882215,-0.084874175,0.58010566,-0.26585674,-0.10455953,0.08292556,0.1179876,0.34119207",""
"org.axonframework.axonserver.connector.TagsConfiguration","TagsConfiguration","embeddingsNode2Vec","0.93612325,-0.46504322,-0.7883741,-0.22318453,0.31034446,-0.081995994,-0.6004179,0.33817735,0.38091233,0.24843447,0.3355723,0.28414294,-0.74108857,-0.78605396,-0.36983442,-0.33733863,-0.34854937,0.08288538,-0.20109558,0.21752636,-0.20604363,-0.18703069,-0.27743557,0.41641214,0.8621472,-0.09288892,-0.14986768,-0.18080565,0.031261202,0.94484293,-0.2232659,-0.5799149,-0.046808716,-0.10077945,-0.47580495,0.31359956,-0.118953295,-0.30514973,-0.035147864,-0.7512714,0.14206979,0.6336383,0.3640878,-0.8920532,-0.56788534,-1.1148393,-0.16040948,0.55358136,0.34180236,-0.55232036,-0.6308484,0.6689312,-0.021368911,-0.6090359,-0.22580163,-0.3289421,0.40587598,-0.18248479,0.72339565,-0.2687942,-0.2228014,-0.09446579,0.13693605,0.2694957",""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","embeddingsNode2Vec","0.70479584,-0.467567,-0.4723091,-0.1419094,-0.18870525,-0.4575882,-0.555412,0.67936426,-0.25110474,0.7303657,0.66137546,0.75587773,-0.5309586,-0.17775531,-0.28135923,-0.5288427,-0.20208792,0.039712567,0.015317906,0.42145395,-0.8897089,-0.011866761,0.5588947,-0.16508384,-0.40001085,-0.019018073,-0.056134243,-0.528877,-0.38927463,-0.03867955,-0.21620417,-0.4249116,0.09927565,0.6100356,-0.4564434,0.6006544,0.16451886,-0.25698456,-0.34720907,0.16372135,-0.1603831,-0.5017654,0.09830275,0.08148894,-0.07603728,-0.75726473,0.23446792,0.41125655,0.03631206,-0.1621344,0.060215693,0.62369555,0.20765133,-0.30249467,-0.34730038,-0.31262642,-0.011077724,0.14864156,0.27662438,-0.23626712,0.11003647,-0.19460668,-0.04831172,-0.11044838",""
"org.axonframework.common.BuilderUtils","BuilderUtils","embeddingsNode2Vec","0.45440537,-0.2131126,0.067485794,-0.47632048,0.32830542,-0.5440335,-0.19353512,0.29447994,0.51257604,0.15571573,0.79524404,0.32230473,-0.70573914,-0.48573247,-0.08625186,-0.08977008,0.23364954,0.18265136,-0.1966626,0.46406627,-0.4636552,-0.049958777,-0.165538,0.059086155,-0.6279604,0.14696942,-0.17696358,0.20626268,-0.44665733,0.23374626,-0.3398073,-0.75653803,0.26385042,0.5621906,-0.46907037,0.46651652,0.2033615,-0.5738992,0.14609118,-0.42273432,-0.51368994,0.022123111,0.559473,-0.26409334,-1.0437443,-0.4607758,-0.704317,-0.42784992,0.14664347,-0.22034505,-0.4021821,0.08615747,-0.14412032,-0.66334504,0.16207135,-0.18998043,0.37729862,0.24564537,0.24544105,-0.70807594,-0.19436815,0.044132866,0.63827056,-0.29613048",""
"org.axonframework.common.ObjectUtils","ObjectUtils","embeddingsNode2Vec","0.24320716,-0.019720837,-0.07073138,0.014276782,0.14637603,-0.015235606,-0.14263298,0.06831335,0.3907983,-0.05769712,0.74378115,0.57960534,-0.10627592,-0.46927285,-0.5468162,-0.7748115,0.0026074431,-0.42438224,-0.027635684,0.39153206,-0.5839155,0.22002378,0.67714626,-0.07787516,0.25442168,0.119566776,-0.18829663,0.3430557,0.63171303,0.48793006,0.8331582,-0.47370806,-0.1746999,-0.0009035,-0.8564498,0.009413746,0.38954023,0.04768747,-0.7140729,-0.35539833,0.16342473,-0.2529449,0.23808353,0.016387118,-0.19053835,-0.6887578,0.21416783,-0.12135309,0.42120972,1.1970247,-0.6319891,0.15225787,0.21787132,0.2591186,-0.2960549,0.14137664,0.07673213,-0.22372562,-0.0397844,0.17310585,-0.5357297,0.26685864,0.40312904,0.37990573",""
"org.axonframework.axonserver.connector.AxonServerConfiguration","AxonServerConfiguration","embeddingsNode2Vec","1.0424259,-0.04092886,-1.0665189,0.099528216,0.29616547,-0.26675346,-0.2000533,0.5542843,0.33960322,0.0056411335,0.29675347,0.32041773,-0.29329187,-0.56770545,-0.55729175,-0.75017035,-0.31036633,-0.10153866,-0.16252545,-0.11014785,-0.5119748,-0.2639548,0.08549894,0.27873662,0.75083923,-0.2511373,-0.34094572,0.058398,-0.10861734,0.8733205,0.49533477,-0.18951848,-0.09598724,0.023709001,-0.8818217,-0.13263519,0.023016302,-0.43817896,-0.069233306,-0.2906869,0.11982889,0.7542251,-0.044323362,-0.9782252,0.10745083,-0.96782184,-0.26049408,0.6669551,0.33782384,-0.69275856,-0.45111552,0.15732595,0.20353332,-0.6416174,0.23872817,-0.2965365,0.30599028,-0.32269037,0.8424602,-0.13584405,-0.035432123,-0.0766252,0.30439132,0.24964833",""
"org.axonframework.axonserver.connector.util.GrpcMessageSizeInterceptor","GrpcMessageSizeInterceptor","embeddingsNode2Vec","1.2993001,-0.7041226,-1.0407987,-0.32893035,0.59518325,0.29975688,-0.62111884,1.1161844,0.86391366,-0.20421812,0.46208224,0.6373465,-1.0097058,-1.1782982,-0.9125627,-0.44584933,-0.3887458,-0.6718511,0.31536263,0.34503135,-0.65036947,0.30255085,-0.12953718,-0.5609239,1.4098234,-0.08093009,-1.0071119,0.051570725,0.14697546,0.92508286,0.63985765,-0.34939644,-0.3452826,-0.24579945,-1.0485051,0.6687382,-0.104268275,-0.50541466,0.4543395,-0.55710125,-0.17483145,0.11867256,0.22632541,-0.9809,-0.93817073,-1.1138443,0.12409893,1.0470922,0.29473874,-0.21879068,-0.26462752,0.14091119,-0.15660143,-0.45009193,-0.7629465,0.14305738,0.2599948,-0.5032937,1.3665066,-0.25179204,0.15383808,0.49747312,0.7746168,0.10680205",""
"org.axonframework.axonserver.connector.AxonServerConnectionManager","AxonServerConnectionManager","embeddingsNode2Vec","0.9510331,-0.32040575,-0.9212188,0.08508477,0.101897694,-0.14027008,0.24779391,0.40163916,0.27239594,-0.004543269,0.29122734,0.30396497,-0.5024438,-0.56950206,-0.409411,-0.35553706,-0.21373986,-0.4815488,0.06699291,-0.21854967,-0.1114301,0.27807876,0.10433931,0.40833035,0.8881519,-0.14165945,-0.011312913,0.27288705,-0.3716494,0.73571026,0.35879603,-0.0044647707,-0.13225225,-0.38726544,-0.23894311,-0.17701548,-0.19433467,-0.34645915,-0.018986873,-0.4580047,0.3204558,0.89433753,-0.18920785,-0.6854706,0.012647165,-0.79709107,-0.33656105,0.45680508,0.1302598,-0.43866774,-0.52708226,0.10612564,-0.08425834,-0.4952409,0.116092175,-0.01692066,0.06641991,-0.18526943,0.78095144,0.024601977,-0.2542382,0.20244363,0.17098932,0.06955995",""
"org.axonframework.axonserver.connector.AxonServerConfiguration$FlowControlConfiguration","AxonServerConfiguration$FlowControlConfiguration","embeddingsNode2Vec","1.2400075,-0.16458133,-0.6908782,0.102979265,0.16422606,-0.2579306,-0.29794967,0.6246672,0.47583207,0.25489056,0.5535885,0.2943506,-0.2857797,-0.775207,-0.6360934,-0.72218597,-0.29667106,-0.068902,0.025089014,0.0882252,-0.58546805,-0.19595027,0.08855913,0.009159845,0.87706393,-0.30361056,-0.3897075,-0.04210316,0.0028336998,0.9555648,0.6105376,-0.22928065,-0.044122323,0.09324561,-0.91852915,-0.16090101,-0.115753785,-0.43461284,-0.03747774,-0.15423161,0.13568106,0.7561705,-0.13531375,-1.011904,0.11285621,-0.93613327,0.005651279,0.71277386,0.30556428,-0.7297244,-0.6449661,0.3396552,0.06835969,-0.8546622,0.11307148,-0.19436844,0.3428871,-0.25193787,0.91684407,-0.19116881,0.24125144,-0.117821686,0.16557348,0.09769119",""
"org.axonframework.axonserver.connector.TopologyChange$1","TopologyChange$1","embeddingsNode2Vec","1.4378517,-0.6723578,-0.21802947,-0.33258963,0.7680643,0.22073504,-0.2900694,0.5645731,1.3550296,-0.04135851,0.4685229,-0.3652332,-0.3592762,-1.0596043,-0.4927646,-0.30865222,-0.646518,-0.14913104,0.60762185,0.6971829,-0.29269814,-0.024792029,-0.4214061,-0.8743954,1.1756678,0.19042104,-0.36817187,0.5971915,-0.1490063,1.0398825,2.1178062,-0.48268726,-0.08527202,0.08798861,-0.52509713,-0.66344166,-0.6057379,-0.7574551,0.6471775,-0.78279,0.46826535,1.1815201,0.14983413,-0.13396835,-0.22005107,-0.7113887,0.44892034,0.49957,-0.09715454,-0.15255776,-0.27687,0.2622781,0.19884439,-0.14724413,0.04292318,-0.3359989,0.4910815,0.46960056,1.0276895,-0.27860326,-0.17642991,0.39160115,0.24399817,-1.2595929",""
