"codeUnitName","shortCodeUnitName","nodeElementId","projectName","incomingDependencies","outgoingDependencies","communityId","clusteringCoefficient","articleRank","pageRank","pageToArticleRankDifference","betweenness","clusteringLabel","clusteringProbability","clusteringIsNoise","clusteringIsMedoid","clusteringSize","clusteringRadiusMax","clusteringRadiusAverage","clusteringNormalizedDistanceToMedoid","anomalyLabel","anomalyScore","anomalyTopFeature1","anomalyTopFeature2","anomalyTopFeature3","anomalyTopFeatureSHAPValue1","anomalyTopFeatureSHAPValue2","anomalyTopFeatureSHAPValue3","visualizationX","visualizationY","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/features/AnomalyDetectionFeatures.cypher"
"org.axonframework.test","test","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:19","axon-test-5.0.2",7,13,0,0.7,0.2033334711205564,0.21380242119689358,0.010468950076337163,11.5,-1,0,1,0,20,0,0,0,0,-0.03589892222700253,"","","",0,0,0,-0.37674641609191895,11.749166488647461,""
"org.axonframework.test.fixture","fixture","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:20","axon-test-5.0.2",132,972,0,0.49523809523809526,0.15000000000000002,0.15000000000000002,0,0,-1,0,1,0,20,0,0,0,0,-0.01695619687705785,"","","",0,0,0,-0.2798933982849121,11.69351863861084,""
"org.axonframework.test.util","util","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:21","axon-test-5.0.2",23,164,1,0.7142857142857143,0.15248404433993956,0.15256281407035177,7.876973041220925e-05,2,7,0.653225842577688,0,0,40,12.392331922310404,6.2557070662489425,0.9324566753572581,0,-0.08496294514316804,"","","",0,0,0,0.4017106294631958,12.272758483886719,""
"org.axonframework.test.server","server","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:22","axon-test-5.0.2",3,2,2,0,0.2215037571337984,0.2779152298850575,0.0564114727512591,1,-1,0,1,0,20,0,0,0,0,-0.01167991690732817,"","","",0,0,0,0.10050956904888153,8.033347129821777,""
"org.axonframework.test.matchers","matchers","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:23","axon-test-5.0.2",35,47,0,0.7333333333333333,0.16366224386966746,0.1640954773869347,0.00043323351726723414,1,-1,0,1,0,20,0,0,0,0,-0.03266965892699897,"","","",0,0,0,-0.15062908828258514,12.01601791381836,""
"org.axonframework.update","update","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:2983","axon-update-5.0.2",10,93,3,0.42857142857142855,0.15572368421052635,0.15586206896551727,0.0001383847549909223,1,1,1,0,0,6,10.86731357021199,4.204213587642395,0.3938761113472373,0,-0.11461347286413048,"","","",0,0,0,-1.652883529663086,6.633647918701172,""
"org.axonframework.update.detection","detection","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:2984","axon-update-5.0.2",5,5,3,0.6666666666666666,0.16062430061416763,0.16139885057471265,0.0007745499605450179,2,1,0.7209869799210769,0,0,6,10.86731357021199,4.204213587642395,0.5363513445480184,0,-0.0943631912519885,"","","",0,0,0,-1.7878012657165527,6.757274150848389,""
"org.axonframework.update.common","common","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:2985","axon-update-5.0.2",1,1,3,1,0.15724809066425507,0.15779310344827588,0.0005450127840208041,0,1,1,0,0,6,10.86731357021199,4.204213587642395,0.03298920483205437,0,-0.10688187054916881,"","","",0,0,0,-1.5938036441802979,6.578881740570068,""
"org.axonframework.update.api","api","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:2986","axon-update-5.0.2",18,11,3,1,0.29517928166704926,0.3334179693486591,0.03823868768160982,0,1,1,0,1,6,10.86731357021199,4.204213587642395,0,0,-0.08578979379994445,"","","",0,0,0,-1.9275387525558472,6.694164276123047,""
"org.axonframework.update.configuration","configuration","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:2987","axon-update-5.0.2",19,19,3,0.6666666666666666,0.15953504873922306,0.16035942528735633,0.0008243765481332765,0,1,1,0,0,6,10.86731357021199,4.204213587642395,0.35799008120369474,0,-0.09659430677469666,"","","",0,0,0,-1.867696762084961,6.36103630065918,""
"org.axonframework.extension.springboot","springboot","4:e5cd28dc-a12c-49d2-8fa6-28a209c25925:4204","axon-spring-boot-autoconfigure-5.0.2",34,26,4,0.5,0.18434210526315792,0.18517241379310348,0.0008303085299455615,0,2,1,0,0,9,12.723946718033403,5.232098760277343,0.2615844394891221,0,-0.07164676264957931,"","","",0,0,0,-0.0750567689538002,6.241514205932617,""
