"projectName","shortCodeUnitName","codeUnitName","localClusteringCoefficient","degree","incomingDependencies","outgoingDependencies","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeHub.cypher"
"axon-messaging-5.0.2","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",0.021794574542082078,230,225,5,1,""
"axon-common-5.0.2","BuilderUtils","org.axonframework.common.BuilderUtils",0.021848739495798318,35,32,3,2,""
"axon-messaging-5.0.2","EventMessage","org.axonframework.messaging.eventhandling.EventMessage",0.027213012198936504,139,136,3,3,""
"axon-messaging-5.0.2","Message","org.axonframework.messaging.core.Message",0.03266145619086796,221,215,6,4,""
"axon-common-5.0.2","DescribableComponent","org.axonframework.common.infra.DescribableComponent",0.0425531914893617,47,46,1,5,""
"axon-common-5.0.2","Configuration","org.axonframework.common.configuration.Configuration",0.04445876288659794,97,95,2,6,""
"axon-server-connector-5.0.2","ErrorCode","org.axonframework.axonserver.connector.ErrorCode",0.04710144927536232,27,8,19,7,""
"axon-messaging-5.0.2","MessageStream","org.axonframework.messaging.core.MessageStream",0.047230571060541,153,132,21,8,""
"axon-common-5.0.2","Assert","org.axonframework.common.Assert",0.04734848484848485,33,32,1,9,""
"axon-messaging-5.0.2","CommandMessage","org.axonframework.messaging.commandhandling.CommandMessage",0.04936936936936937,75,72,3,10,""
