"codeUnitName","shortCodeUnitName","projectName","pageToArticleRankSign","pageToArticleRankDifferenceZScore","pageToArticleRankDifference","pageRank","articleRank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPotentialImbalancedRoles.cypher"
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.0.2",1,21.455218949907405,29.70063520768513,34.544926874850944,4.844291667165814,""
"org.axonframework.messaging.core.Context$ResourceKey","Context$ResourceKey","axon-messaging-5.0.2",1,9.9827196111694,13.954503869654568,21.325238623980034,7.370734754325467,""
"org.axonframework.common.TypeReference$1","TypeReference$1","axon-common-5.0.2",1,9.669379696582318,13.524441395658537,14.830488999936101,1.3060476042775642,""
"org.axonframework.common.TypeReference$2","TypeReference$2","axon-common-5.0.2",1,9.669379696582318,13.524441395658537,14.830488999936101,1.3060476042775642,""
"org.axonframework.common.infra.ComponentDescriptor","ComponentDescriptor","axon-common-5.0.2",1,7.56555553361738,10.636919626944087,12.203600164969188,1.5666805380251019,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.0.2",1,7.4943286958805775,10.539160009908478,12.293114202467702,1.7539541925592246,""
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.0.2",1,6.767731932322588,9.541897972146568,18.15928126845894,8.617383296312372,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.0.2",1,6.690267255652503,9.435576852668568,16.528283623282544,7.092706770613976,""
"org.axonframework.common.AxonException","AxonException","axon-common-5.0.2",1,5.541060671063922,7.858278194270749,9.402185518695699,1.5439073244249497,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.0.2",1,4.747254811117919,6.7687709335988995,7.979035944883847,1.2102650112849476,""
"org.axonframework.messaging.core.Metadata$MetadataCollector","Metadata$MetadataCollector","axon-messaging-5.0.2",1,4.464033638900146,6.380046764280917,6.9316050935977085,0.5515583293167915,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.0.2",1,4.2822320635772995,6.13052210553212,10.556591626483966,4.426069520951846,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.2",1,3.529110316368463,5.096854236401358,6.473626453876234,1.376772217474876,""
"org.axonframework.common.annotation.Internal","Internal","axon-common-5.0.2",1,3.425424994332794,4.954544993193396,6.8778067622456875,1.923261769052291,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.0.2",1,3.4103971881235453,4.933919164129777,8.191403101492865,3.257483937363088,""
"org.axonframework.common.StringUtils","StringUtils","axon-common-5.0.2",1,3.365767941074949,4.872665032419196,5.8922280466786425,1.0195630142594467,""
"org.axonframework.common.configuration.Configuration","Configuration","axon-common-5.0.2",1,3.3597796629063916,4.864446054867166,7.497328979235775,2.632882924368609,""
"org.axonframework.common.configuration.ComponentNotFoundException","ComponentNotFoundException","axon-common-5.0.2",1,2.7360329676670805,4.008346865413553,4.940134991146475,0.9317881257329217,""
"org.axonframework.eventsourcing.eventstore.Position","Position","axon-eventsourcing-5.0.2",1,2.4077613358241323,3.5577904454977087,4.230715473885704,0.6729250283879952,""
"org.axonframework.eventsourcing.eventstore.StartPosition","StartPosition","axon-eventsourcing-5.0.2",1,2.3107952357563897,3.424703408233931,3.745815950350314,0.3211125421163828,""
