"firstCommunityId","communityId","intermediateCommunityIds","memberCount","memberNames","Source Cypher File: Community_Detection/Community_Detection_1d_Stream_Intermediate_Mutated.cypher"
683,3,"683,57,8,3",72,"org.axonframework.messaging.core.Metadata,org.axonframework.messaging.core.MessageTypeResolver,org.axonframework.messaging.core.Message,org.axonframework.messaging.eventhandling.GenericEventMessage,org.axonframework.messaging.commandhandling.GenericCommandMessage,org.axonframework.common.ObjectUtils,org.axonframework.messaging.commandhandling.GenericCommandResultMessage,org.axonframework.messaging.core.MessageType,org.axonframework.test.matchers.PayloadsMatcher,org.axonframework.messaging.core.conversion.DelegatingMessageConverter,org.axonframework.conversion.Converter,org.axonframework.messaging.core.ResultMessage,org.axonframework.messaging.commandhandling.gateway.CommandResult,org.axonframework.messaging.queryhandling.SubscriptionQueryUpdateMessage,org.axonframework.messaging.queryhandling.QueryResponseMessage,org.axonframework.messaging.core.annotation.MessageHandler,org.axonframework.messaging.core.annotation.MessageStreamResolverUtils,org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolver,org.axonframework.messaging.core.MessageTypeNotResolvedException,org.axonframework.messaging.core.GenericMessage,org.axonframework.messaging.core.GenericResultMessage,org.axonframework.messaging.core.Metadata$MetadataCollector,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway$ConvertingCommandResult,org.axonframework.messaging.commandhandling.gateway.DefaultCommandGateway,org.axonframework.messaging.commandhandling.gateway.FutureCommandResult,org.axonframework.conversion.CachingSupplier,org.axonframework.messaging.core.MessageDecorator,org.axonframework.messaging.core.AbstractMessage,org.axonframework.messaging.core.ConversionCache,org.axonframework.messaging.eventhandling.TerminalEventMessage,org.axonframework.messaging.eventhandling.replay.annotation.ResetHandler,org.axonframework.messaging.eventhandling.replay.ResetContext,org.axonframework.messaging.eventhandling.replay.GenericResetContext,org.axonframework.messaging.eventhandling.gateway.EventPublishingUtils,org.axonframework.messaging.queryhandling.GenericQueryMessage,org.axonframework.messaging.queryhandling.GenericQueryResponseMessage,org.axonframework.messaging.queryhandling.GenericSubscriptionQueryUpdateMessage,org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway,org.axonframework.messaging.core.annotation.MethodInvokingMessageHandlingMember,org.axonframework.messaging.core.ConversionCache$Target,org.axonframework.messaging.core.annotation.AnnotatedMessageHandlingMemberDefinition,org.axonframework.messaging.queryhandling.tracing.QueryUpdateEmitterSpanFactory,org.axonframework.messaging.core.ClassBasedMessageTypeResolver,org.axonframework.messaging.core.annotation.AnnotationMessageTypeResolver$AnnotationSpecification,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory$MessageParameterResolver,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory$AnnotatedMetadataParameterResolver,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory$MetadataParameterResolver,org.axonframework.messaging.core.annotation.MetadataValue,org.axonframework.messaging.core.annotation.DefaultParameterResolverFactory,org.axonframework.messaging.core.annotation.PayloadParameterResolver,org.axonframework.messaging.core.interception.LoggingInterceptor,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptor,org.axonframework.messaging.core.interception.annotation.ExceptionHandler,org.axonframework.messaging.core.correlation.MessageOriginProvider,org.axonframework.messaging.core.correlation.SimpleCorrelationDataProvider,org.axonframework.messaging.tracing.attributes.MessageIdSpanAttributesProvider,org.axonframework.messaging.tracing.attributes.MessageTypeSpanAttributesProvider,org.axonframework.messaging.tracing.attributes.PayloadTypeSpanAttributesProvider,org.axonframework.messaging.tracing.attributes.MessageNameSpanAttributesProvider,org.axonframework.messaging.tracing.attributes.MetadataSpanAttributesProvider,org.axonframework.messaging.tracing.SpanUtils,org.axonframework.messaging.core.NamespaceMessageTypeResolver,org.axonframework.messaging.core.NamespaceMessageTypeResolver$Builder,org.axonframework.messaging.core.HierarchicalMessageTypeResolver,org.axonframework.extension.metrics.micrometer.TagsUtil,org.axonframework.axonserver.connector.MetadataConverter,org.axonframework.axonserver.connector.MetadataConverter$1,org.axonframework.axonserver.connector.util.ProcessingInstructionUtils,org.axonframework.axonserver.connector.query.QueryConverter,org.axonframework.axonserver.connector.command.CommandConverter,org.axonframework.axonserver.connector.TargetContextResolver,org.axonframework.extension.tracing.opentelemetry.MetadataContextGetter",""
22,2,"22,3,7,2",50,"org.axonframework.messaging.commandhandling.CommandResultMessage,org.axonframework.messaging.commandhandling.CommandMessage,org.axonframework.test.fixture.RecordingCommandBus,org.axonframework.test.util.RecordingCommandBus,org.axonframework.messaging.commandhandling.CommandHandlerRegistry,org.axonframework.messaging.core.QualifiedName,org.axonframework.messaging.commandhandling.CommandHandler,org.axonframework.messaging.commandhandling.CommandBus,org.axonframework.common.infra.ComponentDescriptor,org.axonframework.test.util.CallbackBehavior,org.axonframework.test.util.DefaultCallbackBehavior,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBusConfiguration,org.axonframework.messaging.core.MessageHandler,org.axonframework.common.StringUtils,org.axonframework.messaging.commandhandling.CommandHandlingComponent,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBus,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBus$DistributedHandler,org.axonframework.messaging.commandhandling.distributed.DistributedCommandBusConfigurationEnhancer,org.axonframework.messaging.commandhandling.SimpleCommandHandlingComponent,org.axonframework.messaging.commandhandling.NoHandlerForCommandException,org.axonframework.messaging.commandhandling.DuplicateCommandHandlerSubscriptionException,org.axonframework.messaging.commandhandling.interception.InterceptingCommandBus$InterceptingDispatcher,org.axonframework.messaging.commandhandling.interception.CommandMessageHandlerInterceptorChain,org.axonframework.messaging.commandhandling.interception.CommandMessageHandlerInterceptorChain$InterceptingHandler,org.axonframework.messaging.commandhandling.interception.InterceptingCommandBus$InterceptingHandler,org.axonframework.messaging.commandhandling.interception.InterceptingCommandBus,org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember,org.axonframework.messaging.commandhandling.annotation.AnnotatedCommandHandlingComponent,org.axonframework.messaging.commandhandling.UnresolvedRoutingKeyPolicy,org.axonframework.messaging.core.retry.RetryScheduler,org.axonframework.messaging.commandhandling.SimpleCommandBus,org.axonframework.messaging.commandhandling.retry.RetryingCommandBus,org.axonframework.messaging.commandhandling.MetadataRoutingStrategy,org.axonframework.messaging.commandhandling.tracing.TracingCommandBus$TracingHandler,org.axonframework.messaging.commandhandling.tracing.CommandBusSpanFactory,org.axonframework.messaging.commandhandling.tracing.TracingCommandBus,org.axonframework.messaging.commandhandling.configuration.SimpleCommandHandlingModule,org.axonframework.messaging.commandhandling.configuration.CommandHandlingModule$CommandHandlerPhase,org.axonframework.messaging.commandhandling.configuration.CommandHandlingModule$SetupPhase,org.axonframework.messaging.commandhandling.configuration.CommandHandlingModule,org.axonframework.conversion.PassThroughConverter,org.axonframework.modelling.entity.EntityCommandHandlingComponent,org.axonframework.modelling.entity.child.EntityChildMetamodel,org.axonframework.modelling.entity.ConcreteEntityMetamodel,org.axonframework.modelling.entity.EntityCommandHandler,org.axonframework.modelling.entity.child.FieldChildEntityFieldDefinition,org.axonframework.modelling.entity.EntityMissingForInstanceCommandHandlerException,org.axonframework.modelling.entity.EntityAlreadyExistsForCreationalCommandHandlerException,org.axonframework.modelling.entity.ChildEntityNotFoundException,org.axonframework.modelling.entity.ConcreteEntityMetamodel$Builder",""
273,5,"273,58,39,5",50,"org.axonframework.messaging.core.MessageStream$Empty,org.axonframework.messaging.core.MessageStream,org.axonframework.messaging.core.Context,org.axonframework.messaging.core.FilteringMessageStream,org.axonframework.messaging.core.IgnoredEntriesMessageStream,org.axonframework.messaging.core.ConcatenatingMessageStream,org.axonframework.messaging.core.MessageStream$Entry,org.axonframework.messaging.core.OnNextMessageStream,org.axonframework.messaging.core.OnErrorContinueMessageStream,org.axonframework.messaging.core.EmptyMessageStream,org.axonframework.messaging.core.IteratorMessageStream,org.axonframework.messaging.core.FailedMessageStream,org.axonframework.messaging.core.MessageStream$Single,org.axonframework.messaging.core.TruncateFirstMessageStream,org.axonframework.messaging.core.MappedMessageStream,org.axonframework.messaging.core.CompletionCallbackMessageStream,org.axonframework.messaging.core.DelayedMessageStream$Single,org.axonframework.messaging.core.CloseCallbackMessageStream,org.axonframework.messaging.core.SimpleEntry,org.axonframework.messaging.core.MessageStreamUtils,org.axonframework.messaging.core.SingleValueMessageStream,org.axonframework.messaging.core.OnNextMessageStream$Single,org.axonframework.messaging.core.CompletionCallbackMessageStream$Single,org.axonframework.messaging.core.MappedMessageStream$Single,org.axonframework.messaging.core.FilteringMessageStream$Single,org.axonframework.messaging.core.DefaultMessageDispatchInterceptorChain,org.axonframework.messaging.core.DefaultMessageDispatchInterceptorChain$InterceptingDispatcher,org.axonframework.messaging.core.CompletionCallbackMessageStream$Empty,org.axonframework.messaging.eventhandling.InterceptingEventSink,org.axonframework.messaging.eventhandling.InterceptingEventSink$InterceptingPublisher,org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus$InterceptingResponseUpdateDispatcher,org.axonframework.messaging.core.DelayedMessageStream,org.axonframework.messaging.core.DelayedMessageStream$Empty,org.axonframework.messaging.core.FluxUtils,org.axonframework.messaging.core.FluxMessageStream,org.axonframework.messaging.core.FluxUtils$FluxStreamAdapter,org.axonframework.messaging.core.DelegatingMessageStream,org.axonframework.messaging.core.MonoUtils,org.axonframework.messaging.core.MessageStreamUtils$FirstResult,org.axonframework.messaging.core.MessageStreamUtils$Reducer,org.axonframework.messaging.core.FluxMessageStream$1,org.axonframework.messaging.core.interception.BeanValidationInterceptor,org.axonframework.messaging.core.retry.AsyncRetryScheduler$RetryTask,org.axonframework.eventsourcing.eventstore.ContinuousMessageStream,org.axonframework.axonserver.connector.query.AbstractQueryResponseMessageStream,org.axonframework.axonserver.connector.query.FlowControlledResponseSender,org.axonframework.axonserver.connector.event.AxonServerMessageStream,org.axonframework.axonserver.connector.event.SourcingEventMessageStream,org.axonframework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine,org.axonframework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine$AggregateSource",""
270,24,"270,12,9,24",32,"org.axonframework.messaging.core.unitofwork.ProcessingContext,org.axonframework.messaging.eventhandling.EventSink,org.axonframework.common.Priority,org.axonframework.messaging.core.unitofwork.ProcessingLifecycle,org.axonframework.messaging.core.unitofwork.ResourceOverridingProcessingContext,org.axonframework.messaging.monitoring.interception.MonitoringEventHandlerInterceptor,org.axonframework.messaging.monitoring.interception.MonitoringQueryHandlerInterceptor,org.axonframework.messaging.monitoring.interception.MonitoringSubscriptionQueryUpdateDispatchInterceptor,org.axonframework.messaging.monitoring.interception.MonitoringCommandHandlerInterceptor,org.axonframework.messaging.monitoring.interception.MonitoringEventDispatchInterceptor,org.axonframework.messaging.core.annotation.AbstractAnnotatedParameterResolverFactory,org.axonframework.messaging.eventhandling.annotation.SequenceNumber,org.axonframework.messaging.eventhandling.gateway.EventAppender,org.axonframework.messaging.eventhandling.gateway.ProcessingContextEventAppender,org.axonframework.messaging.eventhandling.annotation.SequenceNumberParameterResolverFactory,org.axonframework.messaging.eventhandling.annotation.SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver,org.axonframework.messaging.eventhandling.EventSubscribers,org.axonframework.messaging.eventhandling.SimpleEventBus,org.axonframework.messaging.eventhandling.gateway.DefaultEventGateway,org.axonframework.messaging.eventhandling.gateway.EventGateway,org.axonframework.messaging.core.unitofwork.ProcessingLifecycle$DefaultPhases,org.axonframework.messaging.queryhandling.gateway.QueryGateway,org.axonframework.messaging.core.annotation.AggregateType,org.axonframework.messaging.core.annotation.AggregateTypeParameterResolverFactory$AggregateTypeParameterResolver,org.axonframework.messaging.core.annotation.AggregateTypeParameterResolverFactory,org.axonframework.messaging.core.annotation.SourceIdParameterResolverFactory$SourceIdParameterResolver,org.axonframework.messaging.core.annotation.SourceIdParameterResolverFactory,org.axonframework.messaging.core.annotation.SourceId,org.axonframework.messaging.core.interception.annotation.ResultParameterResolverFactory,org.axonframework.messaging.core.interception.annotation.ResultParameterResolverFactory$ExceptionResultParameterResolver,org.axonframework.modelling.repository.Repository$LifecycleManagement,org.axonframework.modelling.repository.AccessSerializingRepository",""
351,11,"351,15,60,11",29,"org.axonframework.messaging.core.annotation.MessageHandlingMember,org.axonframework.messaging.core.annotation.WrappedMessageHandlingMember,org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector,org.axonframework.messaging.core.annotation.HandlerComparator,org.axonframework.messaging.core.annotation.ChainedMessageHandlerInterceptorMember,org.axonframework.messaging.core.interception.annotation.MessageInterceptingMember,org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector$ExecutableSignature,org.axonframework.messaging.core.interception.annotation.NoMoreInterceptors,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain,org.axonframework.messaging.commandhandling.annotation.MethodCommandHandlerDefinition,org.axonframework.messaging.commandhandling.annotation.MethodCommandHandlerDefinition$MethodCommandHandlingMember,org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition$SequencingPolicyEventMessageHandlingMember,org.axonframework.messaging.eventhandling.annotation.EventHandlingMember,org.axonframework.messaging.eventhandling.annotation.SequencingPolicy,org.axonframework.messaging.core.annotation.UnsupportedHandlerException,org.axonframework.messaging.eventhandling.annotation.MethodEventHandlerDefinition$MethodEventMessageHandlingMember,org.axonframework.messaging.eventhandling.annotation.MethodSequencingPolicyEventHandlerDefinition,org.axonframework.messaging.eventhandling.annotation.AnnotatedEventHandlingComponent,org.axonframework.messaging.eventhandling.annotation.MethodEventHandlerDefinition,org.axonframework.messaging.eventhandling.replay.annotation.ReplayAwareMessageHandlerWrapper,org.axonframework.messaging.eventhandling.replay.annotation.ReplayAwareMessageHandlerWrapper$ReplayBlockingMessageHandlingMember,org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition,org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition$MethodQueryHandlingMember,org.axonframework.common.util.ClasspathResolver,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorDefinition$InterceptedMessageHandlingMember,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorDefinition$ResultHandlingInterceptorMember,org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorDefinition,org.axonframework.modelling.StateEvolvingException,org.axonframework.modelling.annotation.AnnotationBasedEntityEvolvingComponent",""
682,17,"682,218,48,17",27,"org.axonframework.messaging.queryhandling.QueryMessage,org.axonframework.messaging.queryhandling.QueryBus,org.axonframework.messaging.queryhandling.distributed.PayloadConvertingQueryBusConnector,org.axonframework.messaging.queryhandling.distributed.PayloadConvertingQueryBusConnector$1,org.axonframework.messaging.queryhandling.distributed.QueryBusConnector$Handler,org.axonframework.messaging.queryhandling.distributed.DelegatingQueryBusConnector,org.axonframework.messaging.queryhandling.distributed.PayloadConvertingQueryBusConnector$1$1,org.axonframework.messaging.queryhandling.distributed.QueryBusConnector,org.axonframework.messaging.queryhandling.distributed.QueryBusConnector$UpdateCallback,org.axonframework.messaging.queryhandling.distributed.DistributedQueryBusConfigurationEnhancer,org.axonframework.messaging.queryhandling.distributed.DistributedQueryBus,org.axonframework.messaging.queryhandling.QueryHandlerRegistry,org.axonframework.messaging.queryhandling.QueryHandler,org.axonframework.messaging.queryhandling.distributed.DistributedQueryBus$DistributedHandler,org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus,org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus$QueryInterceptingDispatcher,org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus$SubscribeToUpdatesInterceptingDispatcher,org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus$SubscriptionQueryInterceptingDispatcher,org.axonframework.messaging.queryhandling.interception.InterceptingQueryBus$InterceptingHandler,org.axonframework.messaging.queryhandling.interception.QueryMessageHandlerInterceptorChain,org.axonframework.messaging.queryhandling.interception.QueryMessageHandlerInterceptorChain$InterceptingHandler,org.axonframework.messaging.queryhandling.NoHandlerForQueryException,org.axonframework.messaging.queryhandling.DuplicateQueryHandlerSubscriptionException,org.axonframework.messaging.queryhandling.SimpleQueryUpdateEmitter,org.axonframework.messaging.core.QueueMessageStream,org.axonframework.messaging.queryhandling.SubscriptionQueryAlreadyRegisteredException,org.axonframework.messaging.queryhandling.SimpleQueryBus",""
557,5,"557,47,39,5",22,"org.axonframework.messaging.eventstreaming.StreamingCondition,org.axonframework.messaging.eventstreaming.EventCriteria,org.axonframework.messaging.eventstreaming.TagFilteredEventCriteria,org.axonframework.messaging.eventstreaming.Tag,org.axonframework.messaging.eventstreaming.OrEventCriteria,org.axonframework.messaging.eventstreaming.EventTypeRestrictableEventCriteria,org.axonframework.messaging.eventstreaming.OrEventCriteriaBuilder,org.axonframework.messaging.eventstreaming.AnyEvent,org.axonframework.messaging.eventstreaming.EventCriterion,org.axonframework.messaging.eventstreaming.DefaultStreamingCondition,org.axonframework.messaging.eventstreaming.StartingFrom,org.axonframework.messaging.eventstreaming.TagAndTypeFilteredEventCriteria,org.axonframework.messaging.eventstreaming.EventTypeRestrictableOrEventCriteria,org.axonframework.eventsourcing.annotation.EventTag,org.axonframework.eventsourcing.annotation.EventTags,org.axonframework.eventsourcing.eventstore.AnnotationBasedTagResolver,org.axonframework.eventsourcing.eventstore.AnnotationBasedTagResolver$TagResolutionException,org.axonframework.eventsourcing.eventstore.MetadataBasedTagResolver,org.axonframework.eventsourcing.eventstore.GenericTaggedEventMessage,org.axonframework.eventsourcing.eventstore.TooManyTagsOnEventMessageException,org.axonframework.eventsourcing.eventstore.PayloadBasedTagResolver,org.axonframework.axonserver.connector.event.ConditionConverter",""
553,7,"553,42,10,7",22,"org.axonframework.messaging.core.unitofwork.UnitOfWorkFactory,org.axonframework.common.FutureUtils,org.axonframework.messaging.eventhandling.processing.streaming.token.store.TokenStore,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.Segment,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.TrackerStatus,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage,org.axonframework.messaging.eventstreaming.TrackingTokenSource,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$BatchProcessor,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$Builder,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$EventFilter,org.axonframework.messaging.eventstreaming.StreamableEventSource,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$Builder,org.axonframework.messaging.eventhandling.processing.streaming.pooled.MaxSegmentProvider,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$RunState,org.axonframework.messaging.eventhandling.processing.streaming.pooled.CoordinatorTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.MergeTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.SplitTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$CoordinationTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.ClaimTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$DefaultProcessingEntry",""
638,6,"638,83,16,6",21,"org.axonframework.common.configuration.Configuration,org.axonframework.extension.springboot.autoconfig.AxonAutoConfiguration,org.axonframework.extension.springboot.autoconfig.CorrelationDataProviderAutoConfiguration,org.axonframework.messaging.core.correlation.CorrelationDataProviderRegistry,org.axonframework.messaging.core.correlation.CorrelationDataProvider,org.axonframework.extension.springboot.autoconfig.InterceptorAutoConfiguration,org.axonframework.messaging.core.interception.HandlerInterceptorRegistry,org.axonframework.messaging.core.interception.DispatchInterceptorRegistry,org.axonframework.messaging.monitoring.NoOpMessageMonitor,org.axonframework.messaging.commandhandling.RoutingStrategy,org.axonframework.messaging.commandhandling.CommandPriorityCalculator,org.axonframework.messaging.core.ConfigurationApplicationContext,org.axonframework.messaging.core.configuration.MessagingConfigurationDefaults,org.axonframework.messaging.queryhandling.QueryPriorityCalculator,org.axonframework.messaging.core.interception.CorrelationDataInterceptor,org.axonframework.common.configuration.ComponentNotFoundException,org.axonframework.messaging.core.correlation.MultiCorrelationDataProvider,org.axonframework.messaging.core.correlation.DefaultCorrelationDataProviderRegistry,org.axonframework.messaging.core.configuration.reflection.ConfigurationParameterResolverFactory,org.axonframework.eventsourcing.annotation.reflection.AnnotationBasedEventSourcedEntityFactoryDefinition,org.axonframework.eventsourcing.configuration.EventSourcingConfigurationDefaults",""
227,6,"227,83,16,6",21,"org.axonframework.modelling.annotation.EntityIdResolverDefinition,org.axonframework.common.ConstructorUtils,org.axonframework.modelling.configuration.EntityMetamodelConfigurationBuilder,org.axonframework.eventsourcing.CriteriaResolver,org.axonframework.eventsourcing.EventSourcedEntityFactory,org.axonframework.eventsourcing.annotation.EventSourcedEntity,org.axonframework.eventsourcing.annotation.CriteriaResolverDefinition,org.axonframework.eventsourcing.annotation.EventSourcedEntityFactoryDefinition,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolverDefinition,org.axonframework.eventsourcing.configuration.EventSourcedEntityModule$EntityFactoryPhase,org.axonframework.eventsourcing.configuration.EventSourcedEntityModule$CriteriaResolverPhase,org.axonframework.eventsourcing.configuration.EventSourcedEntityModule$MessagingModelPhase,org.axonframework.eventsourcing.configuration.AnnotatedEventSourcedEntityModule,org.axonframework.eventsourcing.configuration.EventSourcedEntityModule$EntityIdResolverPhase,org.axonframework.eventsourcing.configuration.EventSourcedEntityModule,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$1,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$2,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$4,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$5,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$3",""
