"artifactName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInArtifact","externalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_per_artifact.cypher"
"axon-common-5.0.2","jakarta.annotation",70,357,156,"Nonnull,Nullable",""
"axon-common-5.0.2","org.slf4j",14,49,156,"Logger,LoggerFactory",""
"axon-common-5.0.2","javax.cache.event",8,26,156,"CacheEntryListener,CacheEntryCreatedListener,CacheEntryEvent,CacheEntryExpiredListener,CacheEntryRemovedListener,CacheEntryUpdatedListener,CacheEntryEventFilter,CacheEntryListenerException",""
"axon-common-5.0.2","org.ehcache.event",8,30,156,"CacheEvent,EventType,CacheEventListener,EventOrdering,EventFiring",""
"axon-common-5.0.2","jakarta.persistence",5,11,156,"EntityManager,EntityManagerFactory",""
"axon-common-5.0.2","com.fasterxml.jackson.databind",3,14,156,"SerializationFeature,JsonNode,ObjectMapper",""
"axon-common-5.0.2","javax.cache.configuration",3,9,156,"CacheEntryListenerConfiguration,Factory",""
"axon-common-5.0.2","com.fasterxml.jackson.databind.node",2,16,156,"ObjectNode,ArrayNode",""
"axon-common-5.0.2","javax.cache",1,13,156,"Cache",""
"axon-common-5.0.2","org.ehcache.config",1,2,156,"CacheRuntimeConfiguration",""
"axon-common-5.0.2","org.ehcache.core",1,13,156,"Ehcache",""
"axon-conversion-5.0.2","jakarta.annotation",44,204,30,"Nullable,Nonnull",""
"axon-conversion-5.0.2","org.apache.avro",16,54,30,"AvroRuntimeException,SchemaCompatibility$Incompatibility,Schema,InvalidAvroMagicException,SchemaCompatibility$SchemaCompatibilityResult,SchemaCompatibility$SchemaIncompatibilityType,SchemaCompatibility,InvalidNumberEncodingException,SchemaCompatibility$SchemaPairCompatibility,SchemaNormalization,SchemaCompatibility$SchemaCompatibilityType",""
"axon-conversion-5.0.2","com.fasterxml.jackson.databind",8,42,30,"ObjectMapper,JsonNode,JavaType",""
"axon-conversion-5.0.2","org.apache.avro.message",8,28,30,"SchemaStore,BinaryMessageEncoder,BinaryMessageDecoder,BadHeaderException",""
"axon-conversion-5.0.2","org.apache.avro.generic",7,30,30,"GenericRecord,GenericDatumReader,GenericData",""
"axon-conversion-5.0.2","org.slf4j",6,29,30,"Logger,LoggerFactory",""
"axon-conversion-5.0.2","org.apache.avro.specific",4,14,30,"SpecificData,SpecificRecordBase",""
"axon-conversion-5.0.2","com.fasterxml.jackson.databind.node",3,12,30,"ObjectNode,JsonNodeType",""
"axon-conversion-5.0.2","com.fasterxml.jackson.core",1,1,30,"JsonProcessingException",""
"axon-conversion-5.0.2","org.apache.avro.io",1,3,30,"DecoderFactory",""
"axon-conversion-5.0.2","org.apache.commons.lang3.tuple",1,4,30,"Pair",""
