"artifactName","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","top5ExternalPackages","someExternalTypes","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_sorted_top.cypher"
"axon-tracing-opentelemetry-5.0.2",5,16,6,320,26,85,6,"io.opentelemetry.api.trace,io.opentelemetry.context.propagation,jakarta.annotation,io.opentelemetry.context","Tracer,SpanContext,SpanBuilder,StatusCode,Span,SpanKind,TextMapGetter,ContextPropagators,TextMapSetter",""
"axon-server-connector-5.0.2",72,113,23,156.94444444444443,242,1197,23,"io.axoniq.axonserver.grpc,jakarta.annotation,io.axoniq.axonserver.grpc.event.dcb,io.grpc","ErrorMessage,InstructionAck$Builder,InstructionAck,MetaDataValue$Builder,MetaDataValue$DataCase,MetaDataValue,SerializedObject,SerializedObject$Builder,ErrorMessage$Builder",""
"axon-spring-boot-autoconfigure-5.0.2",72,95,37,131.94444444444443,239,442,37,"org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation,org.springframework.boot.autoconfigure,org.springframework.boot.context.properties","ConditionalOnProperty,ConditionalOnClass,ConditionalOnBean,ConditionalOnMissingBean,ConditionOutcome,ConditionalOnExpression,AllNestedConditions,SpringBootCondition,AnyNestedCondition",""
"axon-conversion-5.0.2",30,32,11,106.66666666666667,99,421,11,"jakarta.annotation,org.apache.avro,org.apache.avro.message,com.fasterxml.jackson.databind","Nonnull,Nullable,AvroRuntimeException,SchemaCompatibility$SchemaCompatibilityType,SchemaCompatibility,InvalidAvroMagicException,InvalidNumberEncodingException,SchemaCompatibility$Incompatibility,SchemaCompatibility$SchemaPairCompatibility",""
"axon-metrics-micrometer-5.0.2",13,13,4,100,46,152,4,"io.micrometer.core.instrument,jakarta.annotation,org.slf4j,io.micrometer.core.instrument.simple","Clock,Timer,Tags,Tag,MeterRegistry,Counter,Timer$Builder,Gauge$Builder,Gauge",""
"axon-test-5.0.2",73,24,11,32.87671232876712,94,461,11,"org.hamcrest,jakarta.annotation,com.google.gson,org.jetbrains.annotations","Description,TypeSafeMatcher,Matcher,CoreMatchers,StringDescription,BaseMatcher,Nonnull,Nullable,JsonParser",""
"axon-eventsourcing-5.0.2",104,22,6,21.153846153846153,109,407,6,"jakarta.annotation,jakarta.persistence,org.slf4j,IdTypeParameterResolver","Nonnull,Nullable,EntityManager,EntityManagerFactory,TypedQuery,EntityTransaction,Id,Basic,GeneratedValue",""
"axon-common-5.0.2",156,29,11,18.58974358974359,116,540,11,"jakarta.annotation,org.slf4j,org.ehcache.event,javax.cache.event","Nonnull,Nullable,Logger,LoggerFactory,CacheEvent,CacheEventListener,EventType,EventFiring,EventOrdering",""
"axon-update-5.0.2",23,4,2,17.391304347826086,28,129,2,"jakarta.annotation,org.slf4j","Nonnull,Nullable,LoggerFactory,Logger",""
"axon-messaging-5.0.2",570,33,9,5.789473684210526,607,3254,9,"jakarta.annotation,org.slf4j,com.fasterxml.jackson.annotation,reactor.core.publisher","Nonnull,Nullable,LoggerFactory,Logger,JsonTypeInfo,JsonProperty,JsonTypeInfo$Id,JsonCreator,JsonGetter",""
"axon-modelling-5.0.2",93,4,2,4.301075268817204,92,586,2,"jakarta.annotation,org.slf4j","Nonnull,Nullable,LoggerFactory,Logger",""
