"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"axon-test-5.0.2","axon-test-5.0.2","embeddingsNode2Vec","0.25389487,0.79219,-0.3699434,0.06444613,-0.07610168,-0.19888233,-0.29110563,-0.15800852,-0.061973386,0.16609399,0.44826874,-0.00826551,-0.106882215,-0.25784338,0.22036079,-0.27902964",""
"axon-update-5.0.2","axon-update-5.0.2","embeddingsNode2Vec","0.26652712,0.7811628,-0.40065312,0.030844212,-0.0921346,-0.22183044,-0.3019171,-0.13080457,-0.073681995,0.17383513,0.44902384,0.025266647,-0.12979756,-0.26526517,0.17722368,-0.30405155",""
"axon-spring-boot-autoconfigure-5.0.2","axon-spring-boot-autoconfigure-5.0.2","embeddingsNode2Vec","0.24572688,0.76065755,-0.38606152,0.034012906,-0.067751005,-0.21530123,-0.24848568,-0.14691563,-0.0723731,0.14836141,0.4423722,0.019042999,-0.10165992,-0.2521409,0.17873372,-0.3188302",""
"axon-messaging-5.0.2","axon-messaging-5.0.2","embeddingsNode2Vec","0.23025559,0.80363715,-0.39293373,0.05215705,-0.10252267,-0.24818681,-0.3017658,-0.13195299,-0.06063678,0.13154638,0.4575712,0.015011282,-0.10870395,-0.26213443,0.21299155,-0.31855172",""
"axon-conversion-5.0.2","axon-conversion-5.0.2","embeddingsNode2Vec","0.28426915,0.7778388,-0.36486125,0.047034744,-0.13613848,-0.23147069,-0.31483492,-0.12026736,-0.06004428,0.1498787,0.45081854,-0.002101189,-0.1092781,-0.24597307,0.19303857,-0.31296733",""
"axon-metrics-micrometer-5.0.2","axon-metrics-micrometer-5.0.2","embeddingsNode2Vec","0.20634983,0.782257,-0.36372536,0.020299815,-0.07226692,-0.21453789,-0.3122313,-0.110638924,-0.0612227,0.15041485,0.45164394,0.0331457,-0.13274127,-0.27383116,0.19061133,-0.26855963",""
"axon-modelling-5.0.2","axon-modelling-5.0.2","embeddingsNode2Vec","0.22947887,0.7815628,-0.38623476,0.042530216,-0.1156135,-0.23547937,-0.29501432,-0.12652399,-0.071596324,0.13141303,0.44969928,0.0066446066,-0.107953504,-0.25866133,0.20737717,-0.30595317",""
"axon-eventsourcing-5.0.2","axon-eventsourcing-5.0.2","embeddingsNode2Vec","0.27214542,0.8029828,-0.3794753,0.033587538,-0.117397144,-0.21174009,-0.32520634,-0.13037376,-0.0470745,0.15582383,0.44954658,0.0077285534,-0.1265739,-0.25299725,0.19338156,-0.3144201",""
"axon-server-connector-5.0.2","axon-server-connector-5.0.2","embeddingsNode2Vec","0.21045652,0.79151344,-0.40668926,0.062183723,-0.063816205,-0.21221684,-0.27069506,-0.14674,-0.055208307,0.12459824,0.41160068,0.030102557,-0.095097296,-0.2546765,0.21021126,-0.3011149",""
"axon-common-5.0.2","axon-common-5.0.2","embeddingsNode2Vec","0.29602873,0.7788865,-0.39778134,0.05210667,-0.10888107,-0.23549043,-0.24313737,-0.1554276,-0.10522769,0.15742315,0.42976177,0.0006138416,-0.09238319,-0.26481414,0.18898451,-0.32886338",""
"axon-tracing-opentelemetry-5.0.2","axon-tracing-opentelemetry-5.0.2","embeddingsNode2Vec","0.26689163,0.7880273,-0.40633595,0.019857632,-0.12053268,-0.23877707,-0.26588964,-0.12780842,-0.091150746,0.16939282,0.46087497,0.036882605,-0.13418369,-0.26692066,0.19873703,-0.33278155",""
