"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: Community_Detection/Community_Detection_9_Community_Metrics.cypher"
-1,0,0,339,"AxonTestPhase$When$Event,FieldFilter,AxonTestPhase$Setup,RecordingCommandBus,PayloadMatcher,MapStringEntryMatcher,AxonTestWhen$Command,MessagesRecordingConfigurationEnhancer,AxonTestFixture$Customization","org.axonframework.test.fixture.AxonTestPhase$When$Event,org.axonframework.test.matchers.FieldFilter,org.axonframework.test.fixture.AxonTestPhase$Setup,org.axonframework.test.util.RecordingCommandBus,org.axonframework.test.matchers.PayloadMatcher,org.axonframework.test.matchers.MapStringEntryMatcher,org.axonframework.test.fixture.AxonTestWhen$Command,org.axonframework.test.fixture.MessagesRecordingConfigurationEnhancer,org.axonframework.test.fixture.AxonTestFixture$Customization",""
1,0.5714285714285714,0.0009111852060570009,5,"ShutdownInProgressException,AnnotationRoutingStrategy,Command,AnnotationRoutingStrategy$RoutingKeyResolver,FlowControlledResponseSender","org.axonframework.common.lifecycle.ShutdownInProgressException,org.axonframework.messaging.commandhandling.annotation.AnnotationRoutingStrategy,org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.commandhandling.annotation.AnnotationRoutingStrategy$RoutingKeyResolver,org.axonframework.axonserver.connector.query.FlowControlledResponseSender",""
3,1,-4.8934494841596995e-05,9,"MessageHandlerInterceptorMemberChain,QueryResponse,MessageInterceptingMember,AnnotatedHandlerInspector$ExecutableSignature,CompletionCallbackMessageStream$Empty,MessageStreamUtils$Reducer,UnitOfWork$UnitOfWorkProcessingContext,AxonServerQueryBusConnector,AxonServerStatusAggregator","org.axonframework.messaging.core.interception.annotation.MessageHandlerInterceptorMemberChain,org.axonframework.messaging.queryhandling.annotation.QueryResponse,org.axonframework.messaging.core.interception.annotation.MessageInterceptingMember,org.axonframework.messaging.core.annotation.AnnotatedHandlerInspector$ExecutableSignature,org.axonframework.messaging.core.CompletionCallbackMessageStream$Empty,org.axonframework.messaging.core.MessageStreamUtils$Reducer,org.axonframework.messaging.core.unitofwork.UnitOfWork$UnitOfWorkProcessingContext,org.axonframework.axonserver.connector.query.AxonServerQueryBusConnector,org.axonframework.extension.springboot.actuator.axonserver.AxonServerStatusAggregator",""
5,0.851063829787234,0.0006893807514483135,6,"AxonTestPhase$Then$Command,RecordingCommandBus,AxonTestThenCommand,ChainedConverter$Route,MetadataConverter,AxonServerHealthIndicator","org.axonframework.test.fixture.AxonTestPhase$Then$Command,org.axonframework.test.fixture.RecordingCommandBus,org.axonframework.test.fixture.AxonTestThenCommand,org.axonframework.conversion.ChainedConverter$Route,org.axonframework.axonserver.connector.MetadataConverter,org.axonframework.extension.springboot.actuator.axonserver.AxonServerHealthIndicator",""
9,1,-9.789487239120938e-06,5,"PredicateMatcher,EmptyCollectionMatcher,NullOrVoidMatcher,ResourceOverridingProcessingContext,StateEvolvingException","org.axonframework.test.matchers.PredicateMatcher,org.axonframework.test.matchers.EmptyCollectionMatcher,org.axonframework.test.matchers.NullOrVoidMatcher,org.axonframework.messaging.core.unitofwork.ResourceOverridingProcessingContext,org.axonframework.modelling.StateEvolvingException",""
13,0.7254901960784313,0.0007055186198959093,6,"NoOpMessageMonitorCallback,SourceIdParameterResolverFactory$SourceIdParameterResolver,MessageTimerMonitor$Builder,MessageTimerMonitor,MicrometerMetricsAutoConfiguration$1,EntityIdResolutionException","org.axonframework.messaging.monitoring.NoOpMessageMonitorCallback,org.axonframework.messaging.core.annotation.SourceIdParameterResolverFactory$SourceIdParameterResolver,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor$Builder,org.axonframework.extension.metrics.micrometer.MessageTimerMonitor,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration$1,org.axonframework.modelling.EntityIdResolutionException",""
14,0.793400286944046,0.0033486523505474462,25,"Matchers,AxonTestThenEvent,MatchAllFieldFilter,AxonTestPhase$Then$MessageAssertions,RecordingComponentsRegistry,RecordingEventSink,Reporter,CommandValidator,AxonTestThenNothing","org.axonframework.test.matchers.Matchers,org.axonframework.test.fixture.AxonTestThenEvent,org.axonframework.test.matchers.MatchAllFieldFilter,org.axonframework.test.fixture.AxonTestPhase$Then$MessageAssertions,org.axonframework.test.fixture.RecordingComponentsRegistry,org.axonframework.test.fixture.RecordingEventSink,org.axonframework.test.fixture.Reporter,org.axonframework.test.fixture.CommandValidator,org.axonframework.test.fixture.AxonTestThenNothing",""
15,0.9137254901960784,0.000517549982408041,6,"RecordingMessageMonitor,Internal,ProcessingLifecycle$Phase,UnitOfWork$UnitOfWorkProcessingContext$CauseAndPhase,EnvironmentVariableUsagePropertyProvider,EnvironmentVariableUsagePropertyProvider$EnvironmentVariableSupplier","org.axonframework.test.util.RecordingMessageMonitor,org.axonframework.common.annotation.Internal,org.axonframework.messaging.core.unitofwork.ProcessingLifecycle$Phase,org.axonframework.messaging.core.unitofwork.UnitOfWork$UnitOfWorkProcessingContext$CauseAndPhase,org.axonframework.update.configuration.EnvironmentVariableUsagePropertyProvider,org.axonframework.update.configuration.EnvironmentVariableUsagePropertyProvider$EnvironmentVariableSupplier",""
17,0.8860103626943006,0.000535522934853928,7,"ProcessingLifecycle$ErrorHandler,DefaultCommandBusSpanFactory,DefaultCommandBusSpanFactory$Builder,SpanScope,ConcatenatingMessageStream,AxonServerCommandBusConnector,DefaultInstructionAckSource","org.axonframework.messaging.core.unitofwork.ProcessingLifecycle$ErrorHandler,org.axonframework.messaging.commandhandling.tracing.DefaultCommandBusSpanFactory,org.axonframework.messaging.commandhandling.tracing.DefaultCommandBusSpanFactory$Builder,org.axonframework.messaging.tracing.SpanScope,org.axonframework.messaging.core.ConcatenatingMessageStream,org.axonframework.axonserver.connector.command.AxonServerCommandBusConnector,org.axonframework.axonserver.connector.DefaultInstructionAckSource",""
19,0.4510344827586207,0.009784020164120388,12,"PayloadsMatcher,ProcessUtils,CommandDispatcher,Coordinator,Coordinator$CoordinationTask,Coordinator$Builder,NoOpSpanFactory,MessageIdSpanAttributesProvider,MessageTypeSpanAttributesProvider","org.axonframework.test.matchers.PayloadsMatcher,org.axonframework.common.ProcessUtils,org.axonframework.messaging.commandhandling.gateway.CommandDispatcher,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$CoordinationTask,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$Builder,org.axonframework.messaging.tracing.NoOpSpanFactory,org.axonframework.messaging.tracing.attributes.MessageIdSpanAttributesProvider,org.axonframework.messaging.tracing.attributes.MessageTypeSpanAttributesProvider",""
23,1,-3.0751245393085034e-05,14,"FilesystemStyleComponentDescriptor$SymbolicLink,PayloadBasedTagResolver,CommandHandlingComponent,CommandHandlingModule$SetupPhase,TimeoutWrappedMessageHandlingMember,UpdateCheckerConfigurationEnhancer,CommandLineUsagePropertyProvider,HierarchicalUsagePropertyProvider,DetectedVulnerabilitySeverity","org.axonframework.common.infra.FilesystemStyleComponentDescriptor$SymbolicLink,org.axonframework.eventsourcing.eventstore.PayloadBasedTagResolver,org.axonframework.messaging.commandhandling.CommandHandlingComponent,org.axonframework.messaging.commandhandling.configuration.CommandHandlingModule$SetupPhase,org.axonframework.messaging.core.timeout.TimeoutWrappedMessageHandlingMember,org.axonframework.update.UpdateCheckerConfigurationEnhancer,org.axonframework.update.configuration.CommandLineUsagePropertyProvider,org.axonframework.update.configuration.HierarchicalUsagePropertyProvider,org.axonframework.update.api.DetectedVulnerabilitySeverity",""
27,0.9831932773109243,-9.286780342692025e-05,10,"AxonTestGiven,MessageStream,TimestampParameterResolverFactory$TimestampParameterResolver,DisallowReplay,ResetContext,Query,FluxUtils$FluxStreamAdapter,PropertySequencingPolicy,ProcessingContextParameterResolverFactory$ProcessingContextParameterResolver","org.axonframework.test.fixture.AxonTestGiven,org.axonframework.messaging.core.MessageStream,org.axonframework.messaging.eventhandling.annotation.TimestampParameterResolverFactory$TimestampParameterResolver,org.axonframework.messaging.eventhandling.replay.annotation.DisallowReplay,org.axonframework.messaging.eventhandling.replay.ResetContext,org.axonframework.messaging.queryhandling.annotation.Query,org.axonframework.messaging.core.FluxUtils$FluxStreamAdapter,org.axonframework.messaging.core.sequencing.PropertySequencingPolicy,org.axonframework.messaging.core.unitofwork.annotation.ProcessingContextParameterResolverFactory$ProcessingContextParameterResolver",""
29,0.9404958677685951,0.0006789079607175863,14,"AnnotationBasedTagResolver,CommandResultMessage,CommandBusSpanFactory,CommandExecutionException,WorkPackage$BatchProcessingEntry,QueryResponseMessage,DefaultQueryGateway,SimpleQueryBus,MappedMessageStream","org.axonframework.eventsourcing.eventstore.AnnotationBasedTagResolver,org.axonframework.messaging.commandhandling.CommandResultMessage,org.axonframework.messaging.commandhandling.tracing.CommandBusSpanFactory,org.axonframework.messaging.commandhandling.CommandExecutionException,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage$BatchProcessingEntry,org.axonframework.messaging.queryhandling.QueryResponseMessage,org.axonframework.messaging.queryhandling.gateway.DefaultQueryGateway,org.axonframework.messaging.queryhandling.SimpleQueryBus,org.axonframework.messaging.core.MappedMessageStream",""
31,0.688212927756654,0.002041120060109173,5,"AxonTestThenMessage,DefaultAxonApplication$AxonConfigurationImpl,DefaultAxonApplication$LifecycleState,LifecycleHandlerInvocationException,DefaultAxonApplication","org.axonframework.test.fixture.AxonTestThenMessage,org.axonframework.common.configuration.DefaultAxonApplication$AxonConfigurationImpl,org.axonframework.common.configuration.DefaultAxonApplication$LifecycleState,org.axonframework.common.lifecycle.LifecycleHandlerInvocationException,org.axonframework.common.configuration.DefaultAxonApplication",""
35,0.952755905511811,0.00014218859768564692,5,"ComponentDescriptorException,CommandHandlerRegistry,SimpleCommandHandlingComponent,MethodEventHandlerDefinition,ChainedMessageHandlerInterceptorMember","org.axonframework.common.infra.ComponentDescriptorException,org.axonframework.messaging.commandhandling.CommandHandlerRegistry,org.axonframework.messaging.commandhandling.SimpleCommandHandlingComponent,org.axonframework.messaging.eventhandling.annotation.MethodEventHandlerDefinition,org.axonframework.messaging.core.annotation.ChainedMessageHandlerInterceptorMember",""
36,0.869281045751634,0.0004936033009522021,12,"ConnectionProvider,AbstractComponent$HandlerRegistration,ComponentLifecycleHandler,MetadataBasedTagResolver,HandlerComparator,NoMoreInterceptors,AxonTimeLimitedTask,AxonTaskJanitor,AxonTimeoutException","org.axonframework.common.jdbc.ConnectionProvider,org.axonframework.common.configuration.AbstractComponent$HandlerRegistration,org.axonframework.common.configuration.ComponentLifecycleHandler,org.axonframework.eventsourcing.eventstore.MetadataBasedTagResolver,org.axonframework.messaging.core.annotation.HandlerComparator,org.axonframework.messaging.core.interception.annotation.NoMoreInterceptors,org.axonframework.messaging.core.timeout.AxonTimeLimitedTask,org.axonframework.messaging.core.timeout.AxonTaskJanitor,org.axonframework.messaging.core.timeout.AxonTimeoutException",""
37,1,-1.981644832428308e-05,5,"SimpleCommandHandlingModule,ResetNotSupportedException,Tag,QueryExecutionException,SubscriptionQueryAlreadyRegisteredException","org.axonframework.messaging.commandhandling.configuration.SimpleCommandHandlingModule,org.axonframework.messaging.eventhandling.replay.ResetNotSupportedException,org.axonframework.messaging.eventstreaming.Tag,org.axonframework.messaging.queryhandling.QueryExecutionException,org.axonframework.messaging.queryhandling.SubscriptionQueryAlreadyRegisteredException",""
41,0.9880952380952381,0.0075560295404109076,9,"AxonTestPhase$Then,ListMatcher,BuilderUtils,MessageType,Transaction,TargetEntityIdMemberMismatchException,JdbcTransactionAutoConfiguration,JpaTransactionAutoConfiguration,NoOpTransactionAutoConfiguration","org.axonframework.test.fixture.AxonTestPhase$Then,org.axonframework.test.matchers.ListMatcher,org.axonframework.common.BuilderUtils,org.axonframework.messaging.core.MessageType,org.axonframework.messaging.core.unitofwork.transaction.Transaction,org.axonframework.modelling.annotation.TargetEntityIdMemberMismatchException,org.axonframework.extension.springboot.autoconfig.JdbcTransactionAutoConfiguration,org.axonframework.extension.springboot.autoconfig.JpaTransactionAutoConfiguration,org.axonframework.extension.springboot.autoconfig.NoOpTransactionAutoConfiguration",""
42,1,-3.452817956023084e-05,7,"EventStorageEngine$AppendTransaction,AppendCondition,InMemoryEventStorageEngine$MapBackedSourcingEventMessageStream,LegacyResources,AxonServerRemoteCommandHandlingException,AxonServerAutoConfiguration,RegisterDefaultEntities","org.axonframework.eventsourcing.eventstore.EventStorageEngine$AppendTransaction,org.axonframework.eventsourcing.eventstore.AppendCondition,org.axonframework.eventsourcing.eventstore.inmemory.InMemoryEventStorageEngine$MapBackedSourcingEventMessageStream,org.axonframework.messaging.core.LegacyResources,org.axonframework.axonserver.connector.command.AxonServerRemoteCommandHandlingException,org.axonframework.extension.springboot.autoconfig.AxonServerAutoConfiguration,org.axonframework.extension.springboot.util.RegisterDefaultEntities",""
44,0.5787965616045845,0.007163378506734225,32,"AxonTestPhase$Then$Message,RecordingMessageMonitor$1,FilesystemStyleComponentDescriptor$TreeRenderer$RenderContext,ByteArrayToStringConverter,ByteArrayToInputStreamConverter,StringToByteArrayConverter,HandlerExecutionException,RetryScheduler$Dispatcher,PostgresTokenTableFactory","org.axonframework.test.fixture.AxonTestPhase$Then$Message,org.axonframework.test.util.RecordingMessageMonitor$1,org.axonframework.common.infra.FilesystemStyleComponentDescriptor$TreeRenderer$RenderContext,org.axonframework.conversion.converter.ByteArrayToStringConverter,org.axonframework.conversion.converter.ByteArrayToInputStreamConverter,org.axonframework.conversion.converter.StringToByteArrayConverter,org.axonframework.messaging.core.HandlerExecutionException,org.axonframework.messaging.core.retry.RetryScheduler$Dispatcher,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.PostgresTokenTableFactory",""
45,0.9672131147540983,0.0002679766174373419,11,"ComponentDefinition$2,ComponentDefinition$1,DecoratorDefinition$2,DecoratorDefinition$1,QueryMessage,DefaultCommandGateway,ReplayContextParameterResolverFactory,AxonServerEventStorageEngineFactory,AxonServerEventStorageEngine","org.axonframework.common.configuration.ComponentDefinition$2,org.axonframework.common.configuration.ComponentDefinition$1,org.axonframework.common.configuration.DecoratorDefinition$2,org.axonframework.common.configuration.DecoratorDefinition$1,org.axonframework.messaging.queryhandling.QueryMessage,org.axonframework.messaging.commandhandling.gateway.DefaultCommandGateway,org.axonframework.messaging.eventhandling.replay.annotation.ReplayContextParameterResolverFactory,org.axonframework.axonserver.connector.event.AxonServerEventStorageEngineFactory,org.axonframework.axonserver.connector.event.AxonServerEventStorageEngine",""
47,0.6237113402061856,0.003616466553991991,13,"AxonTestPhase$When$Command,ProvidedAxonTestFixture,JdbcUtils,JdbcUtils$SqlFunction,Span,Oracle11TokenTableFactory,TokenSchema,TokenSchema$Builder,GenericTokenTableFactory","org.axonframework.test.fixture.AxonTestPhase$When$Command,org.axonframework.test.extension.ProvidedAxonTestFixture,org.axonframework.common.jdbc.JdbcUtils,org.axonframework.common.jdbc.JdbcUtils$SqlFunction,org.axonframework.messaging.tracing.Span,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.Oracle11TokenTableFactory,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.TokenSchema,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.TokenSchema$Builder,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.GenericTokenTableFactory",""
49,0.9946091644204852,-3.8187994473607e-05,5,"ReflectionUtils,ShutdownLatch,HierarchicalConfiguration,QualifiedName,AbstractQueryResponseMessageStream","org.axonframework.common.ReflectionUtils,org.axonframework.common.lifecycle.ShutdownLatch,org.axonframework.common.configuration.HierarchicalConfiguration,org.axonframework.messaging.core.QualifiedName,org.axonframework.axonserver.connector.query.AbstractQueryResponseMessageStream",""
53,1,-1.826283877565929e-05,5,"DefaultEventStoreTransaction,NoAppendCondition,EmptyAppendTransaction,DefaultAppendCondition,CorrelationDataProviderAutoConfiguration","org.axonframework.eventsourcing.eventstore.DefaultEventStoreTransaction,org.axonframework.eventsourcing.eventstore.NoAppendCondition,org.axonframework.eventsourcing.eventstore.EmptyAppendTransaction,org.axonframework.eventsourcing.eventstore.DefaultAppendCondition,org.axonframework.extension.springboot.autoconfig.CorrelationDataProviderAutoConfiguration",""
54,0.8990536277602523,0.0007489776278568504,18,"MatcherExecutionException,PriorityRunnable,AnnotationUtils,AxonConfigurationException,PriorityTask,PriorityCallable,CommandDispatchException,Context,PayloadConvertingQueryBusConnector$1","org.axonframework.test.matchers.MatcherExecutionException,org.axonframework.common.util.PriorityRunnable,org.axonframework.common.annotation.AnnotationUtils,org.axonframework.common.AxonConfigurationException,org.axonframework.common.util.PriorityTask,org.axonframework.common.util.PriorityCallable,org.axonframework.messaging.commandhandling.CommandDispatchException,org.axonframework.messaging.core.Context,org.axonframework.messaging.queryhandling.distributed.PayloadConvertingQueryBusConnector$1",""
57,0.8014184397163121,0.0013730440126960273,11,"AbstractComponent,DefaultDecoratorDefinition,AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod,EventCriteriaBuilder,AnnotationBasedEventCriteriaResolver,AnnotatedCommandHandlingComponent,DuplicateCommandHandlerSubscriptionException,CommandHandlingMember,ConcreteEntityMetamodel$Builder","org.axonframework.common.configuration.AbstractComponent,org.axonframework.common.configuration.DefaultDecoratorDefinition,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod,org.axonframework.eventsourcing.annotation.EventCriteriaBuilder,org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver,org.axonframework.messaging.commandhandling.annotation.AnnotatedCommandHandlingComponent,org.axonframework.messaging.commandhandling.DuplicateCommandHandlerSubscriptionException,org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember,org.axonframework.modelling.entity.ConcreteEntityMetamodel$Builder",""
59,1,-8.715290149712209e-05,7,"AxonTestPhase,AppendEventsTransactionRejectedException,GenericResetContext,Segment,StreamingCondition,GenericQueryMessage,MessageStreamResolverUtils","org.axonframework.test.fixture.AxonTestPhase,org.axonframework.eventsourcing.eventstore.AppendEventsTransactionRejectedException,org.axonframework.messaging.eventhandling.replay.GenericResetContext,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.Segment,org.axonframework.messaging.eventstreaming.StreamingCondition,org.axonframework.messaging.queryhandling.GenericQueryMessage,org.axonframework.messaging.core.annotation.MessageStreamResolverUtils",""
61,0.9506172839506173,9.750469056787738e-05,13,"EqualsMatcher,ExactClassMatcher,MapStringEntryMatcher$Matching,ThrowingFunction,SimpleEntityManagerProvider,EntityManagerExecutor,EventSourcingHandler,MessageHandler,EventBusSpanFactory","org.axonframework.test.matchers.EqualsMatcher,org.axonframework.test.matchers.ExactClassMatcher,org.axonframework.test.matchers.MapStringEntryMatcher$Matching,org.axonframework.common.function.ThrowingFunction,org.axonframework.common.jpa.SimpleEntityManagerProvider,org.axonframework.common.jpa.EntityManagerExecutor,org.axonframework.eventsourcing.annotation.EventSourcingHandler,org.axonframework.messaging.core.MessageHandler,org.axonframework.messaging.eventhandling.tracing.EventBusSpanFactory",""
63,0.6605217391304348,0.019478605866032096,70,"AxonTestPhase$Then$Event,AxonTestPhase$When,AxonTestWhen,RecordingEventBus,AxonTestWhen$Event,DefaultIdentifierFactory,ClasspathResolver,ComponentRegistry,ApplicationConfigurer","org.axonframework.test.fixture.AxonTestPhase$Then$Event,org.axonframework.test.fixture.AxonTestPhase$When,org.axonframework.test.fixture.AxonTestWhen,org.axonframework.test.fixture.RecordingEventBus,org.axonframework.test.fixture.AxonTestWhen$Event,org.axonframework.common.DefaultIdentifierFactory,org.axonframework.common.util.ClasspathResolver,org.axonframework.common.configuration.ComponentRegistry,org.axonframework.common.configuration.ApplicationConfigurer",""
67,0.9811764705882353,8.662360011820735e-05,8,"CommandMessage,NoHandlerForCommandException,FilteringMessageStream,IteratorMessageStream,SingleValueMessageStream,EventTargetMatcherDefinition,CommandTargetResolverDefinition,SimpleStateBasedEntityModule$1","org.axonframework.messaging.commandhandling.CommandMessage,org.axonframework.messaging.commandhandling.NoHandlerForCommandException,org.axonframework.messaging.core.FilteringMessageStream,org.axonframework.messaging.core.IteratorMessageStream,org.axonframework.messaging.core.SingleValueMessageStream,org.axonframework.modelling.entity.annotation.EventTargetMatcherDefinition,org.axonframework.modelling.entity.annotation.CommandTargetResolverDefinition,org.axonframework.modelling.configuration.SimpleStateBasedEntityModule$1",""
69,1,-2.096499349246602e-07,5,"NullLockFactory,EventHandlingComponentsConfigurer,ExceptionHandler,ConfigurationParameterResolverConfigurationEnhancer,ContainerManagedEntityManagerProvider","org.axonframework.common.lock.NullLockFactory,org.axonframework.messaging.eventhandling.configuration.EventHandlingComponentsConfigurer,org.axonframework.messaging.core.interception.annotation.ExceptionHandler,org.axonframework.messaging.core.configuration.reflection.ConfigurationParameterResolverConfigurationEnhancer,org.axonframework.extension.springboot.util.jpa.ContainerManagedEntityManagerProvider",""
71,0.8108108108108109,0.001036485983830306,8,"FactoryBasedEntityManagerProvider,AggregateBasedJpaEventStorageEngineConfiguration,CommandBus,RemoteHandlingException,TracingHandlerEnhancerDefinition$Builder,InjectEntity,JpaEventStorageEngineConfigurationProperties,JpaEventStoreAutoConfiguration$AggregateBasedJpaEventStorageEngineConfigurationEnhancer","org.axonframework.common.jpa.FactoryBasedEntityManagerProvider,org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngineConfiguration,org.axonframework.messaging.commandhandling.CommandBus,org.axonframework.messaging.core.RemoteHandlingException,org.axonframework.messaging.tracing.TracingHandlerEnhancerDefinition$Builder,org.axonframework.modelling.annotation.InjectEntity,org.axonframework.extension.springboot.JpaEventStorageEngineConfigurationProperties,org.axonframework.extension.springboot.autoconfig.JpaEventStoreAutoConfiguration$AggregateBasedJpaEventStorageEngineConfigurationEnhancer",""
