"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.test.fixture.AxonTestPhase$Then","AxonTestPhase$Then",0,"82,8,52",0,"82,115,30,6",,0,0,7,46,18,5,""
"org.axonframework.test.fixture.AxonTestPhase$Then$Nothing","AxonTestPhase$Then$Nothing",0,"8,8,52",0,"17,75,30,6",,0,0,7,5,7,2,""
"org.axonframework.test.fixture.AxonTestPhase$Then$Event","AxonTestPhase$Then$Event",0,"82,8,52",0,"82,115,30,6",,0,1,7,68,5,2,""
"org.axonframework.test.fixture.AxonTestPhase$When$Nothing","AxonTestPhase$When$Nothing",0,"8,8,52",0,"17,75,30,6",,0,0,7,39,4,3,""
"org.axonframework.test.fixture.AxonTestPhase$When","AxonTestPhase$When",0,"11,8,52",0,"17,75,30,6",,0,0,7,3,12,5,""
"org.axonframework.test.fixture.AxonTestPhase$When$Event","AxonTestPhase$When$Event",0,"11,8,52",0,"17,75,30,6",,0,0,7,18,4,3,""
"org.axonframework.test.fixture.AxonTestPhase$Then$Message","AxonTestPhase$Then$Message",0,"82,8,52",0,"82,115,30,6",,0,1,7,40,8,3,""
"org.axonframework.test.fixture.AxonTestPhase$Then$Command","AxonTestPhase$Then$Command",0,"82,8,52",0,"82,115,30,6",,0,1,7,60,5,3,""
"org.axonframework.test.matchers.FieldFilter","FieldFilter",0,"78,8,52",0,"78,115,30,6",,0,3,4,11,9,,""
"org.axonframework.test.matchers.IgnoreField","IgnoreField",3,"99,101,101",0,"33,75,30,6",,0,4,3,85,1,2,""
"org.axonframework.test.fixture.AxonTestPhase$When$Command","AxonTestPhase$When$Command",0,"11,8,52",0,"17,75,30,6",,0,0,7,63,4,3,""
"org.axonframework.test.fixture.AxonTestWhen","AxonTestWhen",0,"8,8,52",0,"17,75,30,6",,0,0,10,94,5,25,""
"org.axonframework.test.fixture.AxonTestPhase$Setup","AxonTestPhase$Setup",0,"82,8,52",0,"82,115,30,6",,0,0,6,34,4,2,""
"org.axonframework.test.fixture.AxonTestPhase$Given","AxonTestPhase$Given",0,"8,8,52",0,"17,75,30,6",,0,0,7,0,4,8,""
"org.axonframework.test.FixtureExecutionException","FixtureExecutionException",3,"99,101,101",3,"99,117,36,17",,0,5,4,46,4,1,""
"org.axonframework.test.util.RecordingCommandBus","RecordingCommandBus",2,"92,1083,1093",2,"92,61,18,3",,0,2,10,11,1,15,""
"org.axonframework.test.util.DescriptionUtils","DescriptionUtils",0,"82,8,52",0,"82,115,30,6",,0,2,1,77,1,,""
"org.axonframework.test.matchers.Matchers","Matchers",0,"52,52,52",0,"62,115,30,6",,0,10,5,33,2,16,""
"org.axonframework.test.matchers.PayloadMatcher","PayloadMatcher",0,"82,8,52",0,"82,115,30,6",,0,1,3,6,2,1,""
"org.axonframework.test.fixture.AxonTestThenEvent","AxonTestThenEvent",0,"82,8,52",0,"82,115,30,6",,0,1,7,81,1,10,""
"org.axonframework.test.fixture.RecordingEventBus","RecordingEventBus",0,"71,8,52",0,"649,75,30,6",,0,0,8,26,1,8,""
"org.axonframework.test.fixture.RecordingEventStore","RecordingEventStore",4,"349,25,25",4,"349,75,30,6",,0,14,9,24,1,12,""
"org.axonframework.test.matchers.MatchAllFieldFilter","MatchAllFieldFilter",0,"78,8,52",0,"78,115,30,6",,0,3,2,68,1,1,""
"org.axonframework.test.matchers.MapStringEntryMatcher","MapStringEntryMatcher",0,"81,8,52",0,"81,115,30,6",,0,17,1,40,1,2,""
"org.axonframework.test.fixture.AxonTestPhase$Then$MessageAssertions","AxonTestPhase$Then$MessageAssertions",0,"82,8,52",0,"82,115,30,6",,0,1,7,17,6,4,""
"org.axonframework.test.fixture.RecordingComponentsRegistry","RecordingComponentsRegistry",0,"82,8,52",0,"82,75,30,6",,0,0,8,63,8,3,""
"org.axonframework.test.fixture.RecordingCommandBus","RecordingCommandBus",2,"92,1083,1093",2,"92,61,18,3",,0,2,10,80,4,10,""
"org.axonframework.test.fixture.RecordingEventSink","RecordingEventSink",0,"82,8,52",0,"17,75,30,6",,0,0,8,82,5,5,""
"org.axonframework.test.fixture.Reporter","Reporter",0,"82,8,52",0,"82,115,30,6",,0,1,4,0,3,2,""
"org.axonframework.test.fixture.AxonTestWhen$Command","AxonTestWhen$Command",0,"8,8,52",0,"17,75,30,6",,0,0,7,22,1,7,""
"org.axonframework.test.fixture.AxonTestThenCommand","AxonTestThenCommand",0,"82,8,52",0,"82,115,30,6",,0,1,7,51,1,13,""
"org.axonframework.test.fixture.AxonTestFixture","AxonTestFixture",0,"85,8,52",0,"33,75,30,6",,0,4,8,50,3,16,""
"org.axonframework.test.fixture.MessagesRecordingConfigurationEnhancer","MessagesRecordingConfigurationEnhancer",0,"82,8,52",0,"82,75,30,6",,0,0,8,58,1,11,""
"org.axonframework.test.fixture.AxonTestGiven","AxonTestGiven",0,"8,8,52",0,"17,75,30,6",,0,0,10,62,1,21,""
"org.axonframework.test.fixture.CommandValidator","CommandValidator",0,"82,8,52",0,"82,115,30,6",,0,2,5,28,1,7,""
"org.axonframework.test.fixture.AxonTestWhen$Event","AxonTestWhen$Event",0,"8,8,52",0,"17,75,30,6",,0,0,7,22,1,7,""
"org.axonframework.test.fixture.AxonTestThenNothing","AxonTestThenNothing",0,"8,8,52",0,"17,75,30,6",,0,0,7,98,2,6,""
"org.axonframework.test.fixture.AxonTestFixture$Customization","AxonTestFixture$Customization",0,"85,8,52",0,"33,75,30,6",,0,4,7,12,10,2,""
"org.axonframework.test.AxonAssertionError","AxonAssertionError",0,"82,8,52",0,"82,115,30,6",,0,1,3,27,3,,""
"org.axonframework.test.fixture.AxonTestThenMessage","AxonTestThenMessage",0,"82,8,52",0,"82,115,30,6",,0,1,8,95,3,20,""
"org.axonframework.test.fixture.AxonTestPhase","AxonTestPhase",0,"82,8,52",0,"82,115,30,6",,0,0,7,19,,12,""
"org.axonframework.test.extension.AxonTestFixtureProvider","AxonTestFixtureProvider",3,"99,101,101",3,"99,117,36,17",,0,5,3,59,3,1,""
"org.axonframework.test.util.CallbackBehavior","CallbackBehavior",2,"92,1083,1093",2,"92,61,18,3",,0,2,3,14,2,1,""
"org.axonframework.test.util.MessageMonitorReport$Report","MessageMonitorReport$Report",13,"104,108,792",1,"104,123,52,18",,0,20,5,54,5,4,""
"org.axonframework.test.fixture.AxonTestWhen$Nothing","AxonTestWhen$Nothing",0,"8,8,52",0,"17,75,30,6",,0,0,7,99,1,7,""
"org.axonframework.test.extension.ProvidedAxonTestFixtureUtils","ProvidedAxonTestFixtureUtils",3,"99,101,101",3,"99,117,36,17",,0,5,4,35,1,6,""
"org.axonframework.test.extension.AxonFrameworkExtension","AxonFrameworkExtension",0,"85,8,52",0,"33,75,30,6",,0,4,3,18,,3,""
