"name","shortName","pageRank","articleRank","betweenness","costEffectiveLazyForward","harmonicCloseness","closeness","hyperlinkInducedTopicSearchAuthority","hyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/centrality/Centrality_90_Summary.cypher"
"org.axonframework.test.fixture.AxonTestPhase$Then","AxonTestPhase$Then",1.153035944276446,0.4143612999235485,419.88333333333327,0,0.01756569847856155,0.014024896265560166,0.008299101320709235,0.0005153290893907204,18,5,""
"org.axonframework.test.fixture.AxonTestPhase$Then$Nothing","AxonTestPhase$Then$Nothing",0.5810604354168812,0.29674209026900217,0,0,0.013001383125864453,0.010999918639655031,0.003854501971714533,0.0004890921341171098,7,2,""
"org.axonframework.test.fixture.AxonTestPhase$Then$Event","AxonTestPhase$Then$Event",0.6035743613589383,0.2946183684068316,0,0,0.011673582295988935,0.0095084042478374,0.0005410217769298968,0.0004890921341171098,5,2,""
"org.axonframework.test.fixture.AxonTestPhase$When$Nothing","AxonTestPhase$When$Nothing",0.2564776938285101,0.2005750689222507,20,0,0.009778699861687414,0.007684874666060364,0.003950794025089791,0.000820691439795381,4,3,""
"org.axonframework.test.fixture.AxonTestPhase$When","AxonTestPhase$When",0.7896763564351081,0.3298856752427993,147.8833333333333,0,0.014315352697095435,0.010999918639655031,0.0075996053887308285,0.014566709696542465,12,5,""
"org.axonframework.test.fixture.AxonTestPhase$When$Event","AxonTestPhase$When$Event",0.4413132723879061,0.2660637401174456,0,0,0.009778699861687414,0.007684874666060364,0.0039408399749049985,0.0006830254597672525,4,3,""
"org.axonframework.test.fixture.AxonTestPhase$Then$Message","AxonTestPhase$Then$Message",1.2867429129169539,0.40392095025264774,70,0,0.012641770401106502,0.00967234225211046,0.00347284916038179,0.0005780522017413383,8,3,""
"org.axonframework.test.fixture.AxonTestPhase$Then$Command","AxonTestPhase$Then$Command",0.5408354373879231,0.276538113528246,268.43333333333334,0,0.011673582295988935,0.0095084042478374,0.0012409639022341128,0.003901925500465724,5,3,""
"org.axonframework.test.matchers.FieldFilter","FieldFilter",0.9443186242445308,0.430232462040305,0,0,0.012586445366528353,0.010209398822734729,0.0020308433744334613,0,9,0,""
"org.axonframework.test.matchers.IgnoreField","IgnoreField",0.2420554747527446,0.19043022356283784,37,0,0.005947441217150761,0.005334914048606994,3.511650205340911e-06,0.00015980688163553923,1,2,""
"org.axonframework.test.fixture.AxonTestPhase$When$Command","AxonTestPhase$When$Command",0.3263682076640894,0.2238041334505058,4,0,0.009778699861687414,0.007684874666060364,0.003942052382266464,0.0007121061281215232,4,3,""
"org.axonframework.test.fixture.AxonTestWhen","AxonTestWhen",0.3420760717963306,0.2896918412714434,467.66666666666663,0,0.006777316735822959,0.0053941908713692945,0.0030716627916410983,0.07702489601687722,5,25,""
"org.axonframework.test.fixture.AxonTestPhase$Setup","AxonTestPhase$Setup",0.7257684410313922,0.2629497397543506,62.91666666666667,0,0.010511756569847855,0.008904696041625502,0.0023199170435866325,0.00043980895024114063,4,2,""
"org.axonframework.test.fixture.AxonTestPhase$Given","AxonTestPhase$Given",0.5009575859702653,0.2302637323633589,91.91666666666666,0,0.00925311203319502,0.007285660397693593,0.0029861489553364563,0.027414461293803326,4,8,""
"org.axonframework.test.FixtureExecutionException","FixtureExecutionException",0.42524455458672095,0.27133015839266733,25.5,0,0.007883817427385892,0.006558040684141281,0.0018155458146854391,1.7868279131378846e-06,4,1,""
"org.axonframework.test.util.RecordingCommandBus","RecordingCommandBus",0.16101862318850765,0.15971299505443345,121,0,0.0037502469867615094,0.00291753112033195,0.0003575013171888984,0.08380186625755742,1,15,""
"org.axonframework.test.util.DescriptionUtils","DescriptionUtils",0.15367287439616922,0.15323766501814448,0,0,0.0037502469867615094,0.00291753112033195,0.0003575013171888984,0,1,0,""
"org.axonframework.test.matchers.Matchers","Matchers",0.15696560629875572,0.15618807044422267,264.5,0,0.005034578146611342,0.003734439834024896,0.00211867765685356,0.03643331247603566,2,16,""
"org.axonframework.test.matchers.PayloadMatcher","PayloadMatcher",0.17092111281963399,0.16864798247814428,0,0,0.0051728907330567085,0.003862693323274236,0.0025669978622093383,0.017749605613877534,2,1,""
"org.axonframework.test.fixture.AxonTestThenEvent","AxonTestThenEvent",0.16938215867246575,0.16439493510884257,159.16666666666666,0,0.003637621023513139,0.002984020482034078,5.7020285038794e-05,0.008563083235545811,1,10,""
"org.axonframework.test.fixture.RecordingEventBus","RecordingEventBus",0.15751824724306812,0.15619299675521006,19.083333333333332,0,0.003914246196403873,0.003219344684504221,0.000659330798088195,0.05373420322489393,1,8,""
"org.axonframework.test.fixture.RecordingEventStore","RecordingEventStore",0.15751824724306812,0.15619299675521006,654.0833333333333,0,0.003914246196403873,0.003219344684504221,0.000659330798088195,0.07387564614343857,1,12,""
"org.axonframework.test.matchers.MatchAllFieldFilter","MatchAllFieldFilter",0.156585463805173,0.1559008108521564,0,0,0.004204702627939142,0.0033195020746887966,0.0017611763396646618,8.437595126268302e-05,1,1,""
"org.axonframework.test.matchers.MapStringEntryMatcher","MapStringEntryMatcher",0.1582318297564662,0.15737601356519548,28,0,0.004204702627939142,0.0033195020746887966,0.0017611763396646618,2.861732518288613e-51,1,2,""
"org.axonframework.test.fixture.AxonTestPhase$Then$MessageAssertions","AxonTestPhase$Then$MessageAssertions",0.7699285438789858,0.30126978424548484,75.83333333333334,0,0.011811894882434303,0.009349930843706777,0.0032941105120628555,0.021560477683405237,6,4,""
"org.axonframework.test.fixture.RecordingComponentsRegistry","RecordingComponentsRegistry",0.28325560763174895,0.24332417665655712,227.46666666666664,0,0.009266943291839557,0.0077800829875518665,0.010000613323613293,0.0080521798138904,8,3,""
"org.axonframework.test.fixture.RecordingCommandBus","RecordingCommandBus",0.27079284839928897,0.2179155631208384,416.5666666666667,0,0.007607192254495159,0.006248474493531852,0.005955225420488976,0.07606624537085487,4,10,""
"org.axonframework.test.fixture.RecordingEventSink","RecordingEventSink",0.292799173623724,0.23437200393574978,68.56666666666666,0,0.008852005532503458,0.0072670180553997986,0.01059773255244902,0.05115371456353002,5,5,""
"org.axonframework.test.fixture.Reporter","Reporter",0.2072297277113041,0.20119317566778924,0,0,0.005380359612724758,0.0036967182195397964,0.0031702429042157246,0.011897518651596542,3,2,""
