"artifact","all","public","min","max","average","percentile25","percentile50","percentile75","percentile90","Source Cypher File: domains/internal-dependencies/queries/visibility/Global_relative_visibility_statistics_for_types.cypher"
"axon-common-5.0.3",156,129,0.6153846153846154,1,0.893101514853433,0.791304347826087,1,1,1,""
"axon-conversion-5.0.3",35,32,0.7,1,0.9400000000000001,1,1,1,1,""
"axon-eventsourcing-5.0.3",100,66,0.2,0.9,0.5997209140066283,0.4807692307692308,0.6666666666666666,0.734920634920635,0.8133333333333334,""
"axon-messaging-5.0.3",579,439,0.25,1,0.8020852998400617,0.7272727272727273,0.8421052631578947,1,1,""
"axon-metrics-micrometer-5.0.3",16,12,0.7272727272727273,1,0.8257575757575758,0.7386363636363636,0.75,0.875,0.95,""
"axon-modelling-5.0.3",92,84,0.6923076923076923,1,0.9019230769230769,0.8605769230769231,0.9,1,1,""
"axon-server-connector-5.0.3",72,58,0.6428571428571429,0.8928571428571429,0.7884948384948386,0.7272727272727273,0.8333333333333334,0.8461538461538461,0.8741758241758242,""
"axon-spring-boot-autoconfigure-5.0.3",75,53,0.5121951219512195,1,0.8870805061434072,0.8486842105263157,1,1,1,""
"axon-test-5.0.3",78,63,0.6,1,0.8097675120772948,0.7265625,0.7916666666666667,0.9257246376811595,0.9782608695652174,""
"axon-tracing-opentelemetry-5.0.3",5,5,1,1,1,1,1,1,1,""
"axon-update-5.0.3",23,23,1,1,1,1,1,1,1,""
