"projectName","shortCodeUnitName","codeUnitName","pageRank","articleRank","normalizedPageRankToArticleRankDifference","rank","Source Cypher File: domains/archetypes/labels/ArchetypeAuthority.cypher"
"axon-common-5.1.0","common","org.axonframework.common",11.616163415031838,6.048292360657327,0,1,""
"axon-common-5.1.0","io","org.axonframework.common.io",0.45614962426556144,0.2052129747148698,0.017339426347312753,2,""
"axon-metrics-micrometer-5.1.0","micrometer","org.axonframework.extension.metrics.micrometer",0.25200000000000006,0.19536585365853662,0.0012043854050722315,3,""
"axon-common-5.1.0","function","org.axonframework.common.function",0.244005236009025,0.1770581327908704,0.0036110389146201466,4,""
"axoniq-spring-boot-autoconfigure-5.1.0","actuator","io.axoniq.framework.springboot.actuator",0.20533500000000005,0.17445312604807878,0.0006801409909577101,5,""
"axon-update-5.1.0","update","org.axonframework.update",0.15000000000000002,0.15000000000000002,0,6,""
"axon-conversion-5.1.0","avro","org.axonframework.conversion.avro",0.15000000000000002,0.15000000000000002,0,7,""
"axon-eventsourcing-5.1.0","configuration","org.axonframework.eventsourcing.configuration",0.15000000000000002,0.15000000000000002,0,8,""
"axon-conversion-5.1.0","jackson2","org.axonframework.conversion.jackson2",0.15000000000000002,0.15000000000000002,0,9,""
"axoniq-spring-boot-autoconfigure-5.1.0","autoconfig","io.axoniq.framework.springboot.autoconfig",0.15000000000000002,0.15000000000000002,0,10,""
