"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_9_Community_Metrics.cypher"
-1,0,0,391,"EventSourcingRepository,InitializingEntityEvolver,CriteriaResolverDefinition,EventTag,Snapshotter,Position,EventSourcingHandler,EventCriteriaBuilder,InMemorySnapshotStore","org.axonframework.eventsourcing.EventSourcingRepository,org.axonframework.eventsourcing.handler.InitializingEntityEvolver,org.axonframework.eventsourcing.annotation.CriteriaResolverDefinition,org.axonframework.eventsourcing.annotation.EventTag,org.axonframework.eventsourcing.snapshot.api.Snapshotter,org.axonframework.eventsourcing.eventstore.Position,org.axonframework.eventsourcing.annotation.EventSourcingHandler,org.axonframework.eventsourcing.annotation.EventCriteriaBuilder,org.axonframework.eventsourcing.snapshot.inmemory.InMemorySnapshotStore",""
1,0.9523809523809523,9.723153465945112e-05,10,"ConsistencyMarkers$OriginConsistencyMarker,ConsistencyMarkers$InfinityConsistencyMarker,AbstractConsistencyMarker,ConsistencyMarkers,AnnotationBasedEntityIdResolverDefinition,SequenceNumber,SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver,SourceIdParameterResolverFactory$SourceIdParameterResolver,ProcessingContextParameterResolverFactory$ProcessingContextParameterResolver","org.axonframework.eventsourcing.eventstore.ConsistencyMarkers$OriginConsistencyMarker,org.axonframework.eventsourcing.eventstore.ConsistencyMarkers$InfinityConsistencyMarker,org.axonframework.eventsourcing.eventstore.AbstractConsistencyMarker,org.axonframework.eventsourcing.eventstore.ConsistencyMarkers,org.axonframework.modelling.annotation.AnnotationBasedEntityIdResolverDefinition,org.axonframework.messaging.eventhandling.annotation.SequenceNumber,org.axonframework.messaging.eventhandling.annotation.SequenceNumberParameterResolverFactory$SequenceNumberParameterResolver,org.axonframework.messaging.core.annotation.SourceIdParameterResolverFactory$SourceIdParameterResolver,org.axonframework.messaging.core.unitofwork.annotation.ProcessingContextParameterResolverFactory$ProcessingContextParameterResolver",""
5,0.7686274509803922,0.002834682171286085,17,"AggregateBasedJpaEventStorageEngine$2,SimpleEventSourcedEntityModule$1,SimpleEventSourcedEntityModule$2,SimpleEventSourcedEntityModule$4,SimpleEventSourcedEntityModule$5,SimpleEventSourcedEntityModule$3,SimpleEventSourcedEntityModule,DeadLetterQueueProcessorProperties$DlqProcessorSettings,DeadLetterQueueProcessorProperties$Dlq","org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine$2,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$1,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$2,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$4,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$5,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$3,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule,io.axoniq.framework.springboot.DeadLetterQueueProcessorProperties$DlqProcessorSettings,io.axoniq.framework.springboot.DeadLetterQueueProcessorProperties$Dlq",""
7,0.9742765273311897,0.00014095502301559137,12,"GeneralConverter,AxonServerDockerComposeConnectionDetailsFactory,AxonServerConnectionDetails,AxonServerTestContainerConnectionDetailsFactory,AxonServerAutoConfiguration$1,UnitOfWork$UnitOfWorkProcessingContext,DoNotRetryOutcome,RetryOutcome,NamespaceMessageTypeResolver$Builder","org.axonframework.conversion.GeneralConverter,io.axoniq.framework.springboot.service.connection.AxonServerDockerComposeConnectionDetailsFactory,io.axoniq.framework.springboot.service.connection.AxonServerConnectionDetails,io.axoniq.framework.springboot.service.connection.AxonServerTestContainerConnectionDetailsFactory,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration$1,org.axonframework.messaging.core.unitofwork.UnitOfWork$UnitOfWorkProcessingContext,org.axonframework.messaging.core.retry.DoNotRetryOutcome,org.axonframework.messaging.core.retry.RetryOutcome,org.axonframework.messaging.core.NamespaceMessageTypeResolver$Builder",""
9,1,-6.220766220351261e-06,7,"EvolutionResult,CachingSupplier,EventPublishingUtils,MethodQueryHandlerDefinition,ExtractionSequencingPolicy,TimeoutWrappedMessageHandlingMember,AxonServerQueryBusConnector$AxonServerUpdateCallback","org.axonframework.eventsourcing.snapshot.api.EvolutionResult,org.axonframework.conversion.CachingSupplier,org.axonframework.messaging.eventhandling.gateway.EventPublishingUtils,org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition,org.axonframework.messaging.core.sequencing.ExtractionSequencingPolicy,org.axonframework.messaging.core.timeout.TimeoutWrappedMessageHandlingMember,io.axoniq.framework.axonserver.connector.query.AxonServerQueryBusConnector$AxonServerUpdateCallback",""
11,0.9135802469135802,0.0009159294510287032,10,"AggregateSequenceNumberPosition,SQLErrorCodesResolver,PolymorphicEntityMetamodel,EntityCommandHandlingComponent,Context$ResourceKey,SourceIdParameterResolverFactory,LegacyMessageSupportingContext,NonTransientExceptionClassesPredicate,AxonConfigurationException","org.axonframework.eventsourcing.eventstore.AggregateSequenceNumberPosition,org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver,org.axonframework.modelling.entity.PolymorphicEntityMetamodel,org.axonframework.modelling.entity.EntityCommandHandlingComponent,org.axonframework.messaging.core.Context$ResourceKey,org.axonframework.messaging.core.annotation.SourceIdParameterResolverFactory,org.axonframework.messaging.core.unitofwork.LegacyMessageSupportingContext,org.axonframework.messaging.core.retry.NonTransientExceptionClassesPredicate,org.axonframework.common.AxonConfigurationException",""
13,0.9661016949152542,0.0001981363268403112,8,"AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod,PooledStreamingEventProcessorConfiguration,EmptyApplicationContext,PooledStreamingEventProcessor$SegmentToken,PropertySequencingPolicy,ConnectionExecutor,ConnectionProvider,SimpleEntityManagerProvider","org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver$WrappedEventCriteriaBuilderMethod,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration,org.axonframework.messaging.core.EmptyApplicationContext,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessor$SegmentToken,org.axonframework.messaging.core.sequencing.PropertySequencingPolicy,org.axonframework.common.jdbc.ConnectionExecutor,org.axonframework.common.jdbc.ConnectionProvider,org.axonframework.common.jpa.SimpleEntityManagerProvider",""
17,0.9045553145336226,0.0009821653249277975,9,"AnnotationBasedEventCriteriaResolver,GenericMessage,EventProcessorCustomization,SubscribingEventProcessorConfiguration,GenericQueryResponseMessage,GenericSubscriptionQueryUpdateMessage,ConversionCache$Target,CommandConverter,PropertyAccessException","org.axonframework.eventsourcing.annotation.AnnotationBasedEventCriteriaResolver,org.axonframework.messaging.core.GenericMessage,org.axonframework.messaging.eventhandling.configuration.EventProcessorCustomization,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorConfiguration,org.axonframework.messaging.queryhandling.GenericQueryResponseMessage,org.axonframework.messaging.queryhandling.GenericSubscriptionQueryUpdateMessage,org.axonframework.messaging.core.ConversionCache$Target,io.axoniq.framework.axonserver.connector.command.CommandConverter,org.axonframework.common.property.PropertyAccessException",""
21,1,-1.7634356554463042e-05,5,"CommandLineUsagePropertyProvider,HierarchicalUsagePropertyProvider,MessageConverter,GenericCommandResultMessage,DefaultQueryUpdateEmitterSpanFactory","org.axonframework.update.configuration.CommandLineUsagePropertyProvider,org.axonframework.update.configuration.HierarchicalUsagePropertyProvider,org.axonframework.messaging.core.conversion.MessageConverter,org.axonframework.messaging.commandhandling.GenericCommandResultMessage,org.axonframework.messaging.queryhandling.tracing.DefaultQueryUpdateEmitterSpanFactory",""
23,0.9107692307692308,0.001202462969496461,16,"Snapshot,StoreBackedSnapshotter,AnnotatedEntityMetamodel,EventHandlingComponent,UnitOfWork,ReplayStatusChangedHandler,ResetHandler,DisallowReplay,DefaultWorkPackageEventFilter","org.axonframework.eventsourcing.snapshot.api.Snapshot,org.axonframework.eventsourcing.snapshot.store.StoreBackedSnapshotter,org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel,org.axonframework.messaging.eventhandling.EventHandlingComponent,org.axonframework.messaging.core.unitofwork.UnitOfWork,org.axonframework.messaging.eventhandling.replay.annotation.ReplayStatusChangedHandler,org.axonframework.messaging.eventhandling.replay.annotation.ResetHandler,org.axonframework.messaging.eventhandling.replay.annotation.DisallowReplay,org.axonframework.messaging.eventhandling.processing.streaming.pooled.DefaultWorkPackageEventFilter",""
