"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.eventsourcing.snapshot.api.SnapshotPolicy$1","SnapshotPolicy$1","embeddingsFastRandomProjection","0.0006041452,0.0030738413,0.122975424,-0.19924864,0.26680675,0.119763225,0.13327394,0.042546153,0.070998974,-0.4128575,0.17396837,0.22291207,-0.4968675,0.19577709,-0.40825906,0.16551821,-0.17977257,-0.34888253,-0.085552245,-0.053592637,-0.048804816,-0.02757905,-0.075823404,-0.057522424,-0.25008798,-0.23497397,-0.116997585,0.015383411,-0.015085237,0.2465312,0.05877626,0.36779732,-0.10635234,0.06406994,-0.016727613,0.3143746,-0.0793604,0.19840641,-0.24084014,-0.18742095,-0.013487084,-0.32269162,-0.35341722,-0.079915754,-0.19540967,0.24307649,-0.14342691,-0.23077083,0.13632737,0.18261203,-0.06698641,-0.34876898,0.2873395,0.09055622,-0.073508725,-0.3441391,-0.13174891,0.04694676,0.04632431,-0.015301803,0.046840303,-0.10491775,0.0054546148,0.34260264",""
"org.axonframework.eventsourcing.snapshot.api.SnapshotPolicy$2","SnapshotPolicy$2","embeddingsFastRandomProjection","0.0054658502,0.01188007,0.113300055,-0.18281987,0.2554848,0.11612062,0.12730128,0.043415643,0.070905894,-0.39517185,0.17552465,0.22079518,-0.47888988,0.19153738,-0.39292425,0.14033404,-0.17902607,-0.3278497,-0.088694476,-0.056352206,-0.04266901,-0.024786655,-0.06978618,-0.063871205,-0.23695879,-0.24160177,-0.113066114,0.011193029,-0.014648013,0.24710532,0.059572272,0.34000778,-0.1019502,0.046162844,-0.018519439,0.3074329,-0.07784857,0.19804539,-0.22848107,-0.17319274,-0.012418503,-0.30956662,-0.33640012,-0.06314246,-0.18940589,0.23865266,-0.14214578,-0.22946855,0.122553006,0.17234795,-0.06998466,-0.34007436,0.26194766,0.092904404,-0.06833681,-0.32497704,-0.13659123,0.04505524,0.054141987,-0.019449778,0.04067581,-0.10694036,0.005798325,0.3255213",""
"org.axonframework.eventsourcing.snapshot.inmemory.InMemorySnapshotStore","InMemorySnapshotStore","embeddingsFastRandomProjection","0.040082403,-0.17872554,0.18983573,-0.12226169,-0.12362315,0.13314483,0.003005106,0.22906528,-0.15299071,-0.021626096,-0.091152675,-0.10586847,-0.06052089,-0.0060763657,-0.29903322,0.0764452,-0.0073658824,-0.09786556,0.0851204,-0.08932784,0.23046611,0.028105192,0.06931741,0.28910348,-0.06196391,-0.20980823,0.17491621,0.3213851,0.12384565,0.17909755,0.32143304,0.17267156,-0.08477887,0.034902517,-0.029737495,0.1406103,0.11846411,-0.44062185,-0.23514399,-0.16440503,0.061723106,-0.027493175,-0.41782552,-0.29956523,-0.29732966,-0.07729807,0.052167684,-0.14808616,0.28651413,0.1886226,0.06791578,-0.16444911,0.48465317,0.18153746,-0.5170864,-0.11662865,0.03940668,0.033994935,-0.15822229,-0.20579438,0.075508974,0.025229089,-0.23429531,0.09577163",""
"org.axonframework.eventsourcing.eventstore.InterceptingEventStore","InterceptingEventStore","embeddingsFastRandomProjection","-0.056815777,-0.15683609,0.12173794,-0.0687792,-0.11403217,-0.018295571,0.23473212,0.22928637,-0.3263452,0.16718684,-0.42716414,0.13365318,0.0144840665,0.19686669,-0.05424165,0.22255184,0.29156202,-0.11207254,0.2162056,-0.03258687,-0.11166311,-0.23001802,0.027655963,0.33102044,0.019680295,0.2600736,0.36140615,-0.0025000703,-0.18856128,-0.022796713,-0.31937307,0.2450512,-0.2542269,0.15430063,-0.01980381,-0.25544623,-0.04435703,-0.29201883,-0.25179446,0.054831497,-0.075647265,0.13926543,-0.04577266,-0.65384257,0.32483926,-0.2277259,0.016175354,0.098884754,0.27597004,0.053618513,0.015722811,0.123598695,0.12214695,-0.35473904,-0.2347867,0.06626885,0.17627785,0.07271365,-0.07597466,0.19872494,0.022504475,0.27420276,-0.11420861,0.4675725",""
"org.axonframework.eventsourcing.eventstore.InterceptingEventStore$InterceptingAppender","InterceptingEventStore$InterceptingAppender","embeddingsFastRandomProjection","-0.082433335,-0.3072242,0.06372729,-0.11314843,-0.39285606,-0.017603964,0.2954575,0.27129066,-0.17548004,0.1283725,-0.41316923,0.0985112,-0.034261975,0.38572025,-0.07732904,0.2799359,0.24534568,-0.056975722,0.16949573,0.13482296,-0.17275676,-0.22470301,-0.12257944,0.29931575,0.08025016,0.1752658,0.3572417,-0.11509536,-0.20458066,-0.08169359,-0.29293025,0.09688818,-0.23331027,0.11654292,0.05115341,-0.49496394,-0.20082137,-0.285085,-0.32256567,-0.12689662,-0.21580085,0.03916017,-0.09114768,-0.6101257,0.5199932,-0.15195218,0.06516836,0.17988709,0.377176,0.036716223,0.1661465,0.05311626,0.2937541,-0.3522714,-0.046839137,-0.095798865,0.25859344,0.05223443,-0.09429498,0.37730405,-0.025699217,0.32808232,-0.2043846,0.38792515",""
"org.axonframework.eventsourcing.eventstore.StartPosition","StartPosition","embeddingsFastRandomProjection","0.110913284,-0.01591219,0.13242148,-0.07615866,-0.2385208,0.43332708,0.098326474,0.04367995,-0.039194584,-0.14175771,-0.0032932647,-0.10208517,-0.13670498,0.16750593,-0.056519736,0.26487157,0.25554568,-0.040808514,0.020907015,-0.12814215,0.16214806,-0.0033598905,0.002113849,0.3297327,-0.12284316,0.0034517583,0.2702848,0.3742326,0.2717269,0.22423801,0.3115229,0.100487866,0.11602159,0.047810048,0.2139048,-0.01833845,-0.31570178,-0.2540244,0.06677924,-0.06499621,0.33873883,-0.10489715,-0.46730256,-0.23552376,-0.09312744,0.17234276,-0.0982978,-0.2829645,0.18423212,0.0387694,0.05395154,-0.2147229,0.48443738,-0.44508094,-0.265703,-0.033810258,0.2144396,0.11427507,0.012669152,-0.07525393,-0.2664172,0.12395175,0.26168692,0.27922997",""
"org.axonframework.eventsourcing.eventstore.MetadataBasedTagResolver","MetadataBasedTagResolver","embeddingsFastRandomProjection","0.2255274,-0.24428847,0.19222131,0.042806644,-0.16571356,0.4026755,0.023581348,0.18381283,0.15051702,-0.11638482,-0.14148864,0.0848043,0.11545432,-0.09159174,-0.14266361,0.27957624,-0.024883527,-0.49986592,-0.2064456,0.3257888,-0.28090882,-0.107163295,0.06461722,-0.029424783,-0.080880545,0.23436335,0.29294258,0.13767383,-0.14295028,-0.12877518,-0.37688547,-0.35041112,0.027176835,-0.17202234,-0.047474276,-0.13628829,-0.1013333,-0.050932214,-0.0026997402,-0.06488201,0.08969602,-0.07224368,0.2422089,-0.23204169,0.15622722,-0.26616997,-0.14037168,-0.026294485,0.24077931,0.06757244,-0.14031376,0.2894181,0.17944597,0.06817934,0.07003958,0.12120746,0.015804779,-0.29509574,0.04309785,-0.15416972,0.23911515,-0.06597948,0.19567207,-0.017190523",""
"org.axonframework.eventsourcing.eventstore.ConsistencyMarkers$OriginConsistencyMarker","ConsistencyMarkers$OriginConsistencyMarker","embeddingsFastRandomProjection","0.18489657,0.15408507,0.26061234,0.04237474,-0.05790399,0.36458397,-0.014214195,0.17475636,-0.08383743,-0.51350904,-0.055428788,-0.01396442,0.10227217,0.25895125,0.23229638,0.036345668,0.14305764,-0.06399426,0.07615164,0.0645624,-0.061247557,-0.10902321,-0.014895201,0.44593394,0.091107376,-0.11013059,0.3625192,0.06294178,-0.05266179,0.01236156,-0.078319445,-0.035489544,-0.11029931,-0.07113777,0.080870554,0.05395232,0.23296514,0.09093061,0.14373235,-0.40250835,0.29490855,-0.08322411,-0.055861875,-0.042568475,-0.061216153,0.27086908,-0.024482276,-0.2247957,0.06966801,-0.22092968,-0.17867969,-0.041973785,0.26872924,-0.30386052,-0.06386031,0.0067652166,0.14587688,0.07617605,0.07289818,-3.384892e-05,-0.09756589,-0.00859616,0.018382728,0.31077024",""
"org.axonframework.eventsourcing.eventstore.ConsistencyMarkers$InfinityConsistencyMarker","ConsistencyMarkers$InfinityConsistencyMarker","embeddingsFastRandomProjection","0.18287747,0.15862402,0.25715566,0.04535768,-0.046231575,0.34696898,-0.021219216,0.17651014,-0.085560605,-0.5146138,-0.057128783,-0.008302422,0.1114095,0.2546578,0.24089292,0.020506963,0.13025275,-0.062934875,0.0725549,0.070210375,-0.07113331,-0.11115998,-0.018164814,0.43623835,0.10000565,-0.11216724,0.3554839,0.043124396,-0.07013668,0.0014585182,-0.09584499,-0.040951997,-0.12285508,-0.07587132,0.067396894,0.056527592,0.2559799,0.10719557,0.14155799,-0.4069692,0.27983233,-0.07872638,-0.031285524,-0.03279499,-0.056408465,0.265553,-0.018878574,-0.2133192,0.05946976,-0.2257432,-0.18556476,-0.031081542,0.2489213,-0.28346476,-0.049192823,0.008963108,0.13364585,0.07078497,0.07263545,0.0048842905,-0.08122724,-0.013542775,0.0038231015,0.29896644",""
"org.axonframework.eventsourcing.eventstore.TerminalEventMessage","TerminalEventMessage","embeddingsFastRandomProjection","0.23605898,0.15112564,0.20336995,-0.005389197,-0.09081999,0.34526843,0.008789014,-0.08257371,0.29318282,0.10192481,-0.28583556,-0.33132902,-0.046060286,0.119201854,0.31245947,0.3149364,0.14279991,-0.029379841,0.18876883,-0.21470702,-0.50192446,0.082887605,-0.17603773,0.012099969,0.03306674,0.0670255,-0.09644818,0.028262872,0.09950221,-0.0550797,-0.45913717,-0.011863206,-0.027218275,0.034117,-0.14624466,0.13547468,-0.08087558,-0.2323016,0.25065207,-0.5087834,0.012088759,0.23574045,-0.3914426,-0.3081919,-0.33982408,0.15156958,-0.25429368,0.013537055,0.16331697,-0.023663621,0.15150957,0.16654944,-0.016268745,-0.18100703,0.0012493497,0.092349276,0.3781997,0.14749119,-0.22036521,0.00078551285,0.18520373,-0.009273826,-0.032457244,0.058092773",""
