"projectName","shortCodeUnitName","codeUnitName","nodeEmbeddingTop3SHAPValueSum","rank","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionArchetypeBridge.cypher"
"axon-common-5.1.2","EhCacheAdapter","org.axonframework.common.caching.EhCacheAdapter",-0.7995946132387447,1,""
"axon-common-5.1.2","JCacheAdapter","org.axonframework.common.caching.JCacheAdapter",-0.7963030461963472,2,""
"axon-common-5.1.2","Cache","org.axonframework.common.caching.Cache",-0.7601593017409586,3,""
"axon-messaging-5.1.2","EventTypeRestrictableOrEventCriteria","org.axonframework.messaging.eventstreaming.EventTypeRestrictableOrEventCriteria",-0.617093056867814,4,""
"axon-messaging-5.1.2","EventTypeRestrictableEventCriteria","org.axonframework.messaging.eventstreaming.EventTypeRestrictableEventCriteria",-0.5694610645391702,5,""
"axon-messaging-5.1.2","AnyEvent","org.axonframework.messaging.eventstreaming.AnyEvent",-0.5478199250872173,6,""
"axon-common-5.1.2","TypeReflectionUtils$VarMap$UnresolvedTypeVariableException","org.axonframework.common.TypeReflectionUtils$VarMap$UnresolvedTypeVariableException",-0.5426330018866479,7,""
"axon-common-5.1.2","TypeReflectionUtils$VarMap$ParameterizedTypeImpl","org.axonframework.common.TypeReflectionUtils$VarMap$ParameterizedTypeImpl",-0.5426330018866479,8,""
"axon-common-5.1.2","TypeReflectionUtils","org.axonframework.common.TypeReflectionUtils",-0.49657294382192235,9,""
"axon-eventsourcing-5.1.2","SourcingStrategy","org.axonframework.eventsourcing.eventstore.SourcingStrategy",-0.46159786609889303,10,""
