"projectName","shortCodeUnitName","codeUnitName","anomalyRank","anomalyScore","bridgeRank","outlierRank","degreeRank","topFeature1","topFeature2","topFeature3","topFeature1Score","topFeature2Score","topFeature3Score","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionTopAnomalies.cypher"
"axon-common-5.1.2","TypeReference","org.axonframework.common.TypeReference",1,0.09827982975010574,0,0,92,"pageRank","articleRank","pageToArticleRankDifference",-0.19876658469838326,-0.19624028377099212,-0.16280297962058135,""
"axon-messaging-5.1.2","Message","org.axonframework.messaging.core.Message",2,0.09510841420597693,0,0,44,"pageRank","articleRank","pageToArticleRankDifference",-0.19682054437954774,-0.17873525801821907,-0.14830264934432108,""
"axon-messaging-5.1.2","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",3,0.07899805563440987,0,0,46,"pageRank","articleRank","pageToArticleRankDifference",-0.191393452111226,-0.18075564278423897,-0.14860356888852275,""
"axon-messaging-5.1.2","MessageStream","org.axonframework.messaging.core.MessageStream",4,0.07455616428367384,0,0,63,"articleRank","pageRank","incomingDependencies",-0.21045688418283873,-0.1987044623136303,-0.1416909811433634,""
"axon-messaging-5.1.2","QualifiedName","org.axonframework.messaging.core.QualifiedName",5,0.0724248804826697,0,0,80,"articleRank","pageRank","incomingDependencies",-0.19056101177215695,-0.16780829797598845,-0.1228578717146726,""
"axon-common-5.1.2","DescribableComponent","org.axonframework.common.infra.DescribableComponent",6,0.07185521376425918,0,0,92,"pageRank","articleRank","pageToArticleRankDifference",-0.20212473979813908,-0.19048208280504694,-0.1613793751020912,""
"axon-messaging-5.1.2","EventCriteria","org.axonframework.messaging.eventstreaming.EventCriteria",7,0.07109833031250634,0,0,99,"articleRank","pageRank","incomingDependencies",-0.21248203457485246,-0.16563747660641487,-0.1220107322328181,""
"axon-common-5.1.2","Internal","org.axonframework.common.annotation.Internal",8,0.07108420341181132,0,0,62,"pageRank","articleRank","pageToArticleRankDifference",-0.20381982551372582,-0.1905302801709772,-0.16400699319758802,""
"axon-messaging-5.1.2","Metadata","org.axonframework.messaging.core.Metadata",9,0.06806209960636245,0,0,96,"pageRank","articleRank","pageToArticleRankDifference",-0.2123253723782469,-0.1917204840788014,-0.16848123351989694,""
"axon-conversion-5.1.2","Converter","org.axonframework.conversion.Converter",10,0.06748206401816581,0,0,88,"pageRank","articleRank","pageToArticleRankDifference",-0.20959007814065986,-0.19593514852212934,-0.15859856586341944,""
"axon-messaging-5.1.2","Context$ResourceKey","org.axonframework.messaging.core.Context$ResourceKey",11,0.059054858081413975,0,0,87,"pageRank","articleRank","pageToArticleRankDifference",-0.2030392518784916,-0.1976625340056734,-0.15606405966158862,""
"axon-messaging-5.1.2","EventMessage","org.axonframework.messaging.eventhandling.EventMessage",12,0.058545634761079435,0,0,66,"pageRank","articleRank","incomingDependencies",-0.2066710807044561,-0.20235701438212075,-0.14580609195934743,""
"axon-common-5.1.2","ComponentDescriptor","org.axonframework.common.infra.ComponentDescriptor",13,0.05136588812241005,0,0,76,"pageRank","articleRank","pageToArticleRankDifference",-0.20660998920764817,-0.1914367356771388,-0.16049895609521148,""
