"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: domains/archetypes/labels/ArchetypeBottleneck.cypher"
"axon-messaging-5.1.2","annotation","org.axonframework.messaging.core.annotation",1353.8047619047616,1,""
"axon-messaging-5.1.2","core","org.axonframework.messaging.core",1184.8999999999999,2,""
"axon-messaging-5.1.2","sequencing","org.axonframework.messaging.core.sequencing",456.0761904761904,3,""
"axon-messaging-5.1.2","unitofwork","org.axonframework.messaging.core.unitofwork",392.3333333333333,4,""
"axon-messaging-5.1.2","conversion","org.axonframework.messaging.core.conversion",351.2499999999999,5,""
"axon-messaging-5.1.2","annotation","org.axonframework.messaging.commandhandling.annotation",244.20952380952377,6,""
"axon-messaging-5.1.2","annotation","org.axonframework.messaging.eventhandling.annotation",241.78571428571428,7,""
"axon-eventsourcing-5.1.2","eventstore","org.axonframework.eventsourcing.eventstore",229.23333333333335,8,""
"axon-eventsourcing-5.1.2","store","org.axonframework.eventsourcing.snapshot.store",196.00000000000003,9,""
"axon-messaging-5.1.2","transaction","org.axonframework.messaging.core.unitofwork.transaction",177,10,""
