"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"axon-common-5.1.2","axon-common-5.1.2","centralityCloseness",1,""
"axon-messaging-5.1.2","axon-messaging-5.1.2","centralityCloseness",0.7,""
"axon-conversion-5.1.2","axon-conversion-5.1.2","centralityCloseness",0.5818181818181819,""
"axon-modelling-5.1.2","axon-modelling-5.1.2","centralityCloseness",0.26666666666666666,""
"axon-eventsourcing-5.1.2","axon-eventsourcing-5.1.2","centralityCloseness",0.22499999999999998,""
"axon-server-connector-5.1.2","axon-server-connector-5.1.2","centralityCloseness",0.1,""
"axon-metrics-micrometer-5.1.2","axon-metrics-micrometer-5.1.2","centralityCloseness",0,""
"axon-test-5.1.2","axon-test-5.1.2","centralityCloseness",0,""
"axon-tracing-opentelemetry-5.1.2","axon-tracing-opentelemetry-5.1.2","centralityCloseness",0,""
"axon-update-5.1.2","axon-update-5.1.2","centralityCloseness",0,""
"axoniq-spring-boot-autoconfigure-5.1.2","axoniq-spring-boot-autoconfigure-5.1.2","centralityCloseness",0,""
