"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","stronglyConnectedComponentId","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","communityFastRpHdbscanLabel","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_Summary.cypher"
"io.axoniq.framework.axonserver.connector.shared","shared",0,"3,100,100",0,"100,12,4",0.037150156876973546,0,0,0,9,15,2,22,31,""
"io.axoniq.framework.axonserver.connector.snapshot","snapshot",1,"15,17,17",1,"15,21,2",0.05724384678141533,1,0,0,6,2,2,1,12,""
"io.axoniq.framework.axonserver.connector.util","util",2,"48,8,8",0,"48,25,4",0.037150156876973546,2,0,0,3,18,2,14,13,""
"io.axoniq.framework.axonserver.connector.query","query",0,"100,100,100",0,"100,12,4",0.037150156876973546,3,0,0,9,4,2,17,215,""
"io.axoniq.framework.axonserver.connector.api","api",2,"8,8,8",0,"8,25,4",0.037150156876973546,4,0,0,6,5,2,36,23,""
"io.axoniq.framework.axonserver.connector.api.query","query",0,"3,100,100",2,"100,12,7",0.0835498984931863,5,0,0,3,0,2,3,5,""
"io.axoniq.framework.axonserver.connector.api.command","command",0,"3,100,100",0,"100,12,4",0.037150156876973546,6,0,0,3,6,2,3,5,""
"io.axoniq.framework.axonserver.connector.event","event",1,"17,17,17",1,"17,21,2",0.05724384678141533,7,0,0,11,1,2,18,1282,""
"io.axoniq.framework.axonserver.connector.configuration","configuration",2,"8,8,8",0,"8,25,4",0.037150156876973546,8,0,0,8,3,2,9,382,""
"io.axoniq.framework.axonserver.connector.command","command",0,"3,100,100",0,"100,12,4",0.037150156876973546,9,0,0,9,10,2,5,99,""
"org.axonframework.eventsourcing","eventsourcing",1,"15,17,17",1,"15,21,2",0.05724384678141533,10,0,0,11,0,2,40,102,""
"org.axonframework.eventsourcing.annotation","annotation",3,"57,92,115",3,"57,15,0",0.07268373233472526,10,0,0,11,9,2,18,95,""
"org.axonframework.eventsourcing.annotation.reflection","reflection",3,"57,92,115",3,"57,15,0",0.07268373233472526,10,0,0,11,7,2,8,198,""
"org.axonframework.eventsourcing.snapshot.inmemory","inmemory",1,"15,17,17",1,"15,21,2",0.05724384678141533,11,0,0,3,0,2,0,3,""
"org.axonframework.eventsourcing.snapshot.store","store",1,"15,17,17",1,"15,21,2",0.05724384678141533,10,0,0,6,5,2,7,3,""
"org.axonframework.eventsourcing.snapshot.api","api",1,"15,17,17",1,"15,21,2",0.05724384678141533,10,0,0,6,1,2,18,13,""
"org.axonframework.eventsourcing.handler","handler",1,"15,17,17",1,"15,21,2",0.05724384678141533,10,0,0,11,2,2,12,547,""
"org.axonframework.eventsourcing.eventstore","eventstore",1,"17,17,17",1,"17,21,2",0.05724384678141533,10,0,0,11,7,2,275,985,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",1,"17,17,17",1,"17,21,2",0.05724384678141533,12,0,0,8,0,2,12,417,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",1,"17,17,17",1,"17,21,2",0.05724384678141533,13,0,0,11,0,2,15,1319,""
"org.axonframework.eventsourcing.configuration","configuration",3,"57,92,115",3,"57,15,0",0.07268373233472526,14,0,0,11,17,2,31,1761,""
"org.axonframework.conversion","conversion",4,"21,113,113",4,"25,20,3",0.017840682021550237,15,0,1,11,12,2,682,30,""
"org.axonframework.conversion.jackson","jackson",4,"21,113,113",4,"25,20,3",0.017840682021550237,16,0,1,4,11,2,5,21,""
"org.axonframework.conversion.converter","converter",4,"21,113,113",4,"25,20,3",0.017840682021550237,17,0,1,1,19,2,0,7,""
"org.axonframework.conversion.jackson2","jackson2",4,"21,113,113",4,"25,20,3",0.017840682021550237,18,0,1,3,5,2,4,21,""
