"propertyName","propertyValue","codeUnits","codeUnitNames","shortCodeUnitNames","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated_Grouped.cypher"
"communityMaximumKCutId",3,5,"org.axonframework.modelling,org.axonframework.messaging.monitoring,org.axonframework.messaging.commandhandling,io.axoniq.framework.axonserver.connector.event,org.axonframework.common.lifecycle","modelling,monitoring,commandhandling,event,lifecycle",""
"communityMaximumKCutId",0,21,"org.axonframework.modelling.annotation,org.axonframework.modelling.repository,org.axonframework.test,org.axonframework.messaging.commandhandling.annotation,org.axonframework.messaging.eventhandling.replay,org.axonframework.messaging.eventhandling.processing.streaming.token.store,org.axonframework.messaging.eventhandling.tracing,org.axonframework.messaging.queryhandling.interception,org.axonframework.messaging.core.correlation,org.axonframework.messaging.core.sequencing,org.axonframework.messaging.core.retry,org.axonframework.messaging.core.unitofwork.transaction.jpa,org.axonframework.messaging.core.timeout,io.axoniq.framework.axonserver.connector.snapshot,io.axoniq.framework.axonserver.connector.query,io.axoniq.framework.axonserver.connector.api.command,org.axonframework.common.jdbc,org.axonframework.update,org.axonframework.eventsourcing.annotation.reflection,org.axonframework.eventsourcing.snapshot.store,org.axonframework.conversion.jackson","annotation,repository,test,replay,store,tracing,interception,correlation,sequencing,retry,jpa,timeout,snapshot,query,command,jdbc,update,reflection,jackson",""
"communityMaximumKCutId",2,17,"org.axonframework.modelling.entity,org.axonframework.test.fixture,org.axonframework.messaging.commandhandling.gateway,org.axonframework.messaging.eventhandling.replay.annotation,org.axonframework.messaging.eventhandling.gateway,org.axonframework.messaging.eventhandling.conversion,org.axonframework.messaging.eventhandling.processing,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa,org.axonframework.messaging.queryhandling,org.axonframework.messaging.tracing,io.axoniq.framework.axonserver.connector.command,org.axonframework.common.util,org.axonframework.update.detection,org.axonframework.update.common,org.axonframework.eventsourcing.snapshot.api,org.axonframework.conversion.jackson2","entity,fixture,gateway,annotation,conversion,processing,jdbc,jpa,queryhandling,tracing,command,util,detection,common,api,jackson2",""
"communityMaximumKCutId",9,6,"org.axonframework.modelling.entity.annotation,org.axonframework.messaging.eventhandling.annotation,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory,org.axonframework.messaging.queryhandling.tracing,org.axonframework.conversion.avro,io.axoniq.framework.springboot.service.connection","annotation,inmemory,tracing,avro,connection",""
"communityMaximumKCutId",10,7,"org.axonframework.modelling.entity.child,org.axonframework.messaging.eventhandling.processing.streaming.segmenting,org.axonframework.messaging.queryhandling.configuration,org.axonframework.messaging.core.reflection,org.axonframework.messaging.core.interception.annotation,io.axoniq.framework.axonserver.connector.util,org.axonframework.common.lock","child,segmenting,configuration,reflection,annotation,util,lock",""
"communityMaximumKCutId",4,9,"org.axonframework.modelling.configuration,org.axonframework.messaging.monitoring.configuration,org.axonframework.messaging.eventstreaming,org.axonframework.messaging.core.annotation,org.axonframework.messaging.tracing.attributes,io.axoniq.framework.axonserver.connector.api,io.axoniq.framework.axonserver.connector.api.query,org.axonframework.common.jpa,org.axonframework.eventsourcing.handler","configuration,eventstreaming,annotation,attributes,api,query,jpa,handler",""
"communityMaximumKCutId",6,3,"org.axonframework.test.extension,org.axonframework.messaging.eventhandling,org.axonframework.common.configuration","extension,eventhandling,configuration",""
"communityMaximumKCutId",12,4,"org.axonframework.test.util,org.axonframework.messaging.eventhandling.processing.streaming,org.axonframework.extension.metrics.micrometer.reservoir,org.axonframework.eventsourcing","util,streaming,reservoir,eventsourcing",""
"communityMaximumKCutId",17,4,"org.axonframework.test.matchers,org.axonframework.messaging.eventhandling.configuration,org.axonframework.common.property,org.axonframework.common.caching","matchers,configuration,property,caching",""
"communityMaximumKCutId",16,8,"org.axonframework.messaging.monitoring.interception,org.axonframework.messaging.commandhandling.tracing,org.axonframework.messaging.eventhandling.processing.streaming.token,org.axonframework.messaging.core.conversion,org.axonframework.update.api,org.axonframework.eventsourcing.snapshot.inmemory,io.axoniq.framework.springboot.actuator,io.axoniq.framework.springboot.autoconfig","interception,tracing,token,conversion,api,inmemory,actuator,autoconfig",""
