"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: domains/graph-algorithms/queries/community-detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling",6,22,163,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event",6,14,163,1,""
"axon-conversion-5.1.2","org.axonframework.conversion",6,11,163,1,""
"axon-modelling-5.1.2","org.axonframework.modelling.annotation",6,10,163,1,""
"axoniq-spring-boot-autoconfigure-5.1.2","io.axoniq.framework.springboot",6,6,163,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection",6,6,163,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway",6,5,163,1,""
"axon-common-5.1.2","org.axonframework.common.lifecycle",6,4,163,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.conversion",6,2,163,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.conversion",6,2,163,1,""
"axon-test-5.1.2","org.axonframework.test.matchers",9,23,144,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception",9,21,144,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling",9,17,144,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation",9,11,144,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util",9,10,144,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.gateway",9,5,144,1,""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.command",9,3,144,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.conversion",9,2,144,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled",3,25,132,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration",3,14,132,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa",3,13,132,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception",3,6,132,1,""
"axon-common-5.1.2","org.axonframework.common.annotation",3,5,132,1,""
"axon-common-5.1.2","org.axonframework.common.util",3,5,132,1,""
"axon-common-5.1.2","org.axonframework.common.function",3,2,132,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.gateway",3,2,132,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",0,85,109,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.retry",0,13,109,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core",10,85,102,1,""
"axon-common-5.1.2","org.axonframework.common",10,31,102,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.configuration",10,14,102,1,""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore",12,51,83,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception",12,21,83,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.interception",12,6,83,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.gateway",12,2,83,1,""
"axon-common-5.1.2","org.axonframework.common.configuration",5,50,79,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled",5,25,79,1,""
"axon-modelling-5.1.2","org.axonframework.modelling",5,16,79,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting",5,14,79,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.core.sequencing",5,11,79,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.tracing",5,7,79,1,""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.errorhandling",5,3,79,1,""
