"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_9_Community_Metrics.cypher"
0,1,-0.002745218566172152,57,"PropertyBasedEntityIdResolver,EventTargetMatcher,ChildEntityFieldDefinition,ConcreteEntityMetamodel,SimpleStateBasedEntityModule,RecordingCommandBus,RecordingComponentsRegistry,MessageMonitorReport$Report,ProvidedAxonTestFixtureUtils","org.axonframework.modelling.PropertyBasedEntityIdResolver,org.axonframework.modelling.entity.child.EventTargetMatcher,org.axonframework.modelling.entity.child.ChildEntityFieldDefinition,org.axonframework.modelling.entity.ConcreteEntityMetamodel,org.axonframework.modelling.configuration.SimpleStateBasedEntityModule,org.axonframework.test.util.RecordingCommandBus,org.axonframework.test.fixture.RecordingComponentsRegistry,org.axonframework.test.util.MessageMonitorReport$Report,org.axonframework.test.extension.ProvidedAxonTestFixtureUtils",""
1,1,-0.00031208684215088315,18,"StateBasedEntityModule,RecordingCommandBus,PayloadsMatcher,ParameterResolver,MessageConverter,GenericMessage,ProcessorEventHandlingComponents,SubscribingEventProcessorsConfigurer,QueryMessageHandlerInterceptorChain$InterceptingHandler","org.axonframework.modelling.configuration.StateBasedEntityModule,org.axonframework.test.fixture.RecordingCommandBus,org.axonframework.test.matchers.PayloadsMatcher,org.axonframework.messaging.core.annotation.ParameterResolver,org.axonframework.messaging.core.conversion.MessageConverter,org.axonframework.messaging.core.GenericMessage,org.axonframework.messaging.eventhandling.processing.ProcessorEventHandlingComponents,org.axonframework.messaging.eventhandling.processing.subscribing.SubscribingEventProcessorsConfigurer,org.axonframework.messaging.queryhandling.interception.QueryMessageHandlerInterceptorChain$InterceptingHandler",""
2,1,-0.0011271396437696252,15,"EntityModule,Matchers,MessageStream,Command,Context$ResourceKey,QueryHandlerRegistry,QueryHandler,MethodQueryHandlerDefinition$MethodQueryHandlingMember,AggregateBasedAxonServerEventStorageEngine$1","org.axonframework.modelling.configuration.EntityModule,org.axonframework.test.matchers.Matchers,org.axonframework.messaging.core.MessageStream,org.axonframework.messaging.commandhandling.annotation.Command,org.axonframework.messaging.core.Context$ResourceKey,org.axonframework.messaging.queryhandling.QueryHandlerRegistry,org.axonframework.messaging.queryhandling.annotation.QueryHandler,org.axonframework.messaging.queryhandling.annotation.MethodQueryHandlerDefinition$MethodQueryHandlingMember,io.axoniq.framework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine$1",""
3,1,-0.00023962174864319654,23,"GetterSetterChildEntityFieldDefinition,UnknownRoutingKeyException,MatchAllFieldFilter,AxonTestFixtureProvider,EqualsMatcher,DeepEqualsMatcher,MonitoringSubscriptionQueryUpdateDispatchInterceptor,CommandDispatcherParameterResolverFactory$1,Message","org.axonframework.modelling.entity.child.GetterSetterChildEntityFieldDefinition,org.axonframework.modelling.entity.annotation.UnknownRoutingKeyException,org.axonframework.test.matchers.MatchAllFieldFilter,org.axonframework.test.extension.AxonTestFixtureProvider,org.axonframework.test.matchers.EqualsMatcher,org.axonframework.test.matchers.DeepEqualsMatcher,org.axonframework.messaging.monitoring.interception.MonitoringSubscriptionQueryUpdateDispatchInterceptor,org.axonframework.messaging.commandhandling.annotation.CommandDispatcherParameterResolverFactory$1,org.axonframework.messaging.core.annotation.Message",""
4,1,-7.386131253242231e-05,9,"EntityEvolver,SimpleRepository$SimpleEntity,DefaultCallbackBehavior,MessageHandlingMember,ConvertingCommandGateway,GapAwareTrackingToken,EventTypeRestrictableOrEventCriteria,Cache,ProcessUtils","org.axonframework.modelling.EntityEvolver,org.axonframework.modelling.repository.SimpleRepository$SimpleEntity,org.axonframework.test.util.DefaultCallbackBehavior,org.axonframework.messaging.core.annotation.MessageHandlingMember,org.axonframework.messaging.commandhandling.gateway.ConvertingCommandGateway,org.axonframework.messaging.eventhandling.processing.streaming.token.GapAwareTrackingToken,org.axonframework.messaging.eventstreaming.EventTypeRestrictableOrEventCriteria,org.axonframework.common.caching.Cache,org.axonframework.common.ProcessUtils",""
5,1,-0.00011192548899284449,9,"LoadedEntityNotOfExpectedTypeException,GenericResultMessage,ReplayStatusChangedHandler,ReplayToken,EmptyMessageStream,QueryConverter,Components,UpdateCheckerConfigurationEnhancer,DefaultAppendCondition","org.axonframework.modelling.LoadedEntityNotOfExpectedTypeException,org.axonframework.messaging.core.GenericResultMessage,org.axonframework.messaging.eventhandling.replay.ReplayStatusChangedHandler,org.axonframework.messaging.eventhandling.processing.streaming.token.ReplayToken,org.axonframework.messaging.core.EmptyMessageStream,io.axoniq.framework.axonserver.connector.query.QueryConverter,org.axonframework.common.configuration.Components,org.axonframework.update.UpdateCheckerConfigurationEnhancer,org.axonframework.eventsourcing.eventstore.DefaultAppendCondition",""
6,1,-8.598397947853317e-05,13,"InjectEntityParameterResolver,HierarchicalStateManagerConfigurationEnhancer,AxonTestPhase$Then$Message,ExactSequenceMatcher,DefaultMessageMonitorRegistry,FutureCommandResult,InMemoryTokenStore$ProcessAndSegmentId,DispatchInterceptorFactory,JdbcTransactionalExecutorProvider","org.axonframework.modelling.annotation.InjectEntityParameterResolver,org.axonframework.modelling.HierarchicalStateManagerConfigurationEnhancer,org.axonframework.test.fixture.AxonTestPhase$Then$Message,org.axonframework.test.matchers.ExactSequenceMatcher,org.axonframework.messaging.monitoring.configuration.DefaultMessageMonitorRegistry,org.axonframework.messaging.commandhandling.gateway.FutureCommandResult,org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory.InMemoryTokenStore$ProcessAndSegmentId,org.axonframework.messaging.core.interception.DispatchInterceptorFactory,org.axonframework.messaging.core.unitofwork.transaction.jdbc.JdbcTransactionalExecutorProvider",""
7,1,-0.00045517687437743694,14,"CommandTargetResolver,EventMessage,SequenceNumberParameterResolverFactory,ReplayStatus,StreamingCondition,PooledStreamingEventProcessorModule$Customization,ClasspathHandlerEnhancerDefinition,CompletionCallbackMessageStream,DoNotRetryOutcome","org.axonframework.modelling.entity.child.CommandTargetResolver,org.axonframework.messaging.eventhandling.EventMessage,org.axonframework.messaging.eventhandling.annotation.SequenceNumberParameterResolverFactory,org.axonframework.messaging.eventhandling.replay.ReplayStatus,org.axonframework.messaging.eventstreaming.StreamingCondition,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorModule$Customization,org.axonframework.messaging.core.annotation.ClasspathHandlerEnhancerDefinition,org.axonframework.messaging.core.CompletionCallbackMessageStream,org.axonframework.messaging.core.retry.DoNotRetryOutcome",""
8,1,-0.00028094187503194853,12,"RepositoryAlreadyRegisteredException,ListWithAllOfMatcher,CommandMessage,DelegatingEventConverter,JdbcTokenStoreConfiguration,PooledStreamingEventProcessorConfiguration,SimpleSegmentChangeListener,NoMoreInterceptors,DelayedMessageStream$Empty","org.axonframework.modelling.RepositoryAlreadyRegisteredException,org.axonframework.test.matchers.ListWithAllOfMatcher,org.axonframework.messaging.commandhandling.CommandMessage,org.axonframework.messaging.eventhandling.conversion.DelegatingEventConverter,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc.JdbcTokenStoreConfiguration,org.axonframework.messaging.eventhandling.processing.streaming.pooled.PooledStreamingEventProcessorConfiguration,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.SimpleSegmentChangeListener,org.axonframework.messaging.core.interception.annotation.NoMoreInterceptors,org.axonframework.messaging.core.DelayedMessageStream$Empty",""
9,1,-0.00028942906801813025,13,"PolymorphicEntityMetamodel$Builder,DefaultCommandGateway,WorkPackage,EventTrackerStatusChangeListener,HierarchicalParameterResolverFactoryConfigurationEnhancer,CorrelationDataInterceptor,MessageTypeNotResolvedException,DefaultDispatchInterceptorRegistry$GenericInterceptorDefinition,StringUtils","org.axonframework.modelling.entity.PolymorphicEntityMetamodel$Builder,org.axonframework.messaging.commandhandling.gateway.DefaultCommandGateway,org.axonframework.messaging.eventhandling.processing.streaming.pooled.WorkPackage,org.axonframework.messaging.eventhandling.processing.streaming.segmenting.EventTrackerStatusChangeListener,org.axonframework.messaging.core.reflection.HierarchicalParameterResolverFactoryConfigurationEnhancer,org.axonframework.messaging.core.interception.CorrelationDataInterceptor,org.axonframework.messaging.core.MessageTypeNotResolvedException,org.axonframework.messaging.core.interception.DefaultDispatchInterceptorRegistry$GenericInterceptorDefinition,org.axonframework.common.StringUtils",""
10,1,-0.0002138999968044203,8,"AxonTestThenCommand,EventHandlingComponent,ReplayStatusChangedHandler,Coordinator$CoordinationTask,TokenEntry$PK,MicrometerMetricsAutoConfiguration,PessimisticLockFactory$DisposableLock,SimpleEventSourcedEntityModule$2","org.axonframework.test.fixture.AxonTestThenCommand,org.axonframework.messaging.eventhandling.EventHandlingComponent,org.axonframework.messaging.eventhandling.replay.annotation.ReplayStatusChangedHandler,org.axonframework.messaging.eventhandling.processing.streaming.pooled.Coordinator$CoordinationTask,org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry$PK,org.axonframework.extension.metrics.micrometer.springboot.MicrometerMetricsAutoConfiguration,org.axonframework.common.lock.PessimisticLockFactory$DisposableLock,org.axonframework.eventsourcing.configuration.SimpleEventSourcedEntityModule$2",""
11,1,-3.841970396423321e-06,5,"MessageMonitorReport$Report$Success,CommandGateway,ComponentFactory,AppendEventsTransactionRejectedException,ByteArrayToJsonNodeConverter","org.axonframework.test.util.MessageMonitorReport$Report$Success,org.axonframework.messaging.commandhandling.gateway.CommandGateway,org.axonframework.common.configuration.ComponentFactory,org.axonframework.eventsourcing.eventstore.AppendEventsTransactionRejectedException,org.axonframework.conversion.jackson.ByteArrayToJsonNodeConverter",""
