"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: scripts/../cypher/Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"axon-server-connector-5.1.2","axon-server-connector-5.1.2","embeddingsNode2Vec","-0.71706015,0.025772372,-0.17318322,-0.103348084,-0.39172748,-0.1441251,-0.21483484,-0.3689704,-0.014073417,0.021009866,0.19871156,0.20318858,0.16600092,-0.1751304,-0.6648661,0.045660526",""
"axon-eventsourcing-5.1.2","axon-eventsourcing-5.1.2","embeddingsNode2Vec","-0.69491494,0.02341486,-0.18283565,-0.12521358,-0.39617282,-0.18802623,-0.20647201,-0.34116173,-0.014201159,-0.022448188,0.18288292,0.23354618,0.14693509,-0.18613406,-0.6662696,0.039841518",""
"axon-conversion-5.1.2","axon-conversion-5.1.2","embeddingsNode2Vec","-0.6573376,0.02758481,-0.2000413,-0.10889986,-0.3952979,-0.17875697,-0.24402905,-0.3608462,0.0081178285,-0.00027223953,0.15457179,0.23325987,0.16918561,-0.17100066,-0.6732018,0.044017073",""
"axon-update-5.1.2","axon-update-5.1.2","embeddingsNode2Vec","-0.72590023,0.035955403,-0.1692869,-0.1321378,-0.39763257,-0.14389554,-0.18214433,-0.3378082,0.009850271,0.026343927,0.15657182,0.21307479,0.14773571,-0.18056461,-0.6548564,0.07783781",""
"axon-modelling-5.1.2","axon-modelling-5.1.2","embeddingsNode2Vec","-0.7330129,0.039763477,-0.18575425,-0.08244792,-0.3784076,-0.14890689,-0.21282206,-0.34123695,0.028259287,0.007828516,0.14734642,0.2583542,0.171161,-0.13553922,-0.7252685,0.010938867",""
"axoniq-spring-boot-autoconfigure-5.1.2","axoniq-spring-boot-autoconfigure-5.1.2","embeddingsNode2Vec","-0.6781985,0.02966189,-0.18809126,-0.06322516,-0.378904,-0.127969,-0.2274539,-0.37492514,-0.0046288455,0.021129016,0.18127386,0.21260892,0.16144514,-0.16883028,-0.6859077,0.013888115",""
"axon-tracing-opentelemetry-5.1.2","axon-tracing-opentelemetry-5.1.2","embeddingsNode2Vec","-0.7165694,0.05762524,-0.15143348,-0.09116721,-0.3512628,-0.16188006,-0.1927454,-0.37148112,0.0010389482,0.01041424,0.18203884,0.18519926,0.15625006,-0.16699438,-0.69045305,0.05876427",""
"axon-common-5.1.2","axon-common-5.1.2","embeddingsNode2Vec","-0.7115836,0.04183994,-0.17809087,-0.11431146,-0.35871926,-0.140581,-0.19103275,-0.3188191,-0.005463009,0.002542133,0.16572681,0.21948141,0.14710727,-0.15053414,-0.6521837,0.013268023",""
"axon-metrics-micrometer-5.1.2","axon-metrics-micrometer-5.1.2","embeddingsNode2Vec","-0.7137992,0.056420624,-0.19598807,-0.09581041,-0.38056535,-0.14922799,-0.20171127,-0.34958297,-0.034468424,0.052514985,0.21694206,0.17142223,0.14759012,-0.20596585,-0.6480375,0.09022118",""
"axon-messaging-5.1.2","axon-messaging-5.1.2","embeddingsNode2Vec","-0.76017046,0.04577415,-0.16066661,-0.052623466,-0.36882362,-0.1037585,-0.21921836,-0.38829136,0.02220604,0.04033552,0.17322832,0.2071295,0.19083297,-0.12630393,-0.69689435,0.03436458",""
"axon-test-5.1.2","axon-test-5.1.2","embeddingsNode2Vec","-0.69623333,0.041775808,-0.1879734,-0.07250657,-0.3676199,-0.15175137,-0.23934233,-0.34597573,0.0009470523,-0.02799389,0.1719854,0.25695053,0.18608394,-0.15157694,-0.6992982,-0.005950043",""
