"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: domains/overview/queries/overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",519799,27.543003570847596,""
"MODIFIES",519799,27.543003570847596,""
"UPDATES",315202,16.701859394762792,""
"CREATES",138033,7.31406449780551,""
"DELETES",94474,5.005969075262277,""
"COMMITTED",35224,1.866442139710803,""
"RENAMES",27910,1.4788893969829808,""
"INVOKES",22948,1.2159639513423663,""
"DEPENDS_ON",21808,1.1555578634684645,""
"HAS_PARENT",21427,1.13536951304745,""
"HAS_COMMIT",17612,0.9332210698554015,""
"HAS_FILE",17554,0.930147777665326,""
"DECLARES",14300,0.7577254882428027,""
"OF_TYPE",13909,0.7370072598579821,""
"OF_RAW_TYPE",13702,0.7260387860071947,""
"HAS",9892,0.5241552817970494,""
"HAS_NEW_NAME",9825,0.5206050994395481,""
"RETURNS",8097,0.42904218729384436,""
"CHANGED_TOGETHER_WITH",8064,0.427293590013284,""
"READS",6086,0.3224837287724264,""
"HAS_ACTUAL_TYPE_ARGUMENT",5995,0.3176618393017904,""
"OF_GENERIC_TYPE",4644,0.24607532639157875,""
"SIMILAR",3469,0.18381466564435545,""
"CONTAINS",3426,0.18153619039998897,""
"RETURNS_GENERIC",2704,0.14327900141318453,""
"RESOLVES_TO",2619,0.13877503872083222,""
"IN_WEAKLY_CONNECTED_COMPONENT",2320,0.12293168760302815,""
"HAS_FIRST_CHILD",2316,0.12271973641750568,""
"HAS_LAST_CHILD",2316,0.12271973641750568,""
"HAS_ELEMENT",2294,0.12155400489713214,""
"WRITES",2114,0.11201620154862132,""
"REQUIRES",1596,0.08456852302346246,""
"HAS_TEXT",1548,0.08202510879719291,""
"HAS_SIBLING",1526,0.08085937727681937,""
"COPIES",1486,0.07873986542159475,""
"EXTENDS",1385,0.07338809798715258,""
"IN_STRONGLY_CONNECTED_COMPONENT",1314,0.06962596444412887,""
"HAS_UPPER_BOUND",1115,0.05908139296438638,""
"DECLARES_TYPE_PARAMETER",876,0.04641730962941925,""
"IMPLEMENTS",827,0.043820907606769086,""
"THROWS",669,0.035448835778631824,""
"ANNOTATED_BY",628,0.03327633612702659,""
"COPY_OF",468,0.02479828870612809,""
"CATCHES",451,0.023897496167657628,""
"EXTENDS_GENERIC",412,0.02183097210881362,""
"HAS_AUTHOR",314,0.016638168063513294,""
"HAS_LOWER_BOUND",312,0.01653219247075206,""
"IMPLEMENTS_GENERIC",301,0.01594932671056529,""
"HAS_COMMITTER",255,0.013511888077056972,""
"HAS_KEY",248,0.013140973502392662,""
"HAS_VALUE",248,0.013140973502392662,""
"IS",201,0.010650547072503732,""
"DECLARES_DEPENDENCY",182,0.009643778941272036,""
"TO_ARTIFACT",182,0.009643778941272036,""
"HAS_TAG",153,0.008107132846234183,""
"ON_COMMIT",153,0.008107132846234183,""
"HAS_COMPONENT_TYPE",111,0.00588164539824833,""
"HAS_DEFAULT",57,0.003020304393695088,""
"CONTAINS_VALUE",54,0.0028613410045532413,""
"DECLARES_NAMESPACE",44,0.0023314630407470856,""
"REQUIRES_CONCEPT",28,0.0014836582986572362,""
"REQUIRES_TYPE_PARAMETER",26,0.0013776827058960051,""
"HAS_ATTRIBUTE",22,0.0011657315203735428,""
"OF_NAMESPACE",22,0.0011657315203735428,""
"HAS_CONFIGURATION",18,0.0009537803348510806,""
"IS_ARTIFACT",18,0.0009537803348510806,""
"USES_PLUGIN",18,0.0009537803348510806,""
"HAS_EXECUTION",13,0.0006888413529480026,""
"HAS_GOAL",13,0.0006888413529480026,""
"HAS_ROOT_ELEMENT",13,0.0006888413529480026,""
"DESCRIBES",11,0.0005828657601867714,""
"USES_LICENSE",9,0.0004768901674255403,""
"THROWS_GENERIC",5,0.00026493898190307793,""
"EXCLUDES",4,0.00021195118552246232,""
"INCLUDES_CONCEPT",4,0.00021195118552246232,""
"HAS_HEAD",2,0.00010597559276123116,""
"HAS_PROPERTY",2,0.00010597559276123116,""
"HAS_BRANCH",1,5.298779638061558e-05,""
