"projectName","shortCodeUnitName","codeUnitName","betweenness","rank","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/labels/AnomalyDetectionArchetypeBottleneck.cypher"
"axon-messaging-5.0.2","annotation","org.axonframework.messaging.core.annotation",1120.071428571429,1,""
"axon-messaging-5.0.2","core","org.axonframework.messaging.core",980.4785714285713,2,""
"axon-messaging-5.0.2","unitofwork","org.axonframework.messaging.core.unitofwork",372.60952380952375,3,""
"axon-messaging-5.0.2","conversion","org.axonframework.messaging.core.conversion",332.69047619047626,4,""
"axon-messaging-5.0.2","annotation","org.axonframework.messaging.eventhandling.annotation",326.9126984126983,5,""
"axon-server-connector-5.0.2","connector","org.axonframework.axonserver.connector",316.5,6,""
"axon-messaging-5.0.2","annotation","org.axonframework.messaging.commandhandling.annotation",313.99206349206355,7,""
"axon-messaging-5.0.2","configuration","org.axonframework.messaging.eventhandling.configuration",179,8,""
"axon-server-connector-5.0.2","event","org.axonframework.axonserver.connector.event",168,9,""
"axon-messaging-5.0.2","annotation","org.axonframework.messaging.queryhandling.annotation",166.547619047619,10,""
