"codeUnitName","shortCodeUnitName","nodeElementId","projectName","incomingDependencies","outgoingDependencies","communityId","clusteringCoefficient","articleRank","pageRank","pageToArticleRankDifference","betweenness","clusteringLabel","clusteringProbability","clusteringIsNoise","clusteringIsMedoid","clusteringSize","clusteringRadiusMax","clusteringRadiusAverage","clusteringNormalizedDistanceToMedoid","anomalyLabel","anomalyScore","anomalyTopFeature1","anomalyTopFeature2","anomalyTopFeature3","anomalyTopFeatureSHAPValue1","anomalyTopFeatureSHAPValue2","anomalyTopFeatureSHAPValue3","visualizationX","visualizationY","Source Cypher File: domains/anomaly-detection/features/AnomalyDetectionFeatures.cypher"
"org.axonframework.test","test","4:955e2a79-8311-4d09-a82d-b43e7249a63e:19","axon-test-5.0.3",8,13,0,0.6,0.2531991580501356,0.2741786931818182,0.020979535131682603,12.833333333333332,3,1,0,0,4,2.1586472989292815,1.0869946261809673,0.47669684428127146,0,-0.05896908431374959,"","","",0,0,0,-2.8060495853424072,4.042738437652588,""
"org.axonframework.test.fixture","fixture","4:955e2a79-8311-4d09-a82d-b43e7249a63e:20","axon-test-5.0.3",134,1079,0,0.4583333333333333,0.1699391833188532,0.17390625000000004,0.0039670666811468525,41.5,3,1,0,0,4,2.1586472989292815,1.0869946261809673,1,0,-0.0362052900393075,"","","",0,0,0,-3.0627262592315674,3.9886937141418457,""
"org.axonframework.test.extension","extension","4:955e2a79-8311-4d09-a82d-b43e7249a63e:21","axon-test-5.0.3",5,11,0,0.8333333333333334,0.15000000000000002,0.15000000000000002,0,0,3,1,0,0,4,2.1586472989292815,1.0869946261809673,0.5375175699403227,0,-0.062094469714800815,"","","",0,0,0,-2.87079119682312,3.9379374980926514,""
"org.axonframework.test.util","util","4:955e2a79-8311-4d09-a82d-b43e7249a63e:22","axon-test-5.0.3",23,164,1,0.7142857142857143,0.1527466006494253,0.1528984375,0.0001518368505747103,4,8,0.811981674843894,0,0,52,6.78860524110496,4.018712130048348,0.9543398844547993,0,-0.08851333956604557,"","","",0,0,0,-3.121628761291504,7.817172527313232,""
"org.axonframework.test.server","server","4:955e2a79-8311-4d09-a82d-b43e7249a63e:23","axon-test-5.0.3",3,2,2,0,0.22122690362001854,0.2779499204545455,0.056723016834526935,1,-1,0,1,0,10,0,0,0,0,-0.0025269799710827545,"","","",0,0,0,-3.9265687465667725,3.028505802154541,""
"org.axonframework.test.matchers","matchers","4:955e2a79-8311-4d09-a82d-b43e7249a63e:24","axon-test-5.0.3",35,47,0,0.7333333333333333,0.16510630357183914,0.16594140625000003,0.0008351026781608928,1,3,1,0,1,4,2.1586472989292815,1.0869946261809673,0,0,-0.0762484328825298,"","","",0,0,0,-3.039503574371338,4.260334014892578,""
"org.axonframework.messaging.monitoring","monitoring","4:955e2a79-8311-4d09-a82d-b43e7249a63e:4059","axon-messaging-5.0.3",81,22,3,0.5272727272727272,0.2699275374723979,0.2955844862911696,0.02565694881877173,57,2,1,0,0,4,7.559338549152017,4.066899791709147,0.425234997822896,0,-0.03807197673467122,"","","",0,0,0,-0.9426430463790894,5.889327526092529,""
"org.axonframework.messaging.monitoring.interception","interception","4:955e2a79-8311-4d09-a82d-b43e7249a63e:4060","axon-messaging-5.0.3",5,500,3,0.7142857142857143,0.15753197437236316,0.15794510574968723,0.0004131313773240719,0,-1,0,1,0,10,0,0,0,0,-0.04420020078250725,"","","",0,0,0,-1.5032762289047241,6.903553009033203,""
"org.axonframework.messaging.monitoring.configuration","configuration","4:955e2a79-8311-4d09-a82d-b43e7249a63e:4061","axon-messaging-5.0.3",21,439,3,0.6515151515151515,0.17606616512731663,0.1808301663710351,0.00476400124371848,4,-1,0,1,0,10,0,0,0,0,-0.050395603018802526,"","","",0,0,0,-1.3078562021255493,6.128587245941162,""
"org.axonframework.messaging.commandhandling","commandhandling","4:955e2a79-8311-4d09-a82d-b43e7249a63e:4062","axon-messaging-5.0.3",1497,297,1,0.27741935483870966,0.561808425657812,0.645549239269581,0.083740813611769,21.666666666666664,8,0.811981674843894,0,0,52,6.78860524110496,4.018712130048348,0.8089241624108134,0,-0.010702367245718936,"","","",0,0,0,-3.4276485443115234,7.830509185791016,""
"org.axonframework.messaging.commandhandling.distributed","distributed","4:955e2a79-8311-4d09-a82d-b43e7249a63e:4063","axon-messaging-5.0.3",31,322,1,0.5757575757575758,0.16421554020870177,0.16719760443046192,0.0029820642217601445,18,5,1,0,1,4,4.396287520416081,2.9200827786698937,0,0,-0.08583199611790193,"","","",0,0,0,-1.174590826034546,7.951431751251221,""
"org.axonframework.messaging.commandhandling.annotation","annotation","4:955e2a79-8311-4d09-a82d-b43e7249a63e:4064","axon-messaging-5.0.3",13,437,4,0.580952380952381,0.16321041899293512,0.16636068976170518,0.003150270768770058,222.5833333333333,8,1,0,0,52,6.78860524110496,4.018712130048348,0.35098958429232796,0,-0.06930782587583523,"","","",0,0,0,-3.8184218406677246,8.937052726745605,""
