"codeUnitName","shortCodeUnitName","nodeElementId","projectName","incomingDependencies","outgoingDependencies","communityId","clusteringCoefficient","articleRank","pageRank","pageToArticleRankDifference","betweenness","clusteringLabel","clusteringProbability","clusteringIsNoise","clusteringIsMedoid","clusteringSize","clusteringRadiusMax","clusteringRadiusAverage","clusteringNormalizedDistanceToMedoid","anomalyLabel","anomalyScore","anomalyTopFeature1","anomalyTopFeature2","anomalyTopFeature3","anomalyTopFeatureSHAPValue1","anomalyTopFeatureSHAPValue2","anomalyTopFeatureSHAPValue3","visualizationX","visualizationY","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/features/AnomalyDetectionFeatures.cypher"
"org.axonframework.config","config","4:e95ea38d-7f1a-452d-b267-884c793adef7:550","axon-configuration-4.12.1",428,10010,0,0.20584415584415586,0.2682778176233569,0.3342055654642967,0.0659277478409398,469.8333333333333,-1,0,1,0,22,0,0,0,1,3.283949252741447e-05,"betweenness","degree","locallusteringCoefficient",-0.1718321118364105,-0.1521956369973073,-0.10908608881724045,9.254658699035645,9.532248497009277,""
"org.axonframework.actuator","actuator","4:e95ea38d-7f1a-452d-b267-884c793adef7:4582","axon-spring-boot-autoconfigure-4.12.1",2,0,1,0,0.1724482200175667,0.20137483082706772,0.028926610809501013,0,4,0.5905343368266227,0,0,11,6.555703781545162,4.186637600629845,0.8806867587370844,0,-0.03572635024394616,"","","",0,0,0,14.748586654663086,9.721303939819336,""
"org.axonframework.actuator.axonserver","axonserver","4:e95ea38d-7f1a-452d-b267-884c793adef7:4583","axon-spring-boot-autoconfigure-4.12.1",2,3,1,0.3333333333333333,0.15108532394176008,0.15110244360902259,1.7119667262505134e-05,2,4,1,0,0,11,6.555703781545162,4.186637600629845,0.35447339422297314,0,-0.10321285199571822,"","","",0,0,0,14.5728120803833,9.590107917785645,""
"org.axonframework.springboot","springboot","4:e95ea38d-7f1a-452d-b267-884c793adef7:4584","axon-spring-boot-autoconfigure-4.12.1",67,28,1,0.7,0.26114822510362395,0.314914202172097,0.053765977068473025,1,4,1,0,0,11,6.555703781545162,4.186637600629845,0.40659959804460793,0,-0.06383116638405478,"","","",0,0,0,14.700736999511719,9.314607620239258,""
"org.axonframework.springboot.service.connection","connection","4:e95ea38d-7f1a-452d-b267-884c793adef7:4586","axon-spring-boot-autoconfigure-4.12.1",7,8,1,0.3333333333333333,0.1506201851095772,0.15062996777658433,9.78266700712993e-06,15,4,1,0,0,11,6.555703781545162,4.186637600629845,0.5748144481518314,0,-0.023912556747058,"","","",0,0,0,14.151156425476074,9.626517295837402,""
"org.axonframework.springboot.autoconfig","autoconfig","4:e95ea38d-7f1a-452d-b267-884c793adef7:4587","axon-spring-boot-autoconfigure-4.12.1",68,6473,1,0.17556848228450556,0.16205832129252595,0.16342105263157897,0.0013627313390530138,34,4,0.5905343368266227,0,0,11,6.555703781545162,4.186637600629845,0.7598091751788348,0,-0.038957617976798975,"","","",0,0,0,14.485198020935059,9.278738021850586,""
"org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa","4:e95ea38d-7f1a-452d-b267-884c793adef7:4588","axon-spring-boot-autoconfigure-4.12.1",1,297,1,0.33986928104575165,0.15000000000000002,0.15000000000000002,0,0,4,0.5511108777386113,0,0,11,6.555703781545162,4.186637600629845,1,0,-0.056501803674221474,"","","",0,0,0,14.303727149963379,8.85431957244873,""
"org.axonframework.springboot.util","util","4:e95ea38d-7f1a-452d-b267-884c793adef7:4589","axon-spring-boot-autoconfigure-4.12.1",20,61,1,0.8,0.16268438779280794,0.16386157357679917,0.0011771857839912303,6,4,0.5905343368266227,0,0,11,6.555703781545162,4.186637600629845,0.8524747420695825,0,-0.02456186307271474,"","","",0,0,0,14.74305534362793,8.845758438110352,""
"org.axonframework.springboot.util.legacyjpa","legacyjpa","4:e95ea38d-7f1a-452d-b267-884c793adef7:4590","axon-spring-boot-autoconfigure-4.12.1",1,1,1,1,0.154019440430842,0.15447368421052635,0.00045424377968433793,0,4,0.5511108777386113,0,0,11,6.555703781545162,4.186637600629845,0.9619287134924077,0,-0.016051064738432097,"","","",0,0,0,14.477311134338379,8.981745719909668,""
"org.axonframework.springboot.util.jpa","jpa","4:e95ea38d-7f1a-452d-b267-884c793adef7:4591","axon-spring-boot-autoconfigure-4.12.1",1,1,1,1,0.1503100925547886,0.15031498388829218,4.891333503564965e-06,1.1666666666666665,4,1,0,0,11,6.555703781545162,4.186637600629845,0.2811357920838225,0,-0.08446128541685571,"","","",0,0,0,14.74855899810791,9.677422523498535,""
