"projectName","shortCodeUnitName","codeUnitName","clusteringNormalizedDistanceToMedoid","clusterApproximateOutlierScore","rank","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionArchetypeOutlier.cypher"
"axon-common-5.1.1","Assert","org.axonframework.common.Assert",1,0.9457126056737618,1,""
"axon-common-5.1.1","ComponentRegistry","org.axonframework.common.configuration.ComponentRegistry",1,0.8870508659398988,2,""
"axon-conversion-5.1.1","GenericRecordToByteArrayConverter","org.axonframework.conversion.avro.GenericRecordToByteArrayConverter",1,0.784074401215394,3,""
"axon-messaging-5.1.1","DefaultDispatchInterceptorRegistry$GenericInterceptorDefinition","org.axonframework.messaging.core.interception.DefaultDispatchInterceptorRegistry$GenericInterceptorDefinition",1,0.7618733199188563,4,""
"axon-messaging-5.1.1","TokenEntry$PK","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa.TokenEntry$PK",1,0.7483647866856025,5,""
"axon-messaging-5.1.1","MessageHandlerInvocationException","org.axonframework.messaging.core.annotation.MessageHandlerInvocationException",1,0.7352787605814105,6,""
"axon-server-connector-5.1.1","AxonServerEventStorageEngine","io.axoniq.framework.axonserver.connector.event.AxonServerEventStorageEngine",1,0.7221402797687807,7,""
"axon-modelling-5.1.1","TargetEntityId","org.axonframework.modelling.annotation.TargetEntityId",1,0.7152943782719878,8,""
"axon-messaging-5.1.1","RemoteNonTransientHandlingException","org.axonframework.messaging.core.RemoteNonTransientHandlingException",0.9782824054083672,0.6911349606600767,9,""
"axon-common-5.1.1","ObjectUtils","org.axonframework.common.ObjectUtils",0.9580222666351892,0.9433506470298403,10,""
