"codeUnitName","shortCodeUnitName","projectName","betweenness","pageRank","degree","incomingDependencies","outgoingDependencies","Source Cypher File: /home/runner/work/code-graph-analysis-examples/code-graph-analysis-examples/domains/anomaly-detection/queries/AnomalyDetectionPopularBottlenecks.cypher"
"org.axonframework.common.TypeReference","TypeReference","axon-common-5.0.0",1362,34.52780004088889,43,41,2,""
"org.axonframework.messaging.core.Message","Message","axon-messaging-5.0.0",9915.865223665227,18.19172582872557,220,214,6,""
"org.axonframework.messaging.core.unitofwork.ProcessingContext","ProcessingContext","axon-messaging-5.0.0",6666.769047619047,17.113742408838338,234,229,5,""
"org.axonframework.common.infra.DescribableComponent","DescribableComponent","axon-common-5.0.0",652.25,12.01080067857645,46,45,1,""
"org.axonframework.conversion.Converter","Converter","axon-conversion-5.0.0",782,10.54906565802403,38,37,1,""
"org.axonframework.messaging.core.Context","Context","axon-messaging-5.0.0",2025.1833333333338,8.116275580422073,28,24,4,""
"org.axonframework.messaging.core.Metadata","Metadata","axon-messaging-5.0.0",642,8.054358853740242,39,38,1,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","axon-common-5.0.0",591.1333333333336,6.467702600102895,16,15,1,""
"org.axonframework.messaging.eventhandling.EventMessage","EventMessage","axon-messaging-5.0.0",2006.4198412698413,5.658331412233275,139,136,3,""
"org.axonframework.messaging.core.MessageStream","MessageStream","axon-messaging-5.0.0",9548.700162908988,5.380291146908105,153,132,21,""
"org.axonframework.messaging.core.QualifiedName","QualifiedName","axon-messaging-5.0.0",4751.992908072321,4.241419731578891,71,68,3,""
"org.axonframework.messaging.commandhandling.CommandMessage","CommandMessage","axon-messaging-5.0.0",742.945238095238,3.3067429354499467,73,70,3,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","axon-common-5.0.0",1108.65,2.929238871037699,24,23,1,""
"org.axonframework.messaging.core.annotation.MessageHandlingMember","MessageHandlingMember","axon-messaging-5.0.0",1178.8333333333333,2.580873299971695,42,38,4,""
"org.axonframework.messaging.commandhandling.CommandResultMessage","CommandResultMessage","axon-messaging-5.0.0",627.35,2.3912660902420617,41,37,4,""
"org.axonframework.messaging.core.annotation.ParameterResolver","ParameterResolver","axon-messaging-5.0.0",410.8666666666667,2.3326437200175176,48,47,1,""
"org.axonframework.messaging.eventstreaming.EventCriteria","EventCriteria","axon-messaging-5.0.0",1385.5277777777778,2.305260124957789,36,28,8,""
"org.axonframework.messaging.core.MessageStream$Single","MessageStream$Single","axon-messaging-5.0.0",1357.544047619048,2.2816238444295167,53,45,8,""
"org.axonframework.messaging.core.MessageType","MessageType","axon-messaging-5.0.0",4154.451031321621,2.121175085319136,57,54,3,""
"org.axonframework.messaging.core.unitofwork.ProcessingLifecycle","ProcessingLifecycle","axon-messaging-5.0.0",2288.819047619054,1.8004936221521912,14,9,5,""
