"projectName","shortCodeUnitName","codeUnitName","anomalyRank","anomalyScore","bridgeRank","outlierRank","degreeRank","topFeature1","topFeature2","topFeature3","topFeature1Score","topFeature2Score","topFeature3Score","Source Cypher File: domains/anomaly-detection/labels/AnomalyDetectionTopAnomalies.cypher"
"axon-messaging-5.1.1","Message","org.axonframework.messaging.core.Message",1,0.11422407538708007,0,0,44,"pageRank","pageToArticleRankDifference","articleRank",-0.23046297624532044,-0.15799566563959763,-0.15536321742411183,""
"axon-messaging-5.1.1","ProcessingContext","org.axonframework.messaging.core.unitofwork.ProcessingContext",2,0.1043449611676493,0,0,46,"pageRank","pageToArticleRankDifference","articleRank",-0.22571139513137742,-0.15927333842538,-0.15174494331919172,""
"axon-common-5.1.1","TypeReference","org.axonframework.common.TypeReference",3,0.09434843059746639,0,0,91,"pageRank","pageToArticleRankDifference","articleRank",-0.24804070748304793,-0.1777052949387464,-0.17121467280034544,""
"axon-messaging-5.1.1","MessageStream","org.axonframework.messaging.core.MessageStream",4,0.09012532316714156,0,0,63,"pageRank","articleRank","degree",-0.23481319242789556,-0.1726373368955689,-0.16137052327213533,""
"axon-messaging-5.1.1","Context$ResourceKey","org.axonframework.messaging.core.Context$ResourceKey",5,0.06737560188363839,0,0,86,"pageRank","pageToArticleRankDifference","articleRank",-0.23660693288744633,-0.16934570802709864,-0.16553437905069457,""
"axon-common-5.1.1","Internal","org.axonframework.common.annotation.Internal",6,0.06734898066382028,0,0,62,"pageRank","pageToArticleRankDifference","articleRank",-0.23116910693048962,-0.17315789617341432,-0.1709577795457887,""
"axon-messaging-5.1.1","EventCriteria","org.axonframework.messaging.eventstreaming.EventCriteria",7,0.06149326773017788,0,0,98,"articleRank","pageRank","pageToArticleRankDifference",-0.22723157576690828,-0.14861136945679135,-0.08145097260678211,""
"axon-messaging-5.1.1","QualifiedName","org.axonframework.messaging.core.QualifiedName",8,0.06072991260357813,0,0,80,"articleRank","pageRank","degree",-0.2000177431836962,-0.16769546227555057,-0.15040683073280176,""
"axon-conversion-5.1.1","Converter","org.axonframework.conversion.Converter",9,0.06068751754435192,0,0,87,"pageRank","articleRank","pageToArticleRankDifference",-0.23689330480595389,-0.16927507569291395,-0.1658979962616795,""
"axon-messaging-5.1.1","EventMessage","org.axonframework.messaging.eventhandling.EventMessage",10,0.05094084060583953,0,0,66,"pageRank","articleRank","incomingDependencies",-0.23993279673693216,-0.1863099630200573,-0.16284746244634116,""
