"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionUnexpectedCentralNodes.cypher"
"org.axonframework.common.util","util","axon-common-5.1.2",95,9,6,3,""
"io.axoniq.framework.springboot.actuator.axonserver","axonserver","axoniq-spring-boot-autoconfigure-5.1.2",3,5,2,3,""
"org.axonframework.update.detection","detection","axon-update-5.1.2",1,9,4,5,""
"org.axonframework.common.digest","digest","axon-common-5.1.2",0,1,0,1,""
"org.axonframework.extension.metrics.micrometer.reservoir","reservoir","axon-metrics-micrometer-5.1.2",0,2,2,0,""
"org.axonframework.common.io","io","axon-common-5.1.2",0,2,2,0,""
"org.axonframework.update.common","common","axon-update-5.1.2",0,2,1,1,""
"io.axoniq.framework.springboot.actuator","actuator","axoniq-spring-boot-autoconfigure-5.1.2",0,2,2,0,""
"org.axonframework.eventsourcing.snapshot.inmemory","inmemory","axon-eventsourcing-5.1.2",0,3,0,3,""
"org.axonframework.common.function","function","axon-common-5.1.2",0,6,6,0,""
"org.axonframework.conversion.converter","converter","axon-conversion-5.1.2",0,7,0,7,""
"io.axoniq.framework.axonserver.connector.api.query","query","axon-server-connector-5.1.2",0,8,3,5,""
"io.axoniq.framework.axonserver.connector.api.command","command","axon-server-connector-5.1.2",0,8,3,5,""
"io.axoniq.framework.springboot.service.connection","connection","axoniq-spring-boot-autoconfigure-5.1.2",0,9,5,4,""
