"codeUnitName","shortCodeUnitName","projectName","betweenness","degree","incomingDependencies","outgoingDependencies","Source Cypher File: domains/archetypes/queries/AnomalyDetectionSilentCoordinators.cypher"
"org.axonframework.eventsourcing.eventstore.MetadataBasedTagResolver","MetadataBasedTagResolver","axon-eventsourcing-5.1.1",0,4,0,4,""
"org.axonframework.eventsourcing.eventstore.PayloadBasedTagResolver","PayloadBasedTagResolver","axon-eventsourcing-5.1.1",0,3,0,3,""
"org.axonframework.eventsourcing.eventstore.ConsistencyMarkers","ConsistencyMarkers","axon-eventsourcing-5.1.1",0,2,0,2,""
"org.axonframework.eventsourcing.eventstore.jpa.SQLErrorCodesResolver","SQLErrorCodesResolver","axon-eventsourcing-5.1.1",0,4,0,4,""
"org.axonframework.eventsourcing.eventstore.jpa.SQLStateResolver","SQLStateResolver","axon-eventsourcing-5.1.1",0,2,0,2,""
"org.axonframework.eventsourcing.eventstore.MultiTagResolver","MultiTagResolver","axon-eventsourcing-5.1.1",0,3,0,3,""
"org.axonframework.eventsourcing.annotation.EventSourcingHandler","EventSourcingHandler","axon-eventsourcing-5.1.1",0,1,0,1,""
"org.axonframework.eventsourcing.configuration.EventSourcingConfigurer","EventSourcingConfigurer","axon-eventsourcing-5.1.1",0,15,0,15,""
"org.axonframework.update.UpdateCheckerConfigurationEnhancer","UpdateCheckerConfigurationEnhancer","axon-update-5.1.1",0,13,0,13,""
"io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration","AxonServerActuatorAutoConfiguration","axoniq-spring-boot-autoconfigure-5.1.1",0,4,0,4,""
"io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration","JpaDeadLetterQueueAutoConfiguration","axoniq-spring-boot-autoconfigure-5.1.1",0,4,0,4,""
"io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration","JdbcDeadLetterQueueAutoConfiguration","axoniq-spring-boot-autoconfigure-5.1.1",0,4,0,4,""
"io.axoniq.framework.springboot.autoconfig.DeadLetterQueueAutoConfiguration","DeadLetterQueueAutoConfiguration","axoniq-spring-boot-autoconfigure-5.1.1",0,7,0,7,""
"io.axoniq.framework.springboot.service.connection.AxonServerTestContainerConnectionDetailsFactory","AxonServerTestContainerConnectionDetailsFactory","axoniq-spring-boot-autoconfigure-5.1.1",0,2,0,2,""
"io.axoniq.framework.springboot.service.connection.AxonServerDockerComposeConnectionDetailsFactory","AxonServerDockerComposeConnectionDetailsFactory","axoniq-spring-boot-autoconfigure-5.1.1",0,1,0,1,""
"org.axonframework.common.property.UniformPropertyAccessStrategy","UniformPropertyAccessStrategy","axon-common-5.1.1",0,1,0,1,""
"org.axonframework.common.property.DirectPropertyAccessStrategy","DirectPropertyAccessStrategy","axon-common-5.1.1",0,3,0,3,""
"org.axonframework.common.property.BeanPropertyAccessStrategy","BeanPropertyAccessStrategy","axon-common-5.1.1",0,1,0,1,""
"org.axonframework.common.digest.Digester","Digester","axon-common-5.1.1",0,1,0,1,""
"org.axonframework.eventsourcing.snapshot.inmemory.InMemorySnapshotStore","InMemorySnapshotStore","axon-eventsourcing-5.1.1",0,3,0,3,""
