"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"org.axonframework.common","common","centralityArticleRank",0.7274457844294918,""
"org.axonframework.messaging","messaging","centralityArticleRank",0.4541181212980247,""
"org.axonframework.eventhandling","eventhandling","centralityArticleRank",0.2703184778209204,""
"org.axonframework.serialization","serialization","centralityArticleRank",0.25662246937502364,""
"org.axonframework.messaging.unitofwork","unitofwork","centralityArticleRank",0.14587278783996968,""
"org.axonframework.messaging.annotation","annotation","centralityArticleRank",0.12764334844304842,""
"org.axonframework.commandhandling","commandhandling","centralityArticleRank",0.08260606199247097,""
"org.axonframework.axonserver.connector","connector","centralityArticleRank",0.08027050145567467,""
"org.axonframework.modelling.saga","saga","centralityArticleRank",0.06544300884857157,""
"org.axonframework.tracing","tracing","centralityArticleRank",0.06121906588417412,""
"org.axonframework.queryhandling","queryhandling","centralityArticleRank",0.061017601501070814,""
"org.axonframework.eventhandling.tokenstore","tokenstore","centralityArticleRank",0.052187593460646976,""
"org.axonframework.eventsourcing.eventstore","eventstore","centralityArticleRank",0.048297730426505085,""
"org.axonframework.modelling.command","command","centralityArticleRank",0.046082032505644736,""
"org.axonframework.common.transaction","transaction","centralityArticleRank",0.04477100002967509,""
"org.axonframework.messaging.timeout","timeout","centralityArticleRank",0.040796345851324446,""
"org.axonframework.deadline","deadline","centralityArticleRank",0.040211232481732306,""
"org.axonframework.common.jdbc","jdbc","centralityArticleRank",0.039035219900563384,""
"org.axonframework.common.annotation","annotation","centralityArticleRank",0.038273962809139826,""
"org.axonframework.test","test","centralityArticleRank",0.03492937380216757,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc","centralityArticleRank",0.03347203464066581,""
"org.axonframework.messaging.deadletter","deadletter","centralityArticleRank",0.03315966640576254,""
"org.axonframework.common.io","io","centralityArticleRank",0.03261657134397534,""
"org.axonframework.axonserver.connector.util","util","centralityArticleRank",0.03231955079763616,""
"org.axonframework.monitoring","monitoring","centralityArticleRank",0.03231642941420265,""
"org.axonframework.config","config","centralityArticleRank",0.032081376039627116,""
"org.axonframework.springboot","springboot","centralityArticleRank",0.03163836301977174,""
"org.axonframework.modelling.command.inspection","inspection","centralityArticleRank",0.028975513344813585,""
"org.axonframework.commandhandling.distributed","distributed","centralityArticleRank",0.02892432048129036,""
"org.axonframework.lifecycle","lifecycle","centralityArticleRank",0.028747999885073174,""
"org.axonframework.util","util","centralityArticleRank",0.028087364307371954,""
"org.axonframework.axonserver.connector.event.axon","axon","centralityArticleRank",0.02760009594477204,""
"org.axonframework.common.stream","stream","centralityArticleRank",0.026474285117795905,""
"org.axonframework.modelling.saga.metamodel","metamodel","centralityArticleRank",0.026252004203798897,""
"org.axonframework.test.matchers","matchers","centralityArticleRank",0.025971704795896573,""
"org.axonframework.serialization.upcasting.event","event","centralityArticleRank",0.025922549543514348,""
"org.axonframework.messaging.responsetypes","responsetypes","centralityArticleRank",0.02586714609666836,""
"org.axonframework.test.server","server","centralityArticleRank",0.025604201446983114,""
"org.axonframework.axonserver.connector.query","query","centralityArticleRank",0.025512522628010202,""
"org.axonframework.eventsourcing","eventsourcing","centralityArticleRank",0.025234683926331054,""
"org.axonframework.axonserver.connector.command","command","centralityArticleRank",0.025126424953161017,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa","centralityArticleRank",0.025111377230014404,""
"org.axonframework.eventhandling.deadletter.jpa","jpa","centralityArticleRank",0.025005467071564865,""
"org.axonframework.modelling.saga.repository.jpa","jpa","centralityArticleRank",0.024757680965631426,""
"org.axonframework.eventhandling.scheduling","scheduling","centralityArticleRank",0.02359757943343896,""
"org.axonframework.messaging.interceptors","interceptors","centralityArticleRank",0.02265109369192603,""
"org.axonframework.commandhandling.callbacks","callbacks","centralityArticleRank",0.022488436679542128,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements","centralityArticleRank",0.022432974607929174,""
"org.axonframework.common.jpa","jpa","centralityArticleRank",0.022159357358522237,""
"org.axonframework.serialization.upcasting","upcasting","centralityArticleRank",0.021880350408354433,""
"org.axonframework.common.lock","lock","centralityArticleRank",0.02171585017447599,""
"org.axonframework.axonserver.connector.event.util","util","centralityArticleRank",0.021518263708120784,""
"org.axonframework.messaging.correlation","correlation","centralityArticleRank",0.02141251123879344,""
"org.axonframework.common.legacyjpa","legacyjpa","centralityArticleRank",0.021205313639497073,""
"org.axonframework.modelling.saga.repository","repository","centralityArticleRank",0.021185805029501313,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa","centralityArticleRank",0.021034740284047067,""
"org.axonframework.serialization.xml","xml","centralityArticleRank",0.02089784037444992,""
"org.axonframework.actuator","actuator","centralityArticleRank",0.020813098383241888,""
"org.axonframework.test.deadline","deadline","centralityArticleRank",0.020545917600706336,""
"org.axonframework.common.property","property","centralityArticleRank",0.020360451248224696,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter","centralityArticleRank",0.020166582858309908,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa","centralityArticleRank",0.02006502577497327,""
"org.axonframework.eventhandling.async","async","centralityArticleRank",0.019830636428175896,""
"org.axonframework.eventhandling.pooled","pooled","centralityArticleRank",0.01979070463938638,""
"org.axonframework.springboot.util","util","centralityArticleRank",0.019668829781735786,""
"org.axonframework.eventsourcing.snapshotting","snapshotting","centralityArticleRank",0.019646453513621844,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa","centralityArticleRank",0.01958016852043637,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa","centralityArticleRank",0.01958016852043637,""
"org.axonframework.springboot.autoconfig","autoconfig","centralityArticleRank",0.01958016852043637,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa","centralityArticleRank",0.019526084534043982,""
"org.axonframework.commandhandling.gateway","gateway","centralityArticleRank",0.019493827243149953,""
"org.axonframework.axonserver.connector.heartbeat","heartbeat","centralityArticleRank",0.019459316040574187,""
"org.axonframework.common.caching","caching","centralityArticleRank",0.019369627319497235,""
"org.axonframework.eventhandling.deadletter","deadletter","centralityArticleRank",0.01929732389624151,""
"org.axonframework.test.eventscheduler","eventscheduler","centralityArticleRank",0.019198193086647428,""
"org.axonframework.eventhandling.replay","replay","centralityArticleRank",0.01887269289586865,""
"org.axonframework.axonserver.connector.query.subscription","subscription","centralityArticleRank",0.018849434818192918,""
"org.axonframework.test.utils","utils","centralityArticleRank",0.018840660976706846,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory","centralityArticleRank",0.018768257850416612,""
"org.axonframework.eventhandling.scheduling.java","java","centralityArticleRank",0.01876736861146349,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory","centralityArticleRank",0.01876445751714366,""
