"codeUnitName","shortCodeUnitName","centralityHyperlinkInducedTopicSearchAuthority","centralityHyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9d_Hyperlink_Induced_Topic_Search_HITS_Stream_Mutated.cypher"
"org.axonframework.common","common",0.49662104811527463,0.49662104811527463,1062,23,""
"org.axonframework.messaging","messaging",0.40331571793096005,0.40331571793096005,10051,133,""
"org.axonframework.eventhandling","eventhandling",0.33161516111162026,0.33161516111162026,6120,1563,""
"org.axonframework.messaging.unitofwork","unitofwork",0.26085597694732265,0.26085597694732265,260,123,""
"org.axonframework.serialization","serialization",0.25742284502923307,0.25742284502923307,1771,176,""
"org.axonframework.common.transaction","transaction",0.22863100465328864,0.22863100465328864,368,6,""
"org.axonframework.tracing","tracing",0.18663331548630832,0.18663331548630832,635,122,""
"org.axonframework.messaging.annotation","annotation",0.17894305740231983,0.17894305740231983,1111,299,""
"org.axonframework.lifecycle","lifecycle",0.16592921834053034,0.16592921834053034,101,10,""
"org.axonframework.commandhandling","commandhandling",0.1479630089544371,0.1479630089544371,1945,691,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.11495665335489218,0.11495665335489218,205,613,""
"org.axonframework.deadline","deadline",0.1091361822103147,0.1091361822103147,256,338,""
"org.axonframework.modelling.command","command",0.10379517910841123,0.10379517910841123,276,847,""
"org.axonframework.queryhandling","queryhandling",0.09564281451223292,0.09564281451223292,436,1141,""
"org.axonframework.common.jdbc","jdbc",0.09403970210737553,0.09403970210737553,73,56,""
"org.axonframework.serialization.upcasting.event","event",0.09337442749694363,0.09337442749694363,45,188,""
"org.axonframework.monitoring","monitoring",0.09099028710289554,0.09099028710289554,199,21,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.0858341361309217,0.0858341361309217,83,42,""
"org.axonframework.serialization.xml","xml",0.08075579558415337,0.08075579558415337,22,28,""
"org.axonframework.eventhandling.scheduling","scheduling",0.07896929232567054,0.07896929232567054,25,2,""
"org.axonframework.eventsourcing","eventsourcing",0.06999768690034257,0.06999768690034257,148,1009,""
"org.axonframework.messaging.deadletter","deadletter",0.06623831405834402,0.06623831405834402,206,105,""
"org.axonframework.common.annotation","annotation",0.06518213356308059,0.06518213356308059,22,3,""
"org.axonframework.common.jpa","jpa",0.06329696146794098,0.06329696146794098,19,6,""
"org.axonframework.modelling.saga","saga",0.06275753715167995,0.06275753715167995,263,432,""
"org.axonframework.common.stream","stream",0.059346292051247355,0.059346292051247355,33,5,""
"org.axonframework.modelling.saga.repository","repository",0.05777094113349935,0.05777094113349935,81,231,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.05758719771677941,0.05758719771677941,29,17,""
"org.axonframework.modelling.command.inspection","inspection",0.05746455503504553,0.05746455503504553,82,793,""
"org.axonframework.axonserver.connector","connector",0.056017304821536336,0.056017304821536336,122,721,""
"org.axonframework.messaging.interceptors","interceptors",0.054677771546646964,0.054677771546646964,12,119,""
"org.axonframework.common.io","io",0.054222867062617607,0.054222867062617607,10,0,""
"org.axonframework.eventhandling.async","async",0.05370656053018026,0.05370656053018026,52,87,""
"org.axonframework.common.lock","lock",0.050796077225015085,0.050796077225015085,46,25,""
"org.axonframework.config","config",0.047481755374534876,0.047481755374534876,425,9977,""
"org.axonframework.messaging.correlation","correlation",0.043215525851129095,0.043215525851129095,32,14,""
"org.axonframework.commandhandling.gateway","gateway",0.04111855292887839,0.04111855292887839,101,443,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.04090735661162523,0.04090735661162523,12,236,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.04083578655024257,0.04083578655024257,14,86,""
"org.axonframework.axonserver.connector.util","util",0.03965874999339391,0.03965874999339391,76,93,""
"org.axonframework.common.caching","caching",0.038928318439440356,0.038928318439440356,37,49,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.03769373693479303,0.03769373693479303,11,119,""
"org.axonframework.eventhandling.pooled","pooled",0.03665618856549184,0.03665618856549184,62,962,""
"org.axonframework.util","util",0.03399756781321305,0.03399756781321305,5,6,""
"org.axonframework.commandhandling.callbacks","callbacks",0.03389229851260399,0.03389229851260399,9,39,""
"org.axonframework.eventhandling.deadletter","deadletter",0.03324554694061248,0.03324554694061248,11,391,""
"org.axonframework.eventhandling.gateway","gateway",0.03324554694061248,0.03324554694061248,15,52,""
"org.axonframework.common.legacyjpa","legacyjpa",0.03263507102922661,0.03263507102922661,17,6,""
"org.axonframework.commandhandling.distributed","distributed",0.03218120681593428,0.03218120681593428,58,738,""
"org.axonframework.axonserver.connector.command","command",0.03147512146012568,0.03147512146012568,27,932,""
"org.axonframework.axonserver.connector.query","query",0.030825143953429095,0.030825143953429095,49,1544,""
"org.axonframework.test","test",0.029608425274985452,0.029608425274985452,16,13,""
"org.axonframework.messaging.responsetypes","responsetypes",0.02948697980425643,0.02948697980425643,107,65,""
"org.axonframework.common.property","property",0.027471770802728626,0.027471770802728626,24,15,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.025651538387318734,0.025651538387318734,3,25,""
"org.axonframework.axonserver.connector.event.util","util",0.02557660047666735,0.02557660047666735,6,3,""
"org.axonframework.axonserver.connector.event.axon","axon",0.02501802510568057,0.02501802510568057,82,1178,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.024812536099391234,0.024812536099391234,5,15,""
"org.axonframework.deadline.jobrunr","jobrunr",0.02435731149519414,0.02435731149519414,7,419,""
"org.axonframework.springboot","springboot",0.022965178130583803,0.022965178130583803,67,28,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.02289462945290906,0.02289462945290906,27,317,""
"org.axonframework.springboot.util","util",0.021287732252748867,0.021287732252748867,20,61,""
"org.axonframework.test.matchers","matchers",0.02120530889738042,0.02120530889738042,61,51,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.020267430890488554,0.020267430890488554,235,1340,""
"org.axonframework.disruptor.commandhandling","commandhandling",0.016939530111125322,0.016939530111125322,55,1453,""
"org.axonframework.queryhandling.annotation","annotation",0.016939530111125322,0.016939530111125322,4,199,""
"org.axonframework.messaging.timeout","timeout",0.016535325166347353,0.016535325166347353,14,67,""
"org.axonframework.test.deadline","deadline",0.016474426137913042,0.016474426137913042,10,138,""
"org.axonframework.actuator.axonserver","axonserver",0.016306016829487156,0.016306016829487156,2,3,""
"org.axonframework.deadline.dbscheduler","dbscheduler",0.016306016829487156,0.016306016829487156,10,488,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",0.016306016829487156,0.016306016829487156,37,560,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0.016306016829487156,0.016306016829487156,10,214,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.016306016829487156,0.016306016829487156,5,209,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.016306016829487156,0.016306016829487156,19,195,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.016306016829487156,0.016306016829487156,20,118,""
"org.axonframework.serialization.avro","avro",0.016306016829487156,0.016306016829487156,26,136,""
"org.axonframework.serialization.json","json",0.016306016829487156,0.016306016829487156,9,87,""
"org.axonframework.springboot.service.connection","connection",0.016306016829487156,0.016306016829487156,7,8,""
"org.axonframework.springboot.util.jpa","jpa",0.016306016829487156,0.016306016829487156,1,1,""
"org.axonframework.tracing.attributes","attributes",0.016306016829487156,0.016306016829487156,6,43,""
"org.axonframework.tracing.opentelemetry","opentelemetry",0.016306016829487156,0.016306016829487156,7,37,""
"org.axonframework.common.digest","digest",0.014298527464530341,0.014298527464530341,2,1,""
"org.axonframework.axonserver.connector.processor","processor",0.011057473352725413,0.011057473352725413,4,109,""
"org.axonframework.eventhandling.scheduling.java","java",0.011057473352725413,0.011057473352725413,6,76,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.01007767271383469,0.01007767271383469,15,99,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.01002502921420654,0.01002502921420654,15,67,""
"org.axonframework.eventhandling.replay","replay",0.009403540236842377,0.009403540236842377,12,72,""
"org.axonframework.test.eventscheduler","eventscheduler",0.007873005988265912,0.007873005988265912,9,38,""
"org.axonframework.test.utils","utils",0.007873005988265912,0.007873005988265912,8,70,""
"org.axonframework.queryhandling.registration","registration",0.0069386444156552506,0.0069386444156552506,9,13,""
