"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"org.axonframework.common","common","centralityHarmonic",0.8067226890756303,""
"org.axonframework.common.annotation","annotation","centralityHarmonic",0.6855742296918768,""
"org.axonframework.messaging.core","core","centralityHarmonic",0.6638655462184874,""
"org.axonframework.messaging.core.unitofwork","unitofwork","centralityHarmonic",0.6218487394957983,""
"org.axonframework.common.infra","infra","centralityHarmonic",0.5784313725490197,""
"org.axonframework.common.configuration","configuration","centralityHarmonic",0.5350140056022409,""
"org.axonframework.messaging.eventhandling","eventhandling","centralityHarmonic",0.5112044817927172,""
"org.axonframework.conversion","conversion","centralityHarmonic",0.46638655462184875,""
"org.axonframework.messaging.core.annotation","annotation","centralityHarmonic",0.453781512605042,""
"org.axonframework.messaging.commandhandling","commandhandling","centralityHarmonic",0.40294117647058825,""
"org.axonframework.messaging.core.unitofwork.transaction","transaction","centralityHarmonic",0.3697478991596639,""
"org.axonframework.messaging.core.conversion","conversion","centralityHarmonic",0.36652661064425773,""
"org.axonframework.messaging.core.sequencing","sequencing","centralityHarmonic",0.3494397759103642,""
"org.axonframework.common.lifecycle","lifecycle","centralityHarmonic",0.3319327731092437,""
"org.axonframework.messaging.queryhandling","queryhandling","centralityHarmonic",0.3093837535014005,""
"org.axonframework.common.util","util","centralityHarmonic",0.30742296918767503,""
"org.axonframework.messaging.eventhandling.conversion","conversion","centralityHarmonic",0.3063025210084034,""
"org.axonframework.messaging.core.interception.annotation","annotation","centralityHarmonic",0.296218487394958,""
"org.axonframework.messaging.commandhandling.annotation","annotation","centralityHarmonic",0.2920168067226891,""
"org.axonframework.common.tx","tx","centralityHarmonic",0.29117647058823526,""
"org.axonframework.messaging.eventhandling.annotation","annotation","centralityHarmonic",0.2906162464985994,""
"org.axonframework.messaging.queryhandling.annotation","annotation","centralityHarmonic",0.28221288515406157,""
"org.axonframework.common.property","property","centralityHarmonic",0.26778711484593837,""
"org.axonframework.messaging.core.configuration.reflection","reflection","centralityHarmonic",0.24425770308123249,""
"org.axonframework.common.function","function","centralityHarmonic",0.2313725490196078,""
"org.axonframework.common.io","io","centralityHarmonic",0.2288515406162465,""
"org.axonframework.messaging.commandhandling.gateway","gateway","centralityHarmonic",0.22030812324929971,""
"org.axonframework.messaging.eventhandling.gateway","gateway","centralityHarmonic",0.21960784313725487,""
"org.axonframework.messaging.eventhandling.processing.streaming.token","token","centralityHarmonic",0.1939775910364146,""
"org.axonframework.messaging.eventstreaming","eventstreaming","centralityHarmonic",0.1253501400560224,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting","centralityHarmonic",0.12114845938375352,""
"org.axonframework.modelling","modelling","centralityHarmonic",0.11862745098039215,""
"org.axonframework.messaging.monitoring","monitoring","centralityHarmonic",0.10644257703081232,""
"org.axonframework.eventsourcing.eventstore","eventstore","centralityHarmonic",0.10504201680672269,""
"org.axonframework.modelling.repository","repository","centralityHarmonic",0.10392156862745097,""
"org.axonframework.messaging.eventhandling.processing","processing","centralityHarmonic",0.09523809523809523,""
"org.axonframework.modelling.annotation","annotation","centralityHarmonic",0.09523809523809523,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store","store","centralityHarmonic",0.08753501400560224,""
"org.axonframework.modelling.entity.annotation","annotation","centralityHarmonic",0.08053221288515405,""
"org.axonframework.modelling.entity","entity","centralityHarmonic",0.07689075630252101,""
"org.axonframework.eventsourcing.annotation","annotation","centralityHarmonic",0.07422969187675069,""
"org.axonframework.modelling.entity.child","child","centralityHarmonic",0.0684873949579832,""
"org.axonframework.messaging.core.interception","interception","centralityHarmonic",0.06372549019607843,""
