"codeUnitName","shortCodeUnitName","centralityHyperlinkInducedTopicSearchAuthority","centralityHyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9d_Hyperlink_Induced_Topic_Search_HITS_Stream_Mutated.cypher"
"org.axonframework.messaging.Message","Message",0.35461712718307775,0.35461712718307775,205,3,""
"org.axonframework.eventhandling.EventMessage","EventMessage",0.3355743184880092,0.3355743184880092,160,1,""
"org.axonframework.serialization.Serializer","Serializer",0.2938057370192975,0.2938057370192975,123,3,""
"org.axonframework.common.transaction.TransactionManager","TransactionManager",0.23146724562867915,0.23146724562867915,86,1,""
"org.axonframework.common.BuilderUtils","BuilderUtils",0.21545899793794598,0.21545899793794598,107,3,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException",0.19952760865396874,0.19952760865396874,85,1,""
"org.axonframework.messaging.MetaData","MetaData",0.1604894878578746,0.1604894878578746,87,2,""
"org.axonframework.commandhandling.CommandMessage","CommandMessage",0.14849303768706654,0.14849303768706654,112,1,""
"org.axonframework.tracing.SpanFactory","SpanFactory",0.13749997529354768,0.13749997529354768,61,3,""
"org.axonframework.messaging.unitofwork.UnitOfWork","UnitOfWork",0.12208466296798288,0.12208466296798288,56,11,""
"org.axonframework.monitoring.MessageMonitor","MessageMonitor",0.1205946465063172,0.1205946465063172,36,2,""
"org.axonframework.eventhandling.TrackingToken","TrackingToken",0.12012608166606198,0.12012608166606198,80,,""
"org.axonframework.eventhandling.EventBus","EventBus",0.11410447448251322,0.11410447448251322,37,3,""
"org.axonframework.serialization.SerializedObject","SerializedObject",0.1110074587663481,0.1110074587663481,62,1,""
"org.axonframework.messaging.annotation.HandlerDefinition","HandlerDefinition",0.10661218879799504,0.10661218879799504,35,2,""
"org.axonframework.messaging.annotation.ParameterResolverFactory","ParameterResolverFactory",0.10484271196404596,0.10484271196404596,49,1,""
"org.axonframework.eventhandling.DomainEventMessage","DomainEventMessage",0.10145957332990564,0.10145957332990564,59,2,""
"org.axonframework.eventhandling.TrackedEventMessage","TrackedEventMessage",0.10073225025076264,0.10073225025076264,55,2,""
"org.axonframework.commandhandling.CommandBus","CommandBus",0.09851497458749182,0.09851497458749182,31,6,""
"org.axonframework.common.Assert","Assert",0.09740742049384056,0.09740742049384056,59,,""
"org.axonframework.config.Configuration","Configuration",0.09692946071392594,0.09692946071392594,47,33,""
"org.axonframework.eventhandling.GenericEventMessage","GenericEventMessage",0.09635237294096861,0.09635237294096861,34,6,""
