"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Value_Descending.cypher"
"org.axonframework.serialization.SerializedType","SerializedType","centralityPageRank",0.5810756621074876,""
"org.axonframework.serialization.SimpleSerializedType","SimpleSerializedType","centralityPageRank",0.49974784123403226,""
"org.axonframework.messaging.Message","Message","centralityPageRank",0.34445074721442165,""
"org.axonframework.messaging.MetaData","MetaData","centralityPageRank",0.2432301095847174,""
"org.axonframework.serialization.SerializedObject","SerializedObject","centralityPageRank",0.2101350456972792,""
"org.axonframework.serialization.Serializer","Serializer","centralityPageRank",0.2016018439960181,""
"org.axonframework.common.Assert","Assert","centralityPageRank",0.17143257328347822,""
"org.axonframework.messaging.MetaData$MetaDataCollector","MetaData$MetaDataCollector","centralityPageRank",0.15630627074282363,""
"org.axonframework.common.AxonException","AxonException","centralityPageRank",0.1316178590719599,""
"org.axonframework.messaging.MetaData$1","MetaData$1","centralityPageRank",0.10608072520408107,""
"org.axonframework.eventhandling.EventMessage","EventMessage","centralityPageRank",0.09845808458721714,""
"org.axonframework.common.AxonNonTransientException","AxonNonTransientException","centralityPageRank",0.08910908393335815,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema","EventSchema","centralityPageRank",0.0818699306821048,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema$Builder","EventSchema$Builder","centralityPageRank",0.06451800913909064,""
"org.axonframework.messaging.annotation.MessageHandlingMember","MessageHandlingMember","centralityPageRank",0.051686075778553386,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","centralityPageRank",0.051600499845324624,""
"org.axonframework.eventhandling.TrackingToken","TrackingToken","centralityPageRank",0.04828298902487856,""
"org.axonframework.commandhandling.CommandMessage","CommandMessage","centralityPageRank",0.046688744743199326,""
"org.axonframework.common.BuilderUtils","BuilderUtils","centralityPageRank",0.04476472060778818,""
"org.axonframework.serialization.Converter","Converter","centralityPageRank",0.0374790482792367,""
"org.axonframework.eventhandling.DomainEventMessage","DomainEventMessage","centralityPageRank",0.03243025995417684,""
"org.axonframework.tracing.Span","Span","centralityPageRank",0.02693131062490128,""
"org.axonframework.eventhandling.tokenstore.jdbc.TokenSchema","TokenSchema","centralityPageRank",0.026631132531979934,""
"org.axonframework.tracing.SpanScope","SpanScope","centralityPageRank",0.026348946450135854,""
