"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.axonserver.connector","connector",0,"65,41",0,"75,3,9",,0,0,10,1,122,721,""
"org.axonframework.axonserver.connector.processor","processor",0,"65,41",0,"75,3,9",,0,0,8,15,4,109,""
"org.axonframework.axonserver.connector.util","util",0,"65,41",0,"75,3,9",,0,0,9,4,76,93,""
"org.axonframework.axonserver.connector.heartbeat","heartbeat",0,"65,41",0,"75,3,9",,0,0,4,0,5,34,""
"org.axonframework.axonserver.connector.heartbeat.source","source",0,"65,41",0,"75,3,9",,0,0,2,12,0,2,""
"org.axonframework.axonserver.connector.heartbeat.connection.checker","checker",0,"65,41",0,"75,3,9",,0,0,2,12,1,5,""
"org.axonframework.axonserver.connector.query","query",0,"65,41",0,"75,3,9",,0,0,10,14,49,1544,""
"org.axonframework.axonserver.connector.query.subscription","subscription",0,"65,41",0,"75,3,9",,0,0,9,0,8,238,""
"org.axonframework.axonserver.connector.event.util","util",0,"65,41",0,"75,3,9",,0,0,4,4,6,3,""
"org.axonframework.axonserver.connector.event.axon","axon",0,"65,41",0,"75,3,9",,0,0,10,0,82,1178,""
"org.axonframework.axonserver.connector.command","command",0,"65,41",0,"75,3,9",,0,0,10,0,27,932,""
"org.axonframework.tracing.opentelemetry","opentelemetry",0,"65,41",1,"75,3,9",,0,0,4,15,7,37,""
"org.axonframework.modelling.command","command",1,"12,88",2,"13,1,1",,0,0,11,4,276,847,""
"org.axonframework.modelling.command.inspection","inspection",1,"12,88",2,"13,1,1",,0,0,11,0,82,793,""
"org.axonframework.modelling.saga","saga",2,"17,47",3,"17,4,6",,0,0,9,0,263,432,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",1,"12,88",2,"13,1,1",,0,0,7,9,2,164,""
"org.axonframework.modelling.saga.metamodel","metamodel",2,"17,47",3,"17,4,6",,0,0,5,12,15,67,""
"org.axonframework.modelling.saga.repository","repository",2,"17,47",3,"17,4,6",,0,0,8,4,81,231,""
"org.axonframework.modelling.saga.repository.jpa","jpa",2,"17,47",3,"17,4,6",,0,0,8,6,14,86,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",3,"114,114",4,"114,16,3",,0,0,4,1,5,15,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",2,"17,47",3,"17,4,6",,0,0,8,3,20,118,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",2,"17,47",3,"17,4,6",,0,0,7,12,5,81,""
