"propertyName","propertyValue","codeUnits","codeUnitNames","shortCodeUnitNames","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated_Grouped.cypher"
"communityMaximumKCutId",4,5,"org.axonframework.axonserver.connector,org.axonframework.commandhandling.distributed.commandfilter,org.axonframework.messaging.responsetypes,org.axonframework.serialization.upcasting.event,org.axonframework.tracing","connector,commandfilter,responsetypes,event,tracing",""
"communityMaximumKCutId",2,8,"org.axonframework.axonserver.connector.processor,org.axonframework.axonserver.connector.heartbeat.source,org.axonframework.common.lock,org.axonframework.eventhandling.scheduling.java,org.axonframework.messaging.deadletter,org.axonframework.eventsourcing.conflictresolution,org.axonframework.springboot.autoconfig,org.axonframework.test.aggregate","processor,source,lock,java,deadletter,conflictresolution,autoconfig,aggregate",""
"communityMaximumKCutId",18,5,"org.axonframework.axonserver.connector.util,org.axonframework.modelling.command.inspection,org.axonframework.serialization.avro,org.axonframework.springboot.service.connection,org.axonframework.test.deadline","util,inspection,avro,connection,deadline",""
"communityMaximumKCutId",13,7,"org.axonframework.axonserver.connector.heartbeat,org.axonframework.tracing.opentelemetry,org.axonframework.eventhandling.scheduling.dbscheduler,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.springboot.autoconfig.legacyjpa,org.axonframework.test.server,org.axonframework.test.saga","heartbeat,opentelemetry,dbscheduler,jpa,legacyjpa,server,saga",""
"communityMaximumKCutId",6,6,"org.axonframework.axonserver.connector.heartbeat.connection.checker,org.axonframework.modelling.command,org.axonframework.deadline.jobrunr,org.axonframework.eventhandling.deadletter,org.axonframework.tracing.attributes,org.axonframework.springboot.util.legacyjpa","checker,command,jobrunr,deadletter,attributes,legacyjpa",""
"communityMaximumKCutId",10,6,"org.axonframework.axonserver.connector.query,org.axonframework.common.digest,org.axonframework.messaging.unitofwork,org.axonframework.queryhandling.registration,org.axonframework.serialization.converters,org.axonframework.actuator.axonserver","query,digest,unitofwork,registration,converters,axonserver",""
"communityMaximumKCutId",0,23,"org.axonframework.axonserver.connector.query.subscription,org.axonframework.modelling.command.legacyjpa,org.axonframework.modelling.saga.repository.legacyjpa,org.axonframework.commandhandling.gateway,org.axonframework.common.jdbc,org.axonframework.deadline.annotation,org.axonframework.eventhandling.async,org.axonframework.eventhandling.deadletter.legacyjpa,org.axonframework.eventhandling.gateway,org.axonframework.eventhandling.pooled,org.axonframework.eventhandling.scheduling.jobrunr,org.axonframework.eventhandling.scheduling.quartz,org.axonframework.eventhandling.tokenstore.legacyjpa,org.axonframework.messaging.correlation,org.axonframework.monitoring,org.axonframework.serialization.json,org.axonframework.util,org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.snapshotting,org.axonframework.actuator,org.axonframework.springboot.util,org.axonframework.test.eventscheduler","subscription,legacyjpa,gateway,jdbc,annotation,async,pooled,jobrunr,quartz,correlation,monitoring,json,util,eventsourcing,inmemory,snapshotting,actuator,eventscheduler",""
"communityMaximumKCutId",11,4,"org.axonframework.axonserver.connector.event.util,org.axonframework.eventhandling,org.axonframework.serialization.xml,org.axonframework.disruptor.commandhandling","util,eventhandling,xml,commandhandling",""
"communityMaximumKCutId",1,7,"org.axonframework.axonserver.connector.event.axon,org.axonframework.modelling.saga.repository.jpa,org.axonframework.common.caching,org.axonframework.common.property,org.axonframework.deadline.dbscheduler,org.axonframework.messaging.annotation,org.axonframework.eventsourcing.eventstore.jdbc.statements","axon,jpa,caching,property,dbscheduler,annotation,statements",""
"communityMaximumKCutId",7,4,"org.axonframework.axonserver.connector.command,org.axonframework.common.io,org.axonframework.messaging.timeout,org.axonframework.queryhandling.annotation","command,io,timeout,annotation",""
"communityMaximumKCutId",19,2,"org.axonframework.modelling.saga,org.axonframework.serialization","saga,serialization",""
"communityMaximumKCutId",16,2,"org.axonframework.modelling.saga.metamodel,org.axonframework.config","metamodel,config",""
"communityMaximumKCutId",5,9,"org.axonframework.modelling.saga.repository,org.axonframework.commandhandling,org.axonframework.common.annotation,org.axonframework.eventhandling.interceptors,org.axonframework.eventhandling.tokenstore.jdbc,org.axonframework.lifecycle,org.axonframework.queryhandling,org.axonframework.serialization.upcasting,org.axonframework.eventsourcing.eventstore.jdbc","repository,commandhandling,annotation,interceptors,jdbc,lifecycle,queryhandling,upcasting",""
"communityMaximumKCutId",14,7,"org.axonframework.modelling.saga.repository.inmemory,org.axonframework.common.jpa,org.axonframework.deadline.quartz,org.axonframework.eventhandling.deadletter.jdbc,org.axonframework.eventhandling.tokenstore,org.axonframework.eventsourcing.eventstore,org.axonframework.test.matchers","inmemory,jpa,quartz,jdbc,tokenstore,eventstore,matchers",""
"communityMaximumKCutId",3,3,"org.axonframework.modelling.saga.repository.jdbc,org.axonframework.common.transaction,org.axonframework.messaging","jdbc,transaction,messaging",""
"communityMaximumKCutId",9,5,"org.axonframework.commandhandling.callbacks,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.springboot,org.axonframework.test,org.axonframework.test.utils","callbacks,jpa,springboot,test,utils",""
"communityMaximumKCutId",8,5,"org.axonframework.commandhandling.distributed,org.axonframework.deadline,org.axonframework.eventhandling.scheduling,org.axonframework.messaging.interceptors.legacyvalidation,org.axonframework.springboot.util.jpa","distributed,deadline,scheduling,legacyvalidation,jpa",""
"communityMaximumKCutId",12,3,"org.axonframework.common,org.axonframework.common.stream,org.axonframework.eventhandling.replay","common,stream,replay",""
"communityMaximumKCutId",15,2,"org.axonframework.common.legacyjpa,org.axonframework.eventhandling.deadletter.jpa","legacyjpa,jpa",""
"communityMaximumKCutId",17,3,"org.axonframework.eventhandling.tokenstore.inmemory,org.axonframework.messaging.interceptors,org.axonframework.eventsourcing.eventstore.legacyjpa","inmemory,interceptors,legacyjpa",""
