"communityId","artifactName","packageCount","packageNames","Source Cypher File: Community_Detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-common-5.0.1",7,"common,io,util,caching,digest,lifecycle,lock",""
0,"axon-eventsourcing-5.0.1",1,"reflection",""
0,"axon-messaging-5.0.1",5,"distributed,tracing",""
0,"axon-server-connector-5.0.1",4,"connector,util,query,command",""
0,"axon-spring-boot-autoconfigure-5.0.1",1,"connection",""
0,"axon-test-5.0.1",1,"server",""
0,"axon-tracing-opentelemetry-5.0.1",1,"opentelemetry",""
1,"axon-eventsourcing-5.0.1",4,"annotation,eventstore,inmemory,jpa",""
1,"axon-messaging-5.0.1",7,"eventhandling,interception,gateway,sequencing,streaming,token,eventstreaming",""
1,"axon-server-connector-5.0.1",1,"event",""
3,"axon-common-5.0.1",1,"property",""
3,"axon-messaging-5.0.1",24,"commandhandling,annotation,interception,gateway,retry,tracing,configuration,replay,queryhandling,core,unitofwork,transaction,attributes",""
3,"axon-modelling-5.0.1",6,"modelling,annotation,entity,child,repository",""
3,"axon-test-5.0.1",1,"util",""
4,"axon-conversion-5.0.1",4,"conversion,converter,avro,json",""
4,"axon-messaging-5.0.1",3,"conversion,timeout",""
4,"axon-spring-boot-autoconfigure-5.0.1",6,"springboot,actuator,axonserver,autoconfig,util,jpa",""
5,"axon-common-5.0.1",2,"infra,configuration",""
5,"axon-eventsourcing-5.0.1",2,"eventsourcing,configuration",""
5,"axon-messaging-5.0.1",8,"monitoring,interception,configuration,reflection,correlation",""
5,"axon-metrics-micrometer-5.0.1",2,"micrometer,reservoir",""
5,"axon-modelling-5.0.1",1,"configuration",""
6,"axon-common-5.0.1",2,"jdbc,jpa",""
6,"axon-messaging-5.0.1",10,"processing,store,inmemory,jdbc,jpa,pooled,segmenting,subscribing,errorhandling,configuration",""
7,"axon-common-5.0.1",1,"annotation",""
7,"axon-update-5.0.1",5,"update,detection,common,api,configuration",""
